c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_ag he arm22.vms
AgMNN
	Characteristic Energy eV	1486.61	Acquisition Time s	2.8
KE_AgMNN	BE_AgMNN	CPS_AgMNN
310.51	1176.1	3799.18
310.61	1176	3811.93
310.71	1175.9	3752.39
310.81	1175.8	3697.75
310.91	1175.7	3771.21
311.01	1175.6	3788.46
311.11	1175.5	3751.64
311.21	1175.4	3786.39
311.31	1175.3	3786.07
311.41	1175.2	3723.57
311.51	1175.1	3750.75
311.61	1175	3787.71
311.71	1174.9	3791.43
311.81	1174.8	3704.07
311.91	1174.7	3679.11
312.01	1174.6	3690.25
312.11	1174.5	3700.07
312.21	1174.4	3687.54
312.31	1174.3	3703.11
312.41	1174.2	3753.68
312.51	1174.1	3741.96
312.61	1174	3692.89
312.71	1173.9	3710.54
312.81	1173.8	3726.71
312.91	1173.7	3695.96
313.01	1173.6	3762.25
313.11	1173.5	3727.25
313.21	1173.4	3707.64
313.31	1173.3	3666.75
313.41	1173.2	3711.18
313.51	1173.1	3736.89
313.61	1173	3737.46
313.71	1172.9	3780.32
313.81	1172.8	3701.79
313.91	1172.7	3762.71
314.01	1172.6	3723.39
314.11	1172.5	3732.11
314.21	1172.4	3669.64
314.31	1172.3	3695.68
314.41	1172.2	3679.39
314.51	1172.1	3633.39
314.61	1172	3710.39
314.71	1171.9	3715
314.81	1171.8	3693.07
314.91	1171.7	3748.75
315.01	1171.6	3739.71
315.11	1171.5	3682.04
315.21	1171.4	3670.14
315.31	1171.3	3710.11
315.41	1171.2	3700.32
315.51	1171.1	3690.21
315.61	1171	3686.79
315.71	1170.9	3699.57
315.81	1170.8	3705.54
315.91	1170.7	3711.21
316.01	1170.6	3690.57
316.11	1170.5	3690.93
316.21	1170.4	3691.89
316.31	1170.3	3703.25
316.41	1170.2	3688.21
316.51	1170.1	3709.54
316.61	1170	3692.86
316.71	1169.9	3688.5
316.81	1169.8	3686.39
316.91	1169.7	3742.71
317.01	1169.6	3778.32
317.11	1169.5	3712.21
317.21	1169.4	3688
317.31	1169.3	3747
317.41	1169.2	3721.11
317.51	1169.1	3669.04
317.61	1169	3647.89
317.71	1168.9	3652.79
317.81	1168.8	3710.25
317.91	1168.7	3665.36
318.01	1168.6	3646.14
318.11	1168.5	3662.71
318.21	1168.4	3722.11
318.31	1168.3	3681.04
318.41	1168.2	3716.89
318.51	1168.1	3709.04
318.61	1168	3684.64
318.71	1167.9	3691.25
318.81	1167.8	3733.79
318.91	1167.7	3782.32
319.01	1167.6	3667.5
319.11	1167.5	3706.82
319.21	1167.4	3747.82
319.31	1167.3	3743.61
319.41	1167.2	3709.11
319.51	1167.1	3692.14
319.61	1167	3726.96
319.71	1166.9	3708.29
319.81	1166.8	3768.64
319.91	1166.7	3671.21
320.01	1166.6	3729.18
320.11	1166.5	3741.82
320.21	1166.4	3707.86
320.31	1166.3	3706.93
320.41	1166.2	3720.54
320.51	1166.1	3700.14
320.61	1166	3698.82
320.71	1165.9	3700.89
320.81	1165.8	3709.61
320.91	1165.7	3714.29
321.01	1165.6	3770.79
321.11	1165.5	3685.57
321.21	1165.4	3704.61
321.31	1165.3	3809.68
321.41	1165.2	3806.43
321.51	1165.1	3813.68
321.61	1165	3783.36
321.71	1164.9	3780.89
321.81	1164.8	3755.68
321.91	1164.7	3727.82
322.01	1164.6	3744.86
322.11	1164.5	3747.21
322.21	1164.4	3724.68
322.31	1164.3	3740
322.41	1164.2	3732.64
322.51	1164.1	3757.93
322.61	1164	3784.5
322.71	1163.9	3749.46
322.81	1163.8	3747.11
322.91	1163.7	3789.46
323.01	1163.6	3796.82
323.11	1163.5	3788.18
323.21	1163.4	3755.46
323.31	1163.3	3801
323.41	1163.2	3779.68
323.51	1163.1	3782.39
323.61	1163	3777.82
323.71	1162.9	3801.04
323.81	1162.8	3806.86
323.91	1162.7	3830.89
324.01	1162.6	3803.25
324.11	1162.5	3786.61
324.21	1162.4	3792.64
324.31	1162.3	3794.57
324.41	1162.2	3835.75
324.51	1162.1	3800.57
324.61	1162	3844.29
324.71	1161.9	3825.64
324.81	1161.8	3858.39
324.91	1161.7	3860.54
325.01	1161.6	3840.21
325.11	1161.5	3892.75
325.21	1161.4	3840.04
325.31	1161.3	3788.14
325.41	1161.2	3834.57
325.51	1161.1	3878.36
325.61	1161	3901.07
325.71	1160.9	3855.71
325.81	1160.8	3816.61
325.91	1160.7	3838.57
