c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_ag he arm22.vms
Pr:Ag3p
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Ag3p	BE_Pr:Ag3p	CPS_Pr:Ag3p
756.81	729.8	3474.93
756.91	729.7	3490.27
757.01	729.6	3408.78
757.11	729.5	3496.99
757.21	729.4	3429.03
757.31	729.3	3454.06
757.41	729.2	3486.32
757.51	729.1	3602.8
757.61	729	3554.57
757.71	728.9	3600.88
757.81	728.8	3767.92
757.91	728.7	3697.74
758.01	728.6	3584.84
758.11	728.5	3716.25
758.21	728.4	3633.28
758.31	728.3	3620.12
758.41	728.2	3641.99
758.51	728.1	3526.47
758.61	728	3546.05
758.71	727.9	3658.09
758.81	727.8	3755.28
758.91	727.7	3724.8
759.01	727.6	3553.14
759.11	727.5	3609.23
759.21	727.4	3679.08
759.31	727.3	3834.41
759.41	727.2	3750.23
759.51	727.1	3711.86
759.61	727	3629.99
759.71	726.9	3807.88
759.81	726.8	3756.13
759.91	726.7	3801.98
760.01	726.6	3840.65
760.11	726.5	3708.48
760.21	726.4	3747.09
760.31	726.3	3728.35
760.41	726.2	3764.52
760.51	726.1	3773.95
760.61	726	3910.43
760.71	725.9	3852.46
760.81	725.8	3801.63
760.91	725.7	3783.06
761.01	725.6	3769.15
761.11	725.5	3763.8
761.21	725.4	3921.51
761.31	725.3	3839.61
761.41	725.2	3661.97
761.51	725.1	3742.2
761.61	725	3940.23
761.71	724.9	3809.96
761.81	724.8	3768.48
761.91	724.7	3866.77
762.01	724.6	3989.98
762.11	724.5	4047.53
762.21	724.4	3985.5
762.31	724.3	3942.16
762.41	724.2	4027.04
762.51	724.1	4005.77
762.61	724	3922.01
762.71	723.9	3970.27
762.81	723.8	4017.34
762.91	723.7	3958.03
763.01	723.6	3966.64
763.11	723.5	4023.16
763.21	723.4	4193.32
763.31	723.3	4163.31
763.41	723.2	4091.38
763.51	723.1	3994.33
763.61	723	4258.27
763.71	722.9	4110.05
763.81	722.8	4167.06
763.91	722.7	4174.58
764.01	722.6	4205.73
764.11	722.5	4166.61
764.21	722.4	4146.91
764.31	722.3	4238.5
764.41	722.2	4329.94
764.51	722.1	4299.04
764.61	722	4299
764.71	721.9	4342.3
764.81	721.8	4486.22
764.91	721.7	4436.84
765.01	721.6	4381.01
765.11	721.5	4355.51
765.21	721.4	4513.84
765.31	721.3	4410.24
765.41	721.2	4460.95
765.51	721.1	4433.96
765.61	721	4423.4
765.71	720.9	4594.56
765.81	720.8	4590.31
765.91	720.7	4542.74
766.01	720.6	4563.02
766.11	720.5	4510.3
766.21	720.4	4661.85
766.31	720.3	4693.24
766.41	720.2	4669.09
766.51	720.1	4645.31
766.61	720	4657.84
766.71	719.9	4633.17
