c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_ag he arm22.vms
AgMNN
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_AgMNN	BE_AgMNN	CPS_AgMNN
323.31	1163.3	6269.74
323.41	1163.2	6301.03
323.51	1163.1	6452
323.61	1163	6351.4
323.71	1162.9	6319.67
323.81	1162.8	6398.81
323.91	1162.7	6249.48
324.01	1162.6	6327.67
324.11	1162.5	6376.7
324.21	1162.4	6426.24
324.31	1162.3	6189.04
324.41	1162.2	6356.05
324.51	1162.1	6313.75
324.61	1162	6342.32
324.71	1161.9	6387.89
324.81	1161.8	6374.45
324.91	1161.7	6262.01
325.01	1161.6	6376.36
325.11	1161.5	6303.33
325.21	1161.4	6445.38
325.31	1161.3	6379.3
325.41	1161.2	6375.25
325.51	1161.1	6374.1
325.61	1161	6422.14
325.71	1160.9	6427.45
325.81	1160.8	6307.22
325.91	1160.7	6363.81
326.01	1160.6	6379.37
326.11	1160.5	6272.24
326.21	1160.4	6393.85
326.31	1160.3	6346.56
326.41	1160.2	6418.96
326.51	1160.1	6421.22
326.61	1160	6430.66
326.71	1159.9	6428.81
326.81	1159.8	6406.29
326.91	1159.7	6407.09
327.01	1159.6	6406.51
327.11	1159.5	6421.65
327.21	1159.4	6469.03
327.31	1159.3	6449.91
327.41	1159.2	6428.19
327.51	1159.1	6509.97
327.61	1159	6507.56
327.71	1158.9	6439.68
327.81	1158.8	6453.7
327.91	1158.7	6550.72
328.01	1158.6	6574.22
328.11	1158.5	6534.8
328.21	1158.4	6364.89
328.31	1158.3	6331.86
328.41	1158.2	6449.25
328.51	1158.1	6498.4
328.61	1158	6464.91
328.71	1157.9	6534.55
328.81	1157.8	6370.57
328.91	1157.7	6471.35
329.01	1157.6	6517.24
329.11	1157.5	6575.89
329.21	1157.4	6472.09
329.31	1157.3	6394.92
329.41	1157.2	6386.1
329.51	1157.1	6484.29
329.61	1157	6627.1
329.71	1156.9	6520.84
329.81	1156.8	6308.31
329.91	1156.7	6496.02
330.01	1156.6	6690.87
330.11	1156.5	6618.73
330.21	1156.4	6510.96
330.31	1156.3	6442.66
330.41	1156.2	6497.5
330.51	1156.1	6542.77
330.61	1156	6522.19
330.71	1155.9	6550.96
330.81	1155.8	6634.42
330.91	1155.7	6446.17
331.01	1155.6	6502.38
331.11	1155.5	6571.8
331.21	1155.4	6455.51
331.31	1155.3	6600.56
331.41	1155.2	6446.59
331.51	1155.1	6533.83
331.61	1155	6561.57
331.71	1154.9	6626.55
331.81	1154.8	6485.47
331.91	1154.7	6483.95
332.01	1154.6	6515.98
332.11	1154.5	6515.26
332.21	1154.4	6539.08
332.31	1154.3	6576.95
332.41	1154.2	6553.6
332.51	1154.1	6612.82
332.61	1154	6582.63
332.71	1153.9	6553.12
332.81	1153.8	6750.18
332.91	1153.7	6576.43
333.01	1153.6	6571.92
333.11	1153.5	6688.56
333.21	1153.4	6557.47
333.31	1153.3	6620.75
333.41	1153.2	6696.6
333.51	1153.1	6739.54
333.61	1153	6594.48
333.71	1152.9	6597.08
333.81	1152.8	6728.72
333.91	1152.7	6657.14
334.01	1152.6	6686.41
334.11	1152.5	6626.08
334.21	1152.4	6574.06
334.31	1152.3	6607.08
334.41	1152.2	6600.18
334.51	1152.1	6605.09
334.61	1152	6571.32
334.71	1151.9	6651.62
334.81	1151.8	6578
334.91	1151.7	6669.85
335.01	1151.6	6606.86
335.11	1151.5	6613.07
335.21	1151.4	6669.99
335.31	1151.3	6607.63
335.41	1151.2	6640.36
335.51	1151.1	6730.68
335.61	1151	6632.61
335.71	1150.9	6710.99
335.81	1150.8	6706.4
335.91	1150.7	6749.54
336.01	1150.6	6676.31
336.11	1150.5	6795.78
336.21	1150.4	6742.23
336.31	1150.3	6716.33
336.41	1150.2	6714.36
336.51	1150.1	6735.48
336.61	1150	6658.26
336.71	1149.9	6849.58
336.81	1149.8	6788.15
336.91	1149.7	6812.55
337.01	1149.6	6763.65
337.11	1149.5	6736.61
337.21	1149.4	6745.27
337.31	1149.3	6816.34
337.41	1149.2	6827.36
337.51	1149.1	6794.44
337.61	1149	6685.03
337.71	1148.9	6771.18
337.81	1148.8	6810.06
337.91	1148.7	6783.25
338.01	1148.6	6813.11
338.11	1148.5	6714.74
338.21	1148.4	6765.44
338.31	1148.3	6736.32
338.41	1148.2	6753.17
338.51	1148.1	6805.31
338.61	1148	6850.58
338.71	1147.9	6885.18
338.81	1147.8	6855.02
338.91	1147.7	6892.22
339.01	1147.6	6927.65
339.11	1147.5	6891.92
339.21	1147.4	6772.05
339.31	1147.3	6788.26
339.41	1147.2	6836.84
339.51	1147.1	6945.83
339.61	1147	6898.27
339.71	1146.9	6823.11
339.81	1146.8	6773.33
339.91	1146.7	6923.31
340.01	1146.6	7033.02
340.11	1146.5	7001.98
340.21	1146.4	7032.16
340.31	1146.3	7045.94
340.41	1146.2	6906.48
340.51	1146.1	6867.8
340.61	1146	7054.88
340.71	1145.9	6856.14
340.81	1145.8	6975.6
340.91	1145.7	7064.46
341.01	1145.6	7019.13
341.11	1145.5	7098.64
341.21	1145.4	7058.2
341.31	1145.3	6931.86
341.41	1145.2	6969.27
341.51	1145.1	6989.85
