c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_ag he arm22.vms
Pr:Ag3p
	Characteristic Energy eV	1486.61	Acquisition Time s	2.7
KE_Pr:Ag3p	BE_Pr:Ag3p	CPS_Pr:Ag3p
758.71	727.9	2757.1
758.81	727.8	2791.04
758.91	727.7	2847.71
759.01	727.6	2813.98
759.11	727.5	2793
759.21	727.4	2754.53
759.31	727.3	2814.09
759.41	727.2	2764.03
759.51	727.1	2849.52
759.61	727	2803.16
759.71	726.9	2816.54
759.81	726.8	2777.48
759.91	726.7	2840.38
760.01	726.6	2869.76
760.11	726.5	2877.81
760.21	726.4	2771.3
760.31	726.3	2889.76
760.41	726.2	2825.21
760.51	726.1	2867.18
760.61	726	2890.23
760.71	725.9	2891.98
760.81	725.8	2919.99
760.91	725.7	2862.89
761.01	725.6	2831.93
761.11	725.5	2883.54
761.21	725.4	2897.77
761.31	725.3	2906.37
761.41	725.2	2937.34
761.51	725.1	2900.83
761.61	725	2956.03
761.71	724.9	2915
761.81	724.8	2985.12
761.91	724.7	2961.31
762.01	724.6	2923.5
762.11	724.5	2896.88
762.21	724.4	2914.56
762.31	724.3	2980.79
762.41	724.2	2921.57
762.51	724.1	2960.65
762.61	724	2888.4
762.71	723.9	2967.37
762.81	723.8	3025.16
762.91	723.7	2997.02
763.01	723.6	3021.06
763.11	723.5	2959.62
763.21	723.4	3014.82
763.31	723.3	3013.97
763.41	723.2	3028.2
763.51	723.1	3004.76
763.61	723	3041.88
763.71	722.9	3185.41
763.81	722.8	3148.49
763.91	722.7	3136.08
764.01	722.6	3148.87
764.11	722.5	3130.36
764.21	722.4	3154.29
764.31	722.3	3195.77
764.41	722.2	3188.71
764.51	722.1	3185.23
764.61	722	3157.68
764.71	721.9	3140.98
764.81	721.8	3221.25
764.91	721.7	3157.47
765.01	721.6	3188.18
765.11	721.5	3276.89
765.21	721.4	3194.19
765.31	721.3	3202.05
765.41	721.2	3263.31
765.51	721.1	3306.57
765.61	721	3250.43
765.71	720.9	3305.88
765.81	720.8	3286.77
765.91	720.7	3266.66
766.01	720.6	3294.71
766.11	720.5	3294.78
766.21	720.4	3262.93
766.31	720.3	3356.53
766.41	720.2	3391.01
766.51	720.1	3349.54
766.61	720	3322.98
766.71	719.9	3359.54
766.81	719.8	3339.92
766.91	719.7	3320.84
767.01	719.6	3362.85
767.11	719.5	3380.52
767.21	719.4	3327.81
767.31	719.3	3299.93
767.41	719.2	3303.56
767.51	719.1	3350.3
767.61	719	3343.64
767.71	718.9	3314.9
767.81	718.8	3347.38
767.91	718.7	3383.98
768.01	718.6	3315.72
768.11	718.5	3299.46
768.21	718.4	3275.65
768.31	718.3	3320.35
768.41	718.2	3286.5
768.51	718.1	3347.72
768.61	718	3298.32
768.71	717.9	3390.24
768.81	717.8	3349.61
768.91	717.7	3405.54
769.01	717.6	3264.32
769.11	717.5	3241.8
769.21	717.4	3291.95
769.31	717.3	3301.02
769.41	717.2	3298.61
769.51	717.1	3274.09
769.61	717	3222.87
769.71	716.9	3223.39
769.81	716.8	3220.54
769.91	716.7	3265.2
770.01	716.6	3230.42
770.11	716.5	3188.27
770.21	716.4	3192.57
770.31	716.3	3197.12
770.41	716.2	3185.94
770.51	716.1	3148.9
770.61	716	3125.38
770.71	715.9	3100.67
770.81	715.8	3144.71
770.91	715.7	3052.74
771.01	715.6	3087.93
771.11	715.5	3060.92
771.21	715.4	3113.25
771.31	715.3	3007.99
771.41	715.2	3051.21
771.51	715.1	3029.51
771.61	715	2982.91
771.71	714.9	2996.43
771.81	714.8	2911.01
771.91	714.7	2973.53
772.01	714.6	3068.75
772.11	714.5	2949.82
772.21	714.4	2863
772.31	714.3	2907.29
772.41	714.2	2962.81
772.51	714.1	2932.4
772.61	714	2847.73
772.71	713.9	2890.91
772.81	713.8	2878.2
772.91	713.7	2814.23
773.01	713.6	2780.26
773.11	713.5	2867.74
773.21	713.4	2875.62
773.31	713.3	2963.14
773.41	713.2	2969.17
773.51	713.1	2824.05
773.61	713	2803.45
773.71	712.9	2790.12
773.81	712.8	2827.11
773.91	712.7	2881.73
774.01	712.6	2878.95
774.11	712.5	2805.69
774.21	712.4	2807.49
774.31	712.3	2794.41
774.41	712.2	2822.41
774.51	712.1	2856.4
774.61	712	2827.17
774.71	711.9	2807.24
774.81	711.8	2789.53
774.91	711.7	2788.15
775.01	711.6	2708.22
775.11	711.5	2742.69
775.21	711.4	2784.76
775.31	711.3	2781.42
775.41	711.2	2712.26
775.51	711.1	2725.48
775.61	711	2627.25
775.71	710.9	2725.54
775.81	710.8	2779.34
775.91	710.7	2684.78
776.01	710.6	2678.25
776.11	710.5	2663.65
776.21	710.4	2664.94
776.31	710.3	2650.71
776.41	710.2	2649.44
776.51	710.1	2580.25
776.61	710	2618.05
776.71	709.9	2611.3
776.81	709.8	2606.59
776.91	709.7	2692.06
777.01	709.6	2659.87
777.11	709.5	2659.67
777.21	709.4	2643.81
777.31	709.3	2579.91
777.41	709.2	2620.68
777.51	709.1	2646.74
777.61	709	2647.51
777.71	708.9	2652.39
777.81	708.8	2631.19
777.91	708.7	2684.59
778.01	708.6	2598.13
778.11	708.5	2603.12
778.21	708.4	2662.96
778.31	708.3	2657.84
778.41	708.2	2565.64
778.51	708.1	2634.74
778.61	708	2637.55
778.71	707.9	2645.09
778.81	707.8	2613.71
778.91	707.7	2637.99
779.01	707.6	2624.28
779.11	707.5	2621.37
779.21	707.4	2592.66
779.31	707.3	2546.72
779.41	707.2	2562.12
779.51	707.1	2589.66
779.61	707	2608.72
779.71	706.9	2658.11
779.81	706.8	2582.92
779.91	706.7	2573.9
780.01	706.6	2572.33
780.11	706.5	2610.54
780.21	706.4	2650.94
780.31	706.3	2589.25
780.41	706.2	2571.69
780.51	706.1	2652.04
780.61	706	2580.14
780.71	705.9	2581.57
780.81	705.8	2548.48
780.91	705.7	2619.06
781.01	705.6	2606.04
781.11	705.5	2594.03
781.21	705.4	2599.94
781.31	705.3	2589.89
781.41	705.2	2540.69
781.51	705.1	2586.63
781.61	705	2542.92
781.71	704.9	2502.75
781.81	704.8	2558.59
781.91	704.7	2601.46
782.01	704.6	2540.56
782.11	704.5	2552.98
782.21	704.4	2589.49
782.31	704.3	2617.1
782.41	704.2	2643.75
782.51	704.1	2628.99
782.61	704	2604.2
782.71	703.9	2549.55
782.81	703.8	2561.09
782.91	703.7	2598.33
783.01	703.6	2467.43
783.11	703.5	2494.93
783.21	703.4	2653.06
783.31	703.3	2511.59
783.41	703.2	2489.13
783.51	703.1	2619.49
783.61	703	2547.91
783.71	702.9	2596.19
783.81	702.8	2553.62
783.91	702.7	2566.78
784.01	702.6	2547.84
784.11	702.5	2545.04
784.21	702.4	2541.58
784.31	702.3	2532.6
784.41	702.2	2618.35
784.51	702.1	2572.11
784.61	702	2518.91
784.71	701.9	2593.19
784.81	701.8	2645.42
784.91	701.7	2504.29
785.01	701.6	2520.57
785.11	701.5	2563.77
785.21	701.4	2599.9
785.31	701.3	2571.32
785.41	701.2	2637.08
785.51	701.1	2640.69
785.61	701	2574.11
785.71	700.9	2572.54
785.81	700.8	2585.7
785.91	700.7	2597.98
786.01	700.6	2622.1
786.11	700.5	2601.19
786.21	700.4	2502.54
786.31	700.3	2557
786.41	700.2	2622.2
786.51	700.1	2593
786.61	700	2620.23
786.71	699.9	2553.47
786.81	699.8	2556.89
786.91	699.7	2538.61
787.01	699.6	2543.62
787.11	699.5	2579.71
787.21	699.4	2577.91
787.31	699.3	2587.59
787.41	699.2	2519.05
787.51	699.1	2606.58
787.61	699	2563.12
787.71	698.9	2556.72
787.81	698.8	2526.81
787.91	698.7	2517.34
788.01	698.6	2623.8
788.11	698.5	2583.74
788.21	698.4	2504.23
788.31	698.3	2595.84
788.41	698.2	2529.26
788.51	698.1	2538.08
788.61	698	2486.87
788.71	697.9	2604.29
788.81	697.8	2606.3
788.91	697.7	2521.65
789.01	697.6	2532.51
789.11	697.5	2524.78
789.21	697.4	2595.46
789.31	697.3	2524.7
789.41	697.2	2546.78
789.51	697.1	2551.42
789.61	697	2599.4
789.71	696.9	2558.3
789.81	696.8	2559.79
789.91	696.7	2584.54
790.01	696.6	2578.25
790.11	696.5	2591
790.21	696.4	2632.38
790.31	696.3	2563.39
790.41	696.2	2538.96
790.51	696.1	2544.34
790.61	696	2567.57
790.71	695.9	2620.21
790.81	695.8	2536.7
790.91	695.7	2558.3
791.01	695.6	2580.79
791.11	695.5	2609.47
791.21	695.4	2508.55
791.31	695.3	2538.49
791.41	695.2	2586.2
791.51	695.1	2595.17
791.61	695	2560.58
791.71	694.9	2602.26
791.81	694.8	2607.93
791.91	694.7	2632.94
792.01	694.6	2542.47
792.11	694.5	2543.73
792.21	694.4	2485.96
