EX322_CEC356_Au_Ag_Cu in H2_1.vms_vb_regions.vms
Pr:Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Pr:Survey	BE_Pr:Survey	CPS_Pr:Survey
776.11	710.5	11517.5
776.61	710	11382
777.11	709.5	11344.2
777.61	709	11724.2
778.11	708.5	11362.2
778.61	708	11415.5
779.11	707.5	11542.5
779.61	707	11460.3
780.11	706.5	11676.3
780.61	706	11798.3
781.11	705.5	11743.7
781.61	705	11392.5
782.11	704.5	11769.8
782.61	704	11597.1
783.11	703.5	11805.2
783.61	703	11599.9
784.11	702.5	11539.5
784.61	702	11648.9
785.11	701.5	11797.4
785.61	701	12080.7
786.11	700.5	12254.4
786.61	700	12098.1
787.11	699.5	11984.3
787.61	699	11777.3
788.11	698.5	12075.6
788.61	698	12177.7
789.11	697.5	11986.4
789.61	697	12019.9
790.11	696.5	12096.6
790.61	696	12225
791.11	695.5	12296.5
791.61	695	12148.6
792.11	694.5	12379.2
792.61	694	12201.1
793.11	693.5	12651.6
793.61	693	12334.1
794.11	692.5	12442.1
794.61	692	12307.2
795.11	691.5	12430.9
795.61	691	12326.6
796.11	690.5	12682.9
796.61	690	12773.2
797.11	689.5	12272.1
797.61	689	12547.7
798.11	688.5	12810
798.61	688	12596.9
799.11	687.5	12660.5
799.61	687	12706.2
800.11	686.5	12702.9
800.61	686	12784
801.11	685.5	12820.2
801.61	685	12777.3
802.11	684.5	13268
802.61	684	13161.3
803.11	683.5	12779.1
803.61	683	12956.4
804.11	682.5	12713.3
804.61	682	12999.1
805.11	681.5	13135.2
805.61	681	13083.1
806.11	680.5	13440.5
806.61	680	13495.9
807.11	679.5	13107
807.61	679	13218.4
808.11	678.5	13284.7
808.61	678	13382.4
809.11	677.5	13396.2
809.61	677	13495.4
810.11	676.5	13487.6
810.61	676	13574.8
811.11	675.5	13245.4
811.61	675	13343.9
812.11	674.5	13458.7
812.61	674	13548.5
813.11	673.5	13411.4
813.61	673	13425.8
814.11	672.5	13414.5
814.61	672	13833
815.11	671.5	13999
815.61	671	13834.4
816.11	670.5	13845.5
816.61	670	14337.7
817.11	669.5	14558.8
817.61	669	13973.4
818.11	668.5	14046.4
818.61	668	14494.6
819.11	667.5	14097
819.61	667	14408.1
820.11	666.5	14253.1
820.61	666	14160.1
821.11	665.5	14262.5
821.61	665	14278.3
822.11	664.5	14469.3
822.61	664	14214.2
823.11	663.5	14093.7
823.61	663	14593.5
824.11	662.5	14503.7
824.61	662	14822.1
825.11	661.5	14465.4
825.61	661	14590.2
826.11	660.5	14646.4
826.61	660	14919.4
827.11	659.5	15056.3
827.61	659	14952.7
828.11	658.5	14964.4
828.61	658	15342.3
829.11	657.5	15013.3
829.61	657	14835.1
830.11	656.5	15338.3
830.61	656	15479.2
831.11	655.5	15125
831.61	655	15335.4
832.11	654.5	15520.2
832.61	654	15296.8
833.11	653.5	15441.9
833.61	653	15583.2
834.11	652.5	15321.5
834.61	652	15248.1
835.11	651.5	15721.5
835.61	651	15683
836.11	650.5	14868.3
836.61	650	15535.1
837.11	649.5	15726.7
837.61	649	15754.9
838.11	648.5	15752.4
838.61	648	16186.8
839.11	647.5	16511.4
839.61	647	16804.9
840.11	646.5	16775.1
840.61	646	18005
841.11	645.5	18230.6
841.61	645	19138.9
842.11	644.5	19613
842.61	644	20197.9
843.11	643.5	20553.6
843.61	643	20571.2
844.11	642.5	20879.6
844.61	642	20592.7
845.11	641.5	20749.1
845.61	641	20013.5
846.11	640.5	18845.6
846.61	640	18435.7
847.11	639.5	17678.3
847.61	639	17022.7
848.11	638.5	16229.3
848.61	638	15641.5
849.11	637.5	14792.1
849.61	637	14249.1
850.11	636.5	14423
850.61	636	13987
851.11	635.5	13186.9
851.61	635	13058.7
852.11	634.5	12822.8
852.61	634	12505.5
853.11	633.5	12283.5
853.61	633	12341
854.11	632.5	12290.4
854.61	632	12031.9
855.11	631.5	11722.1
855.61	631	11681.1
856.11	630.5	11882.4
856.61	630	12085.8
857.11	629.5	11850.9
857.61	629	11965
858.11	628.5	11467.3
858.61	628	11566.5
859.11	627.5	11562.9
859.61	627	11551.9
860.11	626.5	11728.1
860.61	626	11474
861.11	625.5	11514.5
861.61	625	11343
862.11	624.5	11474.5
862.61	624	11742.8
863.11	623.5	11645
863.61	623	11399.3
864.11	622.5	11458
864.61	622	11607.2
865.11	621.5	11617.6
