c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_ag he largearea.vms
Pr:Ag3p
	Characteristic Energy eV	1486.61	Acquisition Time s	0.7
KE_Pr:Ag3p	BE_Pr:Ag3p	CPS_Pr:Ag3p
728.51	758.1	4151.64
728.61	758	4106.51
728.71	757.9	4087.38
728.81	757.8	4160.96
728.91	757.7	4153.99
729.01	757.6	4147.87
729.11	757.5	4000.56
729.21	757.4	4063.9
729.31	757.3	4172.02
729.41	757.2	4069.06
729.51	757.1	4147.23
729.61	757	4038.86
729.71	756.9	4142.11
729.81	756.8	4066.97
729.91	756.7	4165.02
730.01	756.6	4111.71
730.11	756.5	4127.03
730.21	756.4	4303.19
730.31	756.3	4222.05
730.41	756.2	4146.44
730.51	756.1	4041.29
730.61	756	4209.57
730.71	755.9	4370.91
730.81	755.8	4123.05
730.91	755.7	4124.39
731.01	755.6	4120.55
731.11	755.5	3981.3
731.21	755.4	4251.62
731.31	755.3	4188.19
731.41	755.2	4080.28
731.51	755.1	4111.07
731.61	755	4219.35
731.71	754.9	4086.35
731.81	754.8	4130.83
731.91	754.7	3974.33
732.01	754.6	4178.62
732.11	754.5	4231.82
732.21	754.4	4272.74
732.31	754.3	4079.84
732.41	754.2	4115
732.51	754.1	4318.39
732.61	754	4416.09
732.71	753.9	4160.7
732.81	753.8	4178.33
732.91	753.7	4179.75
733.01	753.6	4185.36
733.11	753.5	4178.27
733.21	753.4	4270.65
733.31	753.3	4163.04
733.41	753.2	4073
733.51	753.1	4129.53
733.61	753	4170.63
733.71	752.9	4151.78
733.81	752.8	4203.47
733.91	752.7	4329.8
734.01	752.6	4038.73
734.11	752.5	4242.57
734.21	752.4	4130.7
734.31	752.3	4173.25
734.41	752.2	4170.4
734.51	752.1	3849.21
734.61	752	4247.55
734.71	751.9	4075.79
734.81	751.8	3929.88
734.91	751.7	4074.5
735.01	751.6	4182.57
735.11	751.5	4226.67
735.21	751.4	4098.69
735.31	751.3	4011.11
735.41	751.2	4166.41
735.51	751.1	4210.83
735.61	751	3987.74
735.71	750.9	4138.74
735.81	750.8	4035.15
735.91	750.7	4190.03
736.01	750.6	4324.52
736.11	750.5	4190.56
736.21	750.4	4118.2
736.31	750.3	4193.39
736.41	750.2	4246.96
736.51	750.1	4290.07
736.61	750	4245
736.71	749.9	4132.36
736.81	749.8	4322.79
736.91	749.7	4172.76
737.01	749.6	4076.67
737.11	749.5	4084.74
737.21	749.4	4187.91
737.31	749.3	4356.38
737.41	749.2	4266.5
737.51	749.1	4148.08
737.61	749	4053.64
737.71	748.9	4026.08
737.81	748.8	4313.32
737.91	748.7	4133.82
738.01	748.6	4225.77
738.11	748.5	4033.11
738.21	748.4	4160.56
738.31	748.3	4189.94
738.41	748.2	4409.85
738.51	748.1	4391.42
738.61	748	4307.63
738.71	747.9	4318.09
738.81	747.8	4380.4
738.91	747.7	4322.17
739.01	747.6	4260.51
739.11	747.5	4182.24
739.21	747.4	4233.46
739.31	747.3	4250.17
739.41	747.2	4165.03
739.51	747.1	4160.27
739.61	747	4229.72
739.71	746.9	4270.68
739.81	746.8	4263.03
739.91	746.7	4331.35
740.01	746.6	4211.77
740.11	746.5	4314.12
740.21	746.4	4326.12
740.31	746.3	4146.87
740.41	746.2	4317.24
740.51	746.1	4217.65
740.61	746	4350.86
740.71	745.9	4312.1
740.81	745.8	4174.51
740.91	745.7	4208.77
741.01	745.6	4317.37
741.11	745.5	4203.35
741.21	745.4	4284.25
741.31	745.3	4208.33
741.41	745.2	4332.85
741.51	745.1	4299.36
741.61	745	4274.06
741.71	744.9	4280.98
741.81	744.8	4308.17
741.91	744.7	4281.73
742.01	744.6	4314.69
742.11	744.5	4202.82
742.21	744.4	4266.31
742.31	744.3	4175.78
742.41	744.2	4281.49
742.51	744.1	4264.28
742.61	744	4219.79
742.71	743.9	4328.47
742.81	743.8	4314.4
742.91	743.7	4273.53
743.01	743.6	4326.15
743.11	743.5	4501.99
743.21	743.4	4323.91
743.31	743.3	4499.43
743.41	743.2	4309.28
743.51	743.1	4397.69
743.61	743	4497.77
743.71	742.9	4370.2
743.81	742.8	4286.54
743.91	742.7	4354.73
744.01	742.6	4358.67
744.11	742.5	4363.27
744.21	742.4	4326.5
744.31	742.3	4409.26
744.41	742.2	4470.44
744.51	742.1	4215.12
744.61	742	4278.98
744.71	741.9	4359.74
744.81	741.8	4365.96
744.91	741.7	4217.71
