c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_au he largearea.vms
Pr:Au4p
	Characteristic Energy eV	1486.61	Acquisition Time s	2
KE_Pr:Au4p	BE_Pr:Au4p	CPS_Pr:Au4p
738.21	748.4	2904.04
738.31	748.3	2909.43
738.41	748.2	2983.96
738.51	748.1	2875.85
738.61	748	3038.88
738.71	747.9	2974.72
738.81	747.8	2984.95
738.91	747.7	2885.59
739.01	747.6	2921.52
739.11	747.5	2876.41
739.21	747.4	2876.04
739.31	747.3	2953.27
739.41	747.2	2973.81
739.51	747.1	2860.09
739.61	747	2809.77
739.71	746.9	2907.41
739.81	746.8	2997.84
739.91	746.7	2911.27
740.01	746.6	2837.25
740.11	746.5	2835.33
740.21	746.4	2839.47
740.31	746.3	2862.8
740.41	746.2	2820.73
740.51	746.1	2886.91
740.61	746	2936.09
740.71	745.9	2771.62
740.81	745.8	2835.6
740.91	745.7	2933.33
741.01	745.6	2844.11
741.11	745.5	2788.89
741.21	745.4	2781.12
741.31	745.3	2865.3
741.41	745.2	2840.98
741.51	745.1	2915.11
741.61	745	2801.59
741.71	744.9	2741.11
741.81	744.8	2827.54
741.91	744.7	2765.42
742.01	744.6	2889.25
742.11	744.5	2763.57
742.21	744.4	2753.9
742.31	744.3	2934.83
742.41	744.2	2763.9
742.51	744.1	2749.13
742.61	744	2891.41
742.71	743.9	2818.58
742.81	743.8	2918.46
742.91	743.7	2738.44
743.01	743.6	2745.91
743.11	743.5	2864.89
743.21	743.4	2869.71
743.31	743.3	2826.54
743.41	743.2	2813.66
743.51	743.1	2811.48
743.61	743	2795.96
743.71	742.9	2850.33
743.81	742.8	2826.76
743.91	742.7	2776.18
744.01	742.6	2724.3
744.11	742.5	2816.98
744.21	742.4	2881.9
744.31	742.3	2802.47
744.41	742.2	2971.89
744.51	742.1	2780.62
744.61	742	2800.89
744.71	741.9	2833.01
744.81	741.8	2811.28
744.91	741.7	2848.4
745.01	741.6	2758.67
745.11	741.5	2763.29
745.21	741.4	2803.56
745.31	741.3	2761.43
745.41	741.2	2841.85
745.51	741.1	2787.87
745.61	741	2865.89
745.71	740.9	2730.06
745.81	740.8	2810.23
745.91	740.7	2758.85
746.01	740.6	2851.17
746.11	740.5	2876.44
746.21	740.4	2737.41
746.31	740.3	2860.58
746.41	740.2	2811.4
746.51	740.1	2755.66
746.61	740	2739.93
746.71	739.9	2786.95
746.81	739.8	2805.27
746.91	739.7	2834.03
747.01	739.6	2823.45
747.11	739.5	2767.32
747.21	739.4	2797.53
747.31	739.3	2828.6
747.41	739.2	2884.56
747.51	739.1	2690.98
747.61	739	2739.55
747.71	738.9	2799.61
747.81	738.8	2749.48
747.91	738.7	2778.44
748.01	738.6	2865.31
748.11	738.5	2900.22
748.21	738.4	2750.43
748.31	738.3	2750.7
748.41	738.2	2858.31
748.51	738.1	2844.83
748.61	738	2897.34
748.71	737.9	2869.3
748.81	737.8	2839.27
748.91	737.7	2703.33
749.01	737.6	2866.59
749.11	737.5	2798.35
749.21	737.4	2811.87
749.31	737.3	2744.98
749.41	737.2	2794.84
749.51	737.1	2867.2
749.61	737	2912.61
749.71	736.9	2851.22
749.81	736.8	2795.74
749.91	736.7	2756.9
750.01	736.6	2761.26
750.11	736.5	2771.02
750.21	736.4	2733.13
750.31	736.3	2827.64
750.41	736.2	2888.4
750.51	736.1	2847.56
750.61	736	2656.82
750.71	735.9	2690.92
750.81	735.8	2906.38
750.91	735.7	2882.09
751.01	735.6	2874
751.11	735.5	2870.01
751.21	735.4	2819.87
751.31	735.3	2793.93
751.41	735.2	2845.43
751.51	735.1	2777.04
751.61	735	2964.95
751.71	734.9	2766.21
751.81	734.8	2800.76
751.91	734.7	2746.57
752.01	734.6	2728.73
752.11	734.5	2751.58
752.21	734.4	2894.14
752.31	734.3	2923.04
752.41	734.2	2847.95
752.51	734.1	2857.75
752.61	734	2847.36
752.71	733.9	2800.92
752.81	733.8	2827.42
752.91	733.7	2803.07
753.01	733.6	2750.68
753.11	733.5	2875.43
753.21	733.4	2845.39
753.31	733.3	2748.04
753.41	733.2	2854.4
753.51	733.1	2831.95
753.61	733	2769.65
753.71	732.9	2835.85
753.81	732.8	2819.61
753.91	732.7	2835.11
754.01	732.6	2829.91
754.11	732.5	2952.97
754.21	732.4	2792.47
754.31	732.3	2862.52
754.41	732.2	2896.12
754.51	732.1	2836.57
754.61	732	2893.57
754.71	731.9	2887.72
754.81	731.8	2809.68
754.91	731.7	2818.28
755.01	731.6	2933.43
755.11	731.5	2770.78
755.21	731.4	2934.63
755.31	731.3	2778.13
755.41	731.2	2839.98
755.51	731.1	2744.88
755.61	731	2711.78
755.71	730.9	2802.88
755.81	730.8	2820.47
