c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_ag he largearea.vms
Pr:Ag3p
	Characteristic Energy eV	1486.61	Acquisition Time s	2.9
KE_Pr:Ag3p	BE_Pr:Ag3p	CPS_Pr:Ag3p
738.61	748	3336.45
738.71	747.9	3340.1
738.81	747.8	3375.2
738.91	747.7	3345.47
739.01	747.6	3326.67
739.11	747.5	3377.32
739.21	747.4	3334.52
739.31	747.3	3303.23
739.41	747.2	3329.88
739.51	747.1	3377.11
739.61	747	3304.9
739.71	746.9	3336.92
739.81	746.8	3299.91
739.91	746.7	3382.63
740.01	746.6	3422.76
740.11	746.5	3364.4
740.21	746.4	3358.5
740.31	746.3	3483.17
740.41	746.2	3418.99
740.51	746.1	3382.39
740.61	746	3417.94
740.71	745.9	3327.3
740.81	745.8	3366.19
740.91	745.7	3325.11
741.01	745.6	3387.61
741.11	745.5	3417.33
741.21	745.4	3429.93
741.31	745.3	3384.2
741.41	745.2	3393.94
741.51	745.1	3364.86
741.61	745	3432.85
741.71	744.9	3525.25
741.81	744.8	3460.44
741.91	744.7	3344.7
742.01	744.6	3413.1
742.11	744.5	3411.09
742.21	744.4	3444.56
742.31	744.3	3389.89
742.41	744.2	3386.18
742.51	744.1	3366.72
742.61	744	3408.46
742.71	743.9	3341.31
742.81	743.8	3408.12
742.91	743.7	3356.07
743.01	743.6	3367.71
743.11	743.5	3390.79
743.21	743.4	3399.5
743.31	743.3	3471
743.41	743.2	3453.74
743.51	743.1	3474.86
743.61	743	3463.43
743.71	742.9	3449.41
743.81	742.8	3488.57
743.91	742.7	3415.13
744.01	742.6	3391.46
744.11	742.5	3393.85
744.21	742.4	3349.8
744.31	742.3	3447.33
744.41	742.2	3506.52
744.51	742.1	3469.15
744.61	742	3472.34
744.71	741.9	3434.94
744.81	741.8	3443.02
744.91	741.7	3377.28
745.01	741.6	3406.63
745.11	741.5	3418.75
745.21	741.4	3446.59
745.31	741.3	3457.64
745.41	741.2	3506.03
745.51	741.1	3396.73
745.61	741	3302.84
745.71	740.9	3393.89
745.81	740.8	3377.14
745.91	740.7	3377.88
746.01	740.6	3435.03
746.11	740.5	3441.73
746.21	740.4	3441.6
746.31	740.3	3460.47
746.41	740.2	3447.82
746.51	740.1	3411.45
746.61	740	3392.74
746.71	739.9	3424.09
746.81	739.8	3410.2
746.91	739.7	3431.04
747.01	739.6	3358.84
747.11	739.5	3472.4
747.21	739.4	3378.89
747.31	739.3	3435.97
747.41	739.2	3492.83
747.51	739.1	3394.74
747.61	739	3400.02
747.71	738.9	3299.54
747.81	738.8	3390.72
747.91	738.7	3443.28
748.01	738.6	3497.84
748.11	738.5	3467.46
748.21	738.4	3437.26
748.31	738.3	3420.13
748.41	738.2	3423.27
748.51	738.1	3432.51
748.61	738	3496.21
748.71	737.9	3442.38
748.81	737.8	3334.28
748.91	737.7	3405.77
749.01	737.6	3390.73
749.11	737.5	3447.7
749.21	737.4	3355.05
749.31	737.3	3436.64
749.41	737.2	3379.26
749.51	737.1	3420.19
749.61	737	3392.3
749.71	736.9	3434.88
749.81	736.8	3401.75
749.91	736.7	3420.47
750.01	736.6	3405.61
750.11	736.5	3425.71
750.21	736.4	3398.23
750.31	736.3	3396.57
750.41	736.2	3381.22
750.51	736.1	3473.09
750.61	736	3438.36
750.71	735.9	3474.01
750.81	735.8	3412.08
750.91	735.7	3328.18
751.01	735.6	3353.25
751.11	735.5	3362.69
751.21	735.4	3437.55
751.31	735.3	3421.75
751.41	735.2	3451.02
751.51	735.1	3402.71
751.61	735	3416.26
751.71	734.9	3345.22
751.81	734.8	3393.69
751.91	734.7	3412.45
752.01	734.6	3426.75
752.11	734.5	3540.99
752.21	734.4	3358.05
752.31	734.3	3396.46
752.41	734.2	3427.35
752.51	734.1	3479.27
752.61	734	3483.3
752.71	733.9	3406.22
752.81	733.8	3443.63
