c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_au he largearea.vms
Pr:Au4p
	Characteristic Energy eV	1486.61	Acquisition Time s	3
KE_Pr:Au4p	BE_Pr:Au4p	CPS_Pr:Au4p
747.21	739.4	2463.49
747.31	739.3	2496.52
747.41	739.2	2430.68
747.51	739.1	2451.03
747.61	739	2453.33
747.71	738.9	2491.72
747.81	738.8	2480.57
747.91	738.7	2508.33
748.01	738.6	2469.62
748.11	738.5	2442.98
748.21	738.4	2473.03
748.31	738.3	2436.49
748.41	738.2	2415.05
748.51	738.1	2511.07
748.61	738	2468.72
748.71	737.9	2453.41
748.81	737.8	2508.97
748.91	737.7	2562.19
749.01	737.6	2588.54
749.11	737.5	2500.43
749.21	737.4	2434.38
749.31	737.3	2508.94
749.41	737.2	2471.39
749.51	737.1	2476.21
749.61	737	2539.26
749.71	736.9	2537.98
749.81	736.8	2481
749.91	736.7	2514.55
750.01	736.6	2516.67
750.11	736.5	2503.18
750.21	736.4	2513.67
750.31	736.3	2552.48
750.41	736.2	2507.8
750.51	736.1	2509.48
750.61	736	2594.13
750.71	735.9	2590.82
750.81	735.8	2478.5
750.91	735.7	2504.01
751.01	735.6	2513.19
751.11	735.5	2514.54
751.21	735.4	2644.12
751.31	735.3	2568
751.41	735.2	2514.02
751.51	735.1	2493.43
751.61	735	2510.31
751.71	734.9	2514.39
751.81	734.8	2508
751.91	734.7	2517.25
752.01	734.6	2409.16
752.11	734.5	2424.34
752.21	734.4	2542.65
752.31	734.3	2444.39
752.41	734.2	2567.9
752.51	734.1	2610.35
752.61	734	2479.32
752.71	733.9	2469.63
752.81	733.8	2444.88
752.91	733.7	2524.72
753.01	733.6	2599.49
753.11	733.5	2481.37
753.21	733.4	2606.68
753.31	733.3	2469.25
753.41	733.2	2530.89
753.51	733.1	2446.83
753.61	733	2539.74
753.71	732.9	2558.15
753.81	732.8	2477.25
753.91	732.7	2509.09
754.01	732.6	2578.1
754.11	732.5	2490.5
754.21	732.4	2418.17
754.31	732.3	2459.38
754.41	732.2	2464.35
754.51	732.1	2486.65
754.61	732	2496.46
754.71	731.9	2497.96
754.81	731.8	2544.66
754.91	731.7	2525.33
755.01	731.6	2492.77
755.11	731.5	2571.87
755.21	731.4	2468.64
755.31	731.3	2510.84
755.41	731.2	2585.01
755.51	731.1	2517.78
755.61	731	2543.85
755.71	730.9	2574.38
755.81	730.8	2552.15
755.91	730.7	2532.55
756.01	730.6	2486.71
756.11	730.5	2526.11
756.21	730.4	2572.74
756.31	730.3	2499.44
756.41	730.2	2446.01
756.51	730.1	2578.04
756.61	730	2556.3
756.71	729.9	2628.6
756.81	729.8	2531.53
756.91	729.7	2415.96
757.01	729.6	2593.06
757.11	729.5	2555.52
757.21	729.4	2657.65
757.31	729.3	2506.84
757.41	729.2	2531.14
757.51	729.1	2644.47
