c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_ag he largearea.vms
AgMNN (2)
	Characteristic Energy eV	1486.61	Acquisition Time s	2.8
KE_AgMNN (2)	BE_AgMNN (2)	CPS_AgMNN (2)
336.31	1150.3	5913
336.41	1150.2	6012.25
336.51	1150.1	6005.14
336.61	1150	6012
336.71	1149.9	5989.89
336.81	1149.8	5900.29
336.91	1149.7	5889
337.01	1149.6	5912.86
337.11	1149.5	5844.46
337.21	1149.4	5780.57
337.31	1149.3	5863.29
337.41	1149.2	5787.61
337.51	1149.1	5761.68
337.61	1149	5720.57
337.71	1148.9	5729.36
337.81	1148.8	5759.82
337.91	1148.7	5676.29
338.01	1148.6	5660.54
338.11	1148.5	5695.46
338.21	1148.4	5649.36
338.31	1148.3	5652.29
338.41	1148.2	5646.32
338.51	1148.1	5664
338.61	1148	5662.43
338.71	1147.9	5612.82
338.81	1147.8	5594.25
338.91	1147.7	5641.61
339.01	1147.6	5578.96
339.11	1147.5	5550.36
339.21	1147.4	5570.71
339.31	1147.3	5595.43
339.41	1147.2	5578.93
339.51	1147.1	5575.18
339.61	1147	5579.46
339.71	1146.9	5581.32
339.81	1146.8	5527.68
339.91	1146.7	5567.89
340.01	1146.6	5523.14
340.11	1146.5	5596.54
340.21	1146.4	5588.71
340.31	1146.3	5616.82
340.41	1146.2	5611.79
340.51	1146.1	5537
340.61	1146	5533.86
340.71	1145.9	5597.57
340.81	1145.8	5551.14
340.91	1145.7	5595.71
341.01	1145.6	5646.07
341.11	1145.5	5597.39
341.21	1145.4	5669.68
341.31	1145.3	5611.36
341.41	1145.2	5558.18
341.51	1145.1	5568.68
341.61	1145	5596.21
341.71	1144.9	5611.11
341.81	1144.8	5614.86
341.91	1144.7	5613.96
342.01	1144.6	5577.36
342.11	1144.5	5696.71
342.21	1144.4	5584.04
342.31	1144.3	5690.93
342.41	1144.2	5630.57
342.51	1144.1	5619.96
342.61	1144	5677.79
342.71	1143.9	5610.57
342.81	1143.8	5626.57
342.91	1143.7	5620.43
343.01	1143.6	5625.25
343.11	1143.5	5660.18
343.21	1143.4	5670.07
343.31	1143.3	5664.75
343.41	1143.2	5632.71
343.51	1143.1	5649.11
343.61	1143	5658.82
343.71	1142.9	5664.57
343.81	1142.8	5618
343.91	1142.7	5689.82
344.01	1142.6	5594
344.11	1142.5	5691.54
344.21	1142.4	5657.61
344.31	1142.3	5698.36
344.41	1142.2	5678.39
344.51	1142.1	5700.54
344.61	1142	5626.29
344.71	1141.9	5702.68
344.81	1141.8	5793.86
344.91	1141.7	5721.86
345.01	1141.6	5763.46
345.11	1141.5	5749.07
345.21	1141.4	5780.14
345.31	1141.3	5840.71
345.41	1141.2	5811.29
345.51	1141.1	5795.89
345.61	1141	5858.93
345.71	1140.9	5911.86
345.81	1140.8	5866.75
345.91	1140.7	5885.86
346.01	1140.6	5924.86
346.11	1140.5	5925.86
346.21	1140.4	5937
346.31	1140.3	5904.18
346.41	1140.2	5953.89
346.51	1140.1	5943.64
346.61	1140	5916.07
346.71	1139.9	5946.96
346.81	1139.8	5949.54
346.91	1139.7	6021.86
347.01	1139.6	6044.68
347.11	1139.5	6169.32
347.21	1139.4	6110.25
347.31	1139.3	6095.21
347.41	1139.2	6210.71
347.51	1139.1	6308.5
347.61	1139	6246.79
347.71	1138.9	6257.96
347.81	1138.8	6329.5
347.91	1138.7	6343.68
348.01	1138.6	6408.36
348.11	1138.5	6480.32
348.21	1138.4	6511.57
348.31	1138.3	6555.57
348.41	1138.2	6572.46
348.51	1138.1	6654.07
348.61	1138	6809.46
348.71	1137.9	6740.39
348.81	1137.8	6714.68
348.91	1137.7	6669.57
349.01	1137.6	6645.5
349.11	1137.5	6635.14
349.21	1137.4	6695.04
349.31	1137.3	6655.29
349.41	1137.2	6644.86
349.51	1137.1	6689.57
349.61	1137	6698.96
349.71	1136.9	6669.86
349.81	1136.8	6768.75
349.91	1136.7	6814.32
350.01	1136.6	6861.07
350.11	1136.5	6900.96
350.21	1136.4	6896.07
350.31	1136.3	6983.96
350.41	1136.2	7073.86
350.51	1136.1	7106.39
350.61	1136	7295.14
350.71	1135.9	7334.32
350.81	1135.8	7522.86
350.91	1135.7	7650.57
351.01	1135.6	7874.39
351.11	1135.5	8251.18
351.21	1135.4	8546.82
351.31	1135.3	8873.86
351.41	1135.2	9253.21
351.51	1135.1	9598.57
351.61	1135	9826.29
351.71	1134.9	9935.46
351.81	1134.8	9895.43
351.91	1134.7	9705.54
352.01	1134.6	9482.11
352.11	1134.5	9437.71
352.21	1134.4	9342.89
352.31	1134.3	9108.71
352.41	1134.2	8981.71
352.51	1134.1	8910.5
352.61	1134	8842.82
352.71	1133.9	8685.64
352.81	1133.8	8622.29
352.91	1133.7	8665.68
353.01	1133.6	8672.14
353.11	1133.5	8577.43
353.21	1133.4	8577.89
353.31	1133.3	8524
353.41	1133.2	8492.57
353.51	1133.1	8432
353.61	1133	8301.61
353.71	1132.9	8093.93
353.81	1132.8	8014.29
353.91	1132.7	7832.89
354.01	1132.6	7680.68
354.11	1132.5	7524.64
354.21	1132.4	7387.86
354.31	1132.3	7357.82
354.41	1132.2	7330.46
354.51	1132.1	7272.86
354.61	1132	7229.43
354.71	1131.9	7150.5
354.81	1131.8	7031.21
354.91	1131.7	6974.96
355.01	1131.6	6933.11
355.11	1131.5	6893.32
355.21	1131.4	6716.68
355.31	1131.3	6679.82
355.41	1131.2	6612.89
355.51	1131.1	6618.64
355.61	1131	6626.96
355.71	1130.9	6506.36
355.81	1130.8	6461.61
355.91	1130.7	6543.43
356.01	1130.6	6461.5
356.11	1130.5	6457.82
356.21	1130.4	6495.75
356.31	1130.3	6529.07
356.41	1130.2	6531.54
356.51	1130.1	6566.14
356.61	1130	6641.5
356.71	1129.9	6686.64
356.81	1129.8	6739.57
356.91	1129.7	6839.11
357.01	1129.6	7067.64
357.11	1129.5	7299.29
357.21	1129.4	7525
357.31	1129.3	7814.18
357.41	1129.2	8165.75
357.51	1129.1	8524
357.61	1129	8778.18
357.71	1128.9	8874
357.81	1128.8	8760.86
357.91	1128.7	8691.36
358.01	1128.6	8428.93
358.11	1128.5	8068.93
358.21	1128.4	7754
358.31	1128.3	7401.07
358.41	1128.2	7186.43
358.51	1128.1	6994.11
358.61	1128	6739.25
358.71	1127.9	6630.36
358.81	1127.8	6562.64
358.91	1127.7	6467.46
359.01	1127.6	6371.61
359.11	1127.5	6406.71
359.21	1127.4	6318.89
359.31	1127.3	6078.5
359.41	1127.2	5953.21
359.51	1127.1	5828
359.61	1127	5635.54
359.71	1126.9	5480.64
359.81	1126.8	5399.79
359.91	1126.7	5310.46
360.01	1126.6	5203.68
360.11	1126.5	5125.07
360.21	1126.4	5099.29
360.31	1126.3	5028.18
360.41	1126.2	4980.14
360.51	1126.1	4984.54
360.61	1126	4950.96
360.71	1125.9	4914.21
360.81	1125.8	4906.29
360.91	1125.7	4918.75
361.01	1125.6	4894.32
361.11	1125.5	4951.82
361.21	1125.4	4900.29
361.31	1125.3	4916.29
361.41	1125.2	4903.36
361.51	1125.1	4857.46
361.61	1125	4824.14
361.71	1124.9	4792.61
361.81	1124.8	4841.89
361.91	1124.7	4836.32
362.01	1124.6	4748.82
362.11	1124.5	4771.5
362.21	1124.4	4811.21
362.31	1124.3	4770.86
362.41	1124.2	4749.07
362.51	1124.1	4733.61
362.61	1124	4696.14
362.71	1123.9	4698.29
362.81	1123.8	4713.04
362.91	1123.7	4725.46
363.01	1123.6	4726.54
363.11	1123.5	4684.18
363.21	1123.4	4672.89
363.31	1123.3	4656.86
363.41	1123.2	4614.86
363.51	1123.1	4594.96
363.61	1123	4629.82
363.71	1122.9	4629.18
363.81	1122.8	4611.04
363.91	1122.7	4584.96
364.01	1122.6	4579.39
364.11	1122.5	4535.54
364.21	1122.4	4501.64
