c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_au he largearea.vms
Au4d
	Characteristic Energy eV	1486.61	Acquisition Time s	3
KE_Au4d	BE_Au4d	CPS_Au4d
1056.01	430.6	13974.5
1056.11	430.5	13984.9
1056.21	430.4	13939
1056.31	430.3	13986.1
1056.41	430.2	13959.1
1056.51	430.1	13856.1
1056.61	430	13908.9
1056.71	429.9	13943.5
1056.81	429.8	13888.9
1056.91	429.7	13890.3
1057.01	429.6	13844.6
1057.11	429.5	13978.7
1057.21	429.4	13931.4
1057.31	429.3	13833.7
1057.41	429.2	13929.6
1057.51	429.1	13903.7
1057.61	429	13943.1
1057.71	428.9	13950.9
1057.81	428.8	13988.9
1057.91	428.7	13978.5
1058.01	428.6	13892.2
1058.11	428.5	14013.6
1058.21	428.4	13959.1
1058.31	428.3	13962.1
1058.41	428.2	14008.8
1058.51	428.1	13932.2
1058.61	428	13890.9
1058.71	427.9	13978.2
1058.81	427.8	14022.2
1058.91	427.7	13893.1
1059.01	427.6	14052.6
1059.11	427.5	13985.3
1059.21	427.4	14016.5
1059.31	427.3	13990.1
1059.41	427.2	14029.1
1059.51	427.1	13999.2
1059.61	427	14065.1
1059.71	426.9	13998.4
1059.81	426.8	13944.8
1059.91	426.7	13973
1060.01	426.6	14027.6
1060.11	426.5	13965.4
1060.21	426.4	14031.2
1060.31	426.3	14024.8
1060.41	426.2	14075.3
1060.51	426.1	13999.9
1060.61	426	14013.6
1060.71	425.9	14134
1060.81	425.8	14031.3
1060.91	425.7	13965.8
1061.01	425.6	14045.1
1061.11	425.5	14110.5
1061.21	425.4	13970.7
1061.31	425.3	14148.1
1061.41	425.2	14054.5
1061.51	425.1	13982.8
1061.61	425	14037.7
1061.71	424.9	14032.3
1061.81	424.8	14022.8
1061.91	424.7	14053.3
1062.01	424.6	14119.9
1062.11	424.5	14070
1062.21	424.4	14182
1062.31	424.3	14134.5
1062.41	424.2	14088.3
1062.51	424.1	14148.1
1062.61	424	14168.1
1062.71	423.9	14100.8
1062.81	423.8	14167.1
