C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX340_CEC356_Ag N2 LargeArea.vms
Ag3p
	Characteristic Energy eV	1486.61	Acquisition Time s	0.7
KE_Ag3p	BE_Ag3p	CPS_Ag3p	Background_Ag3p
747.21	739.4	10358.7	10358.7
747.31	739.3	10331	10331
747.41	739.2	10589.3	10589.3
747.51	739.1	10702.6	10702.6
747.61	739	10620	10620
747.71	738.9	10564.7	10564.7
747.81	738.8	10565.8	10565.8
747.91	738.7	10612.6	10612.6
748.01	738.6	10565.6	10565.6
748.11	738.5	10310	10310
748.21	738.4	10483	10483
748.31	738.3	10414.6	10414.6
748.41	738.2	10688.7	10688.7
748.51	738.1	10564.2	10564.2
748.61	738	10523.5	10523.5
748.71	737.9	10538.2	10538.2
748.81	737.8	10686	10686
748.91	737.7	10571.3	10571.3
749.01	737.6	10324.6	10324.6
749.11	737.5	10370.3	10370.3
749.21	737.4	10478.4	10478.4
749.31	737.3	10591.5	10591.5
749.41	737.2	10638.6	10638.6
749.51	737.1	10581.4	10581.4
749.61	737	10456.9	10456.9
749.71	736.9	10653.2	10653.2
749.81	736.8	10587.9	10587.9
749.91	736.7	10607	10607
750.01	736.6	10707.1	10707.1
750.11	736.5	10813.7	10813.7
750.21	736.4	10583.6	10583.6
750.31	736.3	10535.8	10535.8
750.41	736.2	10439.7	10439.7
750.51	736.1	10517.7	10517.7
750.61	736	10675.4	10675.4
750.71	735.9	10712	10712
750.81	735.8	10625.8	10625.8
750.91	735.7	10494.8	10494.8
751.01	735.6	10636.7	10636.7
751.11	735.5	10565	10565
751.21	735.4	10548.6	10548.6
751.31	735.3	10544	10544
751.41	735.2	10544.7	10544.7
751.51	735.1	10571.2	10571.2
751.61	735	10548.8	10548.8
751.71	734.9	10619.6	10619.6
751.81	734.8	10593.1	10593.1
751.91	734.7	10687.7	10687.7
752.01	734.6	10635.2	10635.2
752.11	734.5	10626.4	10626.4
752.21	734.4	10689.2	10689.2
752.31	734.3	10593.8	10593.8
752.41	734.2	10526.6	10526.6
752.51	734.1	10587.3	10587.3
752.61	734	10759.2	10759.2
752.71	733.9	10707.4	10707.4
752.81	733.8	10783.5	10783.5
752.91	733.7	10821.9	10821.9
753.01	733.6	10745.2	10745.2
753.11	733.5	10680	10680
753.21	733.4	10547.5	10547.5
753.31	733.3	10659.6	10659.6
753.41	733.2	10961.7	10961.7
753.51	733.1	10699.8	10699.8
753.61	733	10677.6	10677.6
753.71	732.9	10631.7	10631.7
753.81	732.8	10832.4	10832.4
753.91	732.7	10636	10636
754.01	732.6	10760.6	10760.6
754.11	732.5	10889.1	10889.1
754.21	732.4	10724.2	10724.2
754.31	732.3	10607.1	10607.1
754.41	732.2	10603.8	10603.8
754.51	732.1	10759.8	10759.8
754.61	732	10687	10687
754.71	731.9	10656.2	10656.2
754.81	731.8	10604.3	10604.3
754.91	731.7	10672.3	10672.3
755.01	731.6	10797.3	10797.3
755.11	731.5	10728	10728
755.21	731.4	10814.2	10814.2
755.31	731.3	10817.2	10817.2
755.41	731.2	10740.3	10740.3
755.51	731.1	10750.1	10750.1
755.61	731	10801.1	10801.1
755.71	730.9	10621	10621
755.81	730.8	10761.1	10761.1
755.91	730.7	10607.3	10607.3
756.01	730.6	10862.8	10862.8
756.11	730.5	10802.4	10802.4
756.21	730.4	10828.7	10828.7
756.31	730.3	10788.2	10788.2
756.41	730.2	10674.4	10674.4
756.51	730.1	10708.3	10708.3
756.61	730	10801.3	10801.3
756.71	729.9	10869.1	10869.1
756.81	729.8	10885.8	10885.8
756.91	729.7	10800.8	10800.8
757.01	729.6	10823.3	10823.3
757.11	729.5	10867.1	10867.1
757.21	729.4	10694.4	10694.4
757.31	729.3	10558	10558
757.41	729.2	10756.5	10756.5
757.51	729.1	10843.7	10843.7
757.61	729	10985.8	10985.8
757.71	728.9	10829.8	10829.8
757.81	728.8	10757.6	10757.6
757.91	728.7	10923.3	10923.3
758.01	728.6	10840.1	10840.1
758.11	728.5	10748.2	10748.2
758.21	728.4	10780.9	10780.9
758.31	728.3	10926.1	10926.1
758.41	728.2	10794.3	10794.3
758.51	728.1	10981.7	10981.7
758.61	728	10972.3	10972.3
758.71	727.9	10956.4	10956.4
758.81	727.8	10827.5	10827.5
758.91	727.7	10953.3	10953.3
759.01	727.6	10798.3	10798.3
759.11	727.5	11075.2	11075.2
759.21	727.4	10852.1	10852.1
759.31	727.3	11095.6	11095.6
759.41	727.2	10992	10992
759.51	727.1	10961	10961
759.61	727	10924.6	10924.6
759.71	726.9	11158.5	11158.5
759.81	726.8	11127	11127
759.91	726.7	11129.2	11129.2
760.01	726.6	10968.1	10968.1
760.11	726.5	11048.2	11048.2
760.21	726.4	11199.2	11199.2
760.31	726.3	11188	11188
760.41	726.2	11017.3	11017.3
760.51	726.1	11223	11223
760.61	726	11029.7	11029.7
760.71	725.9	10913.6	10913.6
760.81	725.8	11130.3	11130.3
760.91	725.7	11292.9	11292.9
761.01	725.6	11191.1	11191.1
761.11	725.5	11148.8	11148.8
761.21	725.4	11226.2	11226.2
761.31	725.3	11257.1	11257.1
761.41	725.2	11115.3	11115.3
761.51	725.1	11186.1	11186.1
761.61	725	11139	11139
761.71	724.9	11200.4	11200.4
761.81	724.8	11368.2	11368.2
761.91	724.7	11299.8	11299.8
762.01	724.6	11271.4	11271.4
762.11	724.5	11267.2	11267.2
762.21	724.4	11383.9	11383.9
762.31	724.3	11441.3	11441.3
762.41	724.2	11222.9	11222.9
762.51	724.1	11516.8	11516.8
762.61	724	11502.7	11502.7
762.71	723.9	11675.3	11675.3
762.81	723.8	11534.7	11534.7
762.91	723.7	11546.4	11546.4
763.01	723.6	11614.1	11614.1
763.11	723.5	11595.8	11595.8
763.21	723.4	11545	11545
763.31	723.3	11512.1	11512.1
763.41	723.2	11549.6	11549.6
