c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_au n2 largearea.vms
Au4d
	Characteristic Energy eV	1486.61	Acquisition Time s	3
KE_Au4d	BE_Au4d	CPS_Au4d
1079.31	407.3	8036.87
1079.41	407.2	8111.77
1079.51	407.1	8159.93
1079.61	407	8224.63
1079.71	406.9	8280.2
1079.81	406.8	8474.53
1079.91	406.7	8642.87
1080.01	406.6	8875.03
1080.11	406.5	9212.13
1080.21	406.4	9742.97
1080.31	406.3	10462.1
1080.41	406.2	11193.9
1080.51	406.1	11951
1080.61	406	12706.4
1080.71	405.9	13264.3
1080.81	405.8	13138.3
1080.91	405.7	12351.8
1081.01	405.6	11236.9
1081.11	405.5	10107.1
1081.21	405.4	9217.2
1081.31	405.3	8683.8
1081.41	405.2	8362.67
1081.51	405.1	8211.83
1081.61	405	8220.67
1081.71	404.9	8139.47
1081.81	404.8	8120.5
1081.91	404.7	8111.37
1082.01	404.6	8055.83
1082.11	404.5	8119.63
1082.21	404.4	8082.33
1082.31	404.3	8042.37
1082.41	404.2	8080.83
1082.51	404.1	8096.77
1082.61	404	8106.27
1082.71	403.9	8043.3
1082.81	403.8	8048.2
1082.91	403.7	8084.67
1083.01	403.6	8082.8
1083.11	403.5	8071.63
1083.21	403.4	8111.5
1083.31	403.3	8076.93
1083.41	403.2	8028.13
1083.51	403.1	8060.77
1083.61	403	8134.03
1083.71	402.9	8078.3
1083.81	402.8	8042.9
1083.91	402.7	8107.53
1084.01	402.6	8077.7
1084.11	402.5	8106.73
1084.21	402.4	8093.1
1084.31	402.3	8056.37
1084.41	402.2	8093.93
1084.51	402.1	8078.27
1084.61	402	8041.77
1084.71	401.9	8093
1084.81	401.8	8163.77
1084.91	401.7	8230.53
1085.01	401.6	8216.27
1085.11	401.5	8123.5
1085.21	401.4	8143.67
1085.31	401.3	8101.7
1085.41	401.2	8193.2
1085.51	401.1	8143
1085.61	401	8162.37
1085.71	400.9	8124.67
1085.81	400.8	8149.33
1085.91	400.7	8116.33
1086.01	400.6	8239.83
1086.11	400.5	8166.37
1086.21	400.4	8200.87
1086.31	400.3	8203.13
1086.41	400.2	8242.13
1086.51	400.1	8251.63
1086.61	400	8222.07
1086.71	399.9	8198.1
1086.81	399.8	8213.3
1086.91	399.7	8215.03
1087.01	399.6	8215.33
1087.11	399.5	8233.13
1087.21	399.4	8231.97
1087.31	399.3	8221.83
1087.41	399.2	8232.53
1087.51	399.1	8195.63
1087.61	399	8202.37
1087.71	398.9	8201.97
1087.81	398.8	8186.87
1087.91	398.7	8176.1
1088.01	398.6	8216.83
1088.11	398.5	8276.8
1088.21	398.4	8215.63
1088.31	398.3	8225.43
1088.41	398.2	8269.23
1088.51	398.1	8247.07
1088.61	398	8229.57
1088.71	397.9	8189.3
1088.81	397.8	8207.53
1088.91	397.7	8263
1089.01	397.6	8225.87
1089.11	397.5	8234.17
1089.21	397.4	8272.07
1089.31	397.3	8251.2
1089.41	397.2	8164.5
1089.51	397.1	8207.53
