c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_cu n2 largearea.vms
Cu3s
	Characteristic Energy eV	1486.61	Acquisition Time s	2
KE_Cu3s	BE_Cu3s	CPS_Cu3s
1328.61	158	2259.95
1328.71	157.9	2235.6
1328.81	157.8	2236.39
1328.91	157.7	2209.99
1329.01	157.6	2172.59
1329.11	157.5	2147.59
1329.21	157.4	2186.47
1329.31	157.3	2216.72
1329.41	157.2	2206.71
1329.51	157.1	2214.16
1329.61	157	2242.97
1329.71	156.9	2261.36
1329.81	156.8	2256.62
1329.91	156.7	2184.06
1330.01	156.6	2207.57
1330.11	156.5	2225.46
1330.21	156.4	2248.16
1330.31	156.3	2183.52
1330.41	156.2	2172.06
1330.51	156.1	2245.92
1330.61	156	2266.17
1330.71	155.9	2175.17
1330.81	155.8	2221.42
1330.91	155.7	2246.8
1331.01	155.6	2248.92
1331.11	155.5	2219.6
1331.21	155.4	2219.26
1331.31	155.3	2253.28
1331.41	155.2	2232.97
1331.51	155.1	2262.93
1331.61	155	2280.16
1331.71	154.9	2234.44
1331.81	154.8	2246.75
1331.91	154.7	2279.89
1332.01	154.6	2286.33
1332.11	154.5	2256.13
1332.21	154.4	2230.14
1332.31	154.3	2210.4
1332.41	154.2	2317.38
1332.51	154.1	2326.32
1332.61	154	2257.93
1332.71	153.9	2275.97
1332.81	153.8	2255.57
1332.91	153.7	2281.07
1333.01	153.6	2278.28
1333.11	153.5	2285.9
1333.21	153.4	2273.72
1333.31	153.3	2279.98
1333.41	153.2	2306.18
1333.51	153.1	2258.45
1333.61	153	2258.89
1333.71	152.9	2287.31
1333.81	152.8	2265.07
1333.91	152.7	2270.78
1334.01	152.6	2273.02
1334.11	152.5	2271.68
1334.21	152.4	2233.79
1334.31	152.3	2238.7
1334.41	152.2	2260.98
1334.51	152.1	2284.95
1334.61	152	2334.69
1334.71	151.9	2282.95
1334.81	151.8	2312.59
1334.91	151.7	2333.89
1335.01	151.6	2327.48
1335.11	151.5	2291.29
1335.21	151.4	2258.46
1335.31	151.3	2301.01
1335.41	151.2	2307.2
1335.51	151.1	2296.96
1335.61	151	2316.32
1335.71	150.9	2327.36
1335.81	150.8	2295.65
1335.91	150.7	2289.43
1336.01	150.6	2283.38
1336.11	150.5	2311.59
1336.21	150.4	2341.36
1336.31	150.3	2386.78
1336.41	150.2	2281.58
1336.51	150.1	2305.89
1336.61	150	2271.45
1336.71	149.9	2304.1
1336.81	149.8	2318.93
1336.91	149.7	2309.38
1337.01	149.6	2326.81
1337.11	149.5	2354.95
1337.21	149.4	2374.77
1337.31	149.3	2374.59
1337.41	149.2	2359.81
1337.51	149.1	2351.82
1337.61	149	2314.86
1337.71	148.9	2308.65
1337.81	148.8	2331.94
1337.91	148.7	2300.93
1338.01	148.6	2316.38
1338.11	148.5	2357.65
1338.21	148.4	2272.03
1338.31	148.3	2294.54
1338.41	148.2	2353.93
1338.51	148.1	2343.9
1338.61	148	2301.3
1338.71	147.9	2325.12
1338.81	147.8	2328.58
1338.91	147.7	2304.89
1339.01	147.6	2365.22
1339.11	147.5	2371.96
1339.21	147.4	2361.48
1339.31	147.3	2323.31
1339.41	147.2	2334.55
1339.51	147.1	2344.99
1339.61	147	2369.12
1339.71	146.9	2405.53
1339.81	146.8	2384.01
1339.91	146.7	2343.4
1340.01	146.6	2371.43
1340.11	146.5	2392.45
1340.21	146.4	2392.04
1340.31	146.3	2423.47
1340.41	146.2	2377.3
1340.51	146.1	2360.94
1340.61	146	2408.86
1340.71	145.9	2407.2
1340.81	145.8	2401.01
1340.91	145.7	2367.55
1341.01	145.6	2346.24
1341.11	145.5	2384.28
1341.21	145.4	2377.05
1341.31	145.3	2414.3
1341.41	145.2	2392.45
1341.51	145.1	2392.65
1341.61	145	2429.89
1341.71	144.9	2387.68
1341.81	144.8	2414.92
1341.91	144.7	2385.51
1342.01	144.6	2410.92
1342.11	144.5	2400.99
1342.21	144.4	2411.89
1342.31	144.3	2420.25
1342.41	144.2	2445.07
1342.51	144.1	2390.42
1342.61	144	2379.86
1342.71	143.9	2404.78
1342.81	143.8	2407.05
1342.91	143.7	2485.04
1343.01	143.6	2471.39
1343.11	143.5	2436.61
1343.21	143.4	2454.24
1343.31	143.3	2407.88
1343.41	143.2	2418.03
1343.51	143.1	2422.42
1343.61	143	2430.19
1343.71	142.9	2417.88
1343.81	142.8	2425
1343.91	142.7	2405.87
1344.01	142.6	2397.25
1344.11	142.5	2456.04
1344.21	142.4	2485.4
1344.31	142.3	2496.64
1344.41	142.2	2452.02
1344.51	142.1	2373.72
1344.61	142	2442.44
1344.71	141.9	2444.75
1344.81	141.8	2445.01
1344.91	141.7	2427.57
1345.01	141.6	2429.7
1345.11	141.5	2451.16
1345.21	141.4	2436.11
1345.31	141.3	2449.66
1345.41	141.2	2438.53
1345.51	141.1	2464.13
1345.61	141	2473.16
1345.71	140.9	2398.27
1345.81	140.8	2410.59
1345.91	140.7	2425.43
1346.01	140.6	2391.47
1346.11	140.5	2493.01
1346.21	140.4	2541.1
1346.31	140.3	2529.89
1346.41	140.2	2523.9
1346.51	140.1	2444.64
1346.61	140	2418.21
1346.71	139.9	2412.01
1346.81	139.8	2418.74
1346.91	139.7	2412.57
1347.01	139.6	2453.67
1347.11	139.5	2446.51
1347.21	139.4	2429.28
1347.31	139.3	2389.34
1347.41	139.2	2411.39
1347.51	139.1	2408.76
1347.61	139	2443.66
1347.71	138.9	2452.93
1347.81	138.8	2418.18
1347.91	138.7	2465.78
1348.01	138.6	2416.49
1348.11	138.5	2433.8
1348.21	138.4	2424.12
1348.31	138.3	2471.29
1348.41	138.2	2444.19
1348.51	138.1	2425.98
1348.61	138	2389.76
1348.71	137.9	2397.92
1348.81	137.8	2426.86
1348.91	137.7	2434.99
1349.01	137.6	2456.05
1349.11	137.5	2500.03
1349.21	137.4	2496.78
1349.31	137.3	2457.49
1349.41	137.2	2449.72
1349.51	137.1	2457.42
1349.61	137	2478.67
1349.71	136.9	2480.47
1349.81	136.8	2431.07
1349.91	136.7	2433.55
1350.01	136.6	2439.35
1350.11	136.5	2415.8
1350.21	136.4	2466.8
1350.31	136.3	2512.25
1350.41	136.2	2427.07
1350.51	136.1	2457.69
1350.61	136	2517.14
1350.71	135.9	2477.45
1350.81	135.8	2456.19
1350.91	135.7	2421.18
1351.01	135.6	2439.93
1351.11	135.5	2467.97
1351.21	135.4	2497.1
1351.31	135.3	2517.69
1351.41	135.2	2462.55
1351.51	135.1	2470.14
1351.61	135	2467.05
1351.71	134.9	2422.82
1351.81	134.8	2431.35
1351.91	134.7	2420.99
1352.01	134.6	2420.9
1352.11	134.5	2467.93
1352.21	134.4	2457.55
1352.31	134.3	2435.72
1352.41	134.2	2437.5
1352.51	134.1	2476.72
1352.61	134	2479.7
1352.71	133.9	2419.13
1352.81	133.8	2463.56
1352.91	133.7	2461.43
1353.01	133.6	2472.26
1353.11	133.5	2451.56
1353.21	133.4	2409.1
1353.31	133.3	2431.03
1353.41	133.2	2484.86
1353.51	133.1	2436.72
1353.61	133	2460.47
1353.71	132.9	2487.06
1353.81	132.8	2420.66
1353.91	132.7	2455.98
1354.01	132.6	2503.42
1354.11	132.5	2392.65
1354.21	132.4	2489.25
1354.31	132.3	2490.2
1354.41	132.2	2464.59
1354.51	132.1	2403.09
1354.61	132	2454.82
1354.71	131.9	2481.34
1354.81	131.8	2484.14
1354.91	131.7	2486.83
1355.01	131.6	2464.12
1355.11	131.5	2416.35
1355.21	131.4	2474.49
1355.31	131.3	2385.09
1355.41	131.2	2410.22
1355.51	131.1	2384.65
1355.61	131	2433.4
1355.71	130.9	2407.5
1355.81	130.8	2424.63
1355.91	130.7	2419.19
1356.01	130.6	2435.8
1356.11	130.5	2397.18
1356.21	130.4	2419.14
1356.31	130.3	2432.03
1356.41	130.2	2462.21
1356.51	130.1	2456.92
1356.61	130	2425.05
1356.71	129.9	2437.59
1356.81	129.8	2398.06
1356.91	129.7	2420.47
1357.01	129.6	2437.74
1357.11	129.5	2422.01
1357.21	129.4	2397.15
1357.31	129.3	2421.76
1357.41	129.2	2458.8
1357.51	129.1	2466.82
1357.61	129	2435.76
1357.71	128.9	2440.34
1357.81	128.8	2429.54
1357.91	128.7	2451.93
1358.01	128.6	2465.39
1358.11	128.5	2421.93
1358.21	128.4	2441.48
1358.31	128.3	2455.89
1358.41	128.2	2489.55
1358.51	128.1	2497.66
1358.61	128	2426.56
1358.71	127.9	2456.36
1358.81	127.8	2462.45
1358.91	127.7	2467.34
1359.01	127.6	2424.05
1359.11	127.5	2539.2
1359.21	127.4	2561.07
1359.31	127.3	2542.22
1359.41	127.2	2550.7
1359.51	127.1	2605.01
1359.61	127	2570.16
1359.71	126.9	2617.61
1359.81	126.8	2587.48
1359.91	126.7	2656.43
1360.01	126.6	2629.01
1360.11	126.5	2617.3
1360.21	126.4	2680.89
1360.31	126.3	2695.95
1360.41	126.2	2708.57
1360.51	126.1	2723.31
1360.61	126	2771.28
1360.71	125.9	2706.22
1360.81	125.8	2787.2
1360.91	125.7	2751.93
1361.01	125.6	2879.14
1361.11	125.5	2883.22
1361.21	125.4	2937.57
1361.31	125.3	2888.49
1361.41	125.2	2917.32
1361.51	125.1	2962.9
1361.61	125	2987.93
1361.71	124.9	3067.34
1361.81	124.8	3192.47
1361.91	124.7	3248.35
1362.01	124.6	3257.98
1362.11	124.5	3356.04
1362.21	124.4	3448.15
1362.31	124.3	3557.28
1362.41	124.2	3577.51
1362.51	124.1	3685.55
1362.61	124	3816.72
1362.71	123.9	3933.08
1362.81	123.8	4126.81
1362.91	123.7	4249.58
1363.01	123.6	4419.73
1363.11	123.5	4560.94
1363.21	123.4	4782.4
1363.31	123.3	4948.52
1363.41	123.2	5120.65
1363.51	123.1	5267.8
1363.61	123	5540.15
1363.71	122.9	5667.65
1363.81	122.8	5833.85
1363.91	122.7	5913.6
1364.01	122.6	5947.7
1364.11	122.5	5941.25
1364.21	122.4	5956.05
1364.31	122.3	5879.8
1364.41	122.2	5755.55
1364.51	122.1	5540.25
1364.61	122	5354.9
1364.71	121.9	5156.4
1364.81	121.8	4992.34
