C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX340_CEC356_Ag N2 LargeArea.vms
AgMNN
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_AgMNN	BE_AgMNN	CPS_AgMNN	Background_AgMNN
297.51	1189.1	14210	14210
297.61	1189	14146.9	14146.9
297.71	1188.9	14137.6	14137.6
297.81	1188.8	14226.4	14226.4
297.91	1188.7	14016.7	14016.7
298.01	1188.6	14197.1	14197.1
298.11	1188.5	14115.9	14115.9
298.21	1188.4	14081.8	14081.8
298.31	1188.3	13922.4	13922.4
298.41	1188.2	14184	14184
298.51	1188.1	14104.7	14104.7
298.61	1188	14017.3	14017.3
298.71	1187.9	13979.7	13979.7
298.81	1187.8	13976.9	13976.9
298.91	1187.7	14076.8	14076.8
299.01	1187.6	13901.2	13901.2
299.11	1187.5	14072.6	14072.6
299.21	1187.4	14032.9	14032.9
299.31	1187.3	14011.5	14011.5
299.41	1187.2	14001.1	14001.1
299.51	1187.1	13950	13950
299.61	1187	14035.3	14035.3
299.71	1186.9	13962.2	13962.2
299.81	1186.8	13980.7	13980.7
299.91	1186.7	13916.8	13916.8
300.01	1186.6	13903.8	13903.8
300.11	1186.5	13864.8	13864.8
300.21	1186.4	13813.8	13813.8
300.31	1186.3	13858.8	13858.8
300.41	1186.2	13789.9	13789.9
300.51	1186.1	13826.4	13826.4
300.61	1186	13844.3	13844.3
300.71	1185.9	13800.1	13800.1
300.81	1185.8	13814.7	13814.7
300.91	1185.7	13814.2	13814.2
301.01	1185.6	13751.1	13751.1
301.11	1185.5	13672.6	13672.6
301.21	1185.4	13640.8	13640.8
301.31	1185.3	13585.9	13585.9
301.41	1185.2	13541	13541
301.51	1185.1	13604.4	13604.4
301.61	1185	13590.7	13590.7
301.71	1184.9	13596	13596
301.81	1184.8	13532.1	13532.1
301.91	1184.7	13344.5	13344.5
302.01	1184.6	13382.9	13382.9
302.11	1184.5	13436.5	13436.5
302.21	1184.4	13438	13438
302.31	1184.3	13408.6	13408.6
302.41	1184.2	13242.3	13242.3
302.51	1184.1	13095.5	13095.5
302.61	1184	13127	13127
302.71	1183.9	13191.8	13191.8
302.81	1183.8	13203.4	13203.4
302.91	1183.7	13040.2	13040.2
303.01	1183.6	12897.4	12897.4
303.11	1183.5	13130.5	13130.5
303.21	1183.4	12932.2	12932.2
303.31	1183.3	12846.5	12846.5
303.41	1183.2	12842	12842
303.51	1183.1	12904.5	12904.5
303.61	1183	12829.7	12829.7
303.71	1182.9	12679	12679
303.81	1182.8	12650	12650
303.91	1182.7	12867.6	12867.6
304.01	1182.6	12715.1	12715.1
304.11	1182.5	12526.7	12526.7
304.21	1182.4	12520.7	12520.7
304.31	1182.3	12556.5	12556.5
304.41	1182.2	12563	12563
304.51	1182.1	12458.3	12458.3
304.61	1182	12330.5	12330.5
304.71	1181.9	12222.3	12222.3
304.81	1181.8	12324.3	12324.3
304.91	1181.7	12278.9	12278.9
305.01	1181.6	12111.3	12111.3
305.11	1181.5	12137.7	12137.7
305.21	1181.4	12251.1	12251.1
305.31	1181.3	12174.7	12174.7
305.41	1181.2	12196.6	12196.6
305.51	1181.1	12159.3	12159.3
305.61	1181	12017.1	12017.1
305.71	1180.9	11950.8	11950.8
305.81	1180.8	11877.9	11877.9
305.91	1180.7	11987.8	11987.8
306.01	1180.6	11880.6	11880.6
306.11	1180.5	11746.8	11746.8
306.21	1180.4	11943.1	11943.1
306.31	1180.3	11738.1	11738.1
306.41	1180.2	11915.9	11915.9
306.51	1180.1	11589.1	11589.1
306.61	1180	11664.3	11664.3
306.71	1179.9	11679.3	11679.3
306.81	1179.8	11585.2	11585.2
306.91	1179.7	11487.4	11487.4
307.01	1179.6	11573.2	11573.2
307.11	1179.5	11484.5	11484.5
307.21	1179.4	11295.1	11295.1
307.31	1179.3	11361.8	11361.8
307.41	1179.2	11290.1	11290.1
307.51	1179.1	11358.4	11358.4
307.61	1179	11281	11281
307.71	1178.9	11237.2	11237.2
307.81	1178.8	11239.6	11239.6
307.91	1178.7	11250.8	11250.8
308.01	1178.6	11132.9	11132.9
308.11	1178.5	11084	11084
308.21	1178.4	10966.9	10966.9
308.31	1178.3	11004.3	11004.3
308.41	1178.2	11032.4	11032.4
308.51	1178.1	10888	10888
308.61	1178	10754.3	10754.3
308.71	1177.9	10858.7	10858.7
308.81	1177.8	10875.9	10875.9
308.91	1177.7	10736.2	10736.2
309.01	1177.6	10840	10840
309.11	1177.5	10849.3	10849.3
309.21	1177.4	10864.4	10864.4
309.31	1177.3	10712.8	10712.8
309.41	1177.2	10786.5	10786.5
309.51	1177.1	10640.6	10640.6
309.61	1177	10559.1	10559.1
309.71	1176.9	10545.5	10545.5
309.81	1176.8	10534.4	10534.4
309.91	1176.7	10568.5	10568.5
310.01	1176.6	10595.1	10595.1
310.11	1176.5	10478.2	10478.2
310.21	1176.4	10454	10454
310.31	1176.3	10326.7	10326.7
310.41	1176.2	10348.7	10348.7
310.51	1176.1	10462.6	10462.6
310.61	1176	10314.7	10314.7
310.71	1175.9	10325.4	10325.4
310.81	1175.8	10323.4	10323.4
310.91	1175.7	10304.1	10304.1
311.01	1175.6	10277.4	10277.4
311.11	1175.5	10230.9	10230.9
311.21	1175.4	10192.1	10192.1
311.31	1175.3	10226.3	10226.3
311.41	1175.2	10351.8	10351.8
311.51	1175.1	10310.8	10310.8
311.61	1175	10155	10155
311.71	1174.9	10249	10249
311.81	1174.8	10206.5	10206.5
311.91	1174.7	10266	10266
312.01	1174.6	10240.5	10240.5
312.11	1174.5	10044.3	10044.3
312.21	1174.4	10078.7	10078.7
312.31	1174.3	9986.15	9986.15
312.41	1174.2	9992.82	9992.82
312.51	1174.1	10075.6	10075.6
312.61	1174	9948.75	9948.75
312.71	1173.9	9986.55	9986.55
312.81	1173.8	10026	10026
312.91	1173.7	9950.84	9950.84
313.01	1173.6	10010.8	10010.8
313.11	1173.5	9833.26	9833.26
313.21	1173.4	9808.92	9808.92
313.31	1173.3	9986.64	9986.64
313.41	1173.2	9760.52	9760.52
313.51	1173.1	9856.51	9856.51
313.61	1173	9970.67	9970.67
313.71	1172.9	9985.76	9985.76
313.81	1172.8	9839.17	9839.17
313.91	1172.7	9821.77	9821.77
314.01	1172.6	9878.33	9878.33
314.11	1172.5	9850.88	9850.88
314.21	1172.4	9824.45	9824.45
314.31	1172.3	9826.47	9826.47
314.41	1172.2	9754.97	9754.97
314.51	1172.1	9783.87	9783.87
314.61	1172	9864.54	9864.54
314.71	1171.9	9729.35	9729.35
314.81	1171.8	9705.7	9705.7
314.91	1171.7	9791.56	9791.56
315.01	1171.6	9692.57	9692.57
315.11	1171.5	9631.5	9631.5
315.21	1171.4	9840.03	9840.03
315.31	1171.3	9840.6	9840.6
315.41	1171.2	9854.24	9854.24
315.51	1171.1	9745.11	9745.11
315.61	1171	9797.3	9797.3
315.71	1170.9	9785.65	9785.65
315.81	1170.8	9861.96	9861.96
315.91	1170.7	9696.36	9696.36
316.01	1170.6	9740.35	9740.35
316.11	1170.5	9686.65	9686.65
316.21	1170.4	9722.93	9722.93
316.31	1170.3	9784.23	9784.23
316.41	1170.2	9906.79	9906.79
316.51	1170.1	9698.34	9698.34
316.61	1170	9712.33	9712.33
316.71	1169.9	9736.59	9736.59
316.81	1169.8	9708.72	9708.72
316.91	1169.7	9560.3	9560.3
317.01	1169.6	9553.32	9553.32
