c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_cu n2 largearea.vms
Cu LMM
	Characteristic Energy eV	1486.61	Acquisition Time s	4.35
KE_Cu LMM	BE_Cu LMM	CPS_Cu LMM
927.247	559.363	1309.93
927.347	559.263	1314.21
927.447	559.163	1297.71
927.546	559.064	1292.13
927.646	558.964	1305.73
927.746	558.864	1300.85
927.846	558.764	1310.84
927.946	558.664	1303.47
928.046	558.564	1298.44
928.146	558.464	1299.97
928.246	558.364	1278.26
928.346	558.264	1268.26
928.446	558.164	1250.39
928.545	558.065	1264.92
928.645	557.965	1261.95
928.745	557.865	1262.21
928.845	557.765	1247.44
928.945	557.665	1249.74
929.045	557.565	1244.33
929.145	557.465	1212.7
929.245	557.365	1208.95
929.345	557.265	1225.89
929.445	557.165	1227.22
929.544	557.066	1230.86
929.644	556.966	1202.59
929.744	556.866	1210.56
929.844	556.766	1210.54
929.944	556.666	1189.05
930.044	556.566	1188.63
930.144	556.466	1182.37
930.244	556.366	1184.26
930.344	556.266	1197
930.443	556.167	1165.43
930.543	556.067	1170.79
930.643	555.967	1177.58
930.743	555.867	1171.5
930.843	555.767	1150.97
930.943	555.667	1149.73
931.043	555.567	1166.04
931.143	555.467	1164.31
931.243	555.367	1140.45
931.343	555.267	1157.32
931.442	555.168	1158.39
931.542	555.068	1168.8
931.642	554.968	1179.3
931.742	554.868	1181.84
931.842	554.768	1171.64
931.942	554.668	1182.68
932.042	554.568	1166.94
932.142	554.468	1184.85
932.242	554.368	1153.1
932.342	554.268	1171.99
932.441	554.169	1178.64
932.541	554.069	1200.79
932.641	553.969	1177.32
932.741	553.869	1190.94
932.841	553.769	1188.71
932.941	553.669	1169.63
933.041	553.569	1194.63
933.141	553.469	1183.73
933.241	553.369	1200.95
933.34	553.27	1218.5
933.44	553.17	1210.73
933.54	553.07	1214
933.64	552.97	1226.24
933.74	552.87	1243.91
933.84	552.77	1253.78
933.94	552.67	1271.9
934.04	552.57	1269
934.14	552.47	1287.31
934.24	552.37	1297.95
934.339	552.271	1293.24
934.439	552.171	1283.23
934.539	552.071	1291.85
934.639	551.971	1297.31
934.739	551.871	1294.29
934.839	551.771	1300.44
934.939	551.671	1291.2
935.039	551.571	1253.59
935.139	551.471	1243.98
935.238	551.372	1220.41
935.338	551.272	1208.62
935.438	551.172	1193.99
935.538	551.072	1172.05
935.638	550.972	1124.18
935.738	550.872	1121.19
935.838	550.772	1118.02
935.938	550.672	1114.53
936.038	550.572	1079.3
936.138	550.472	1091.58
936.237	550.373	1111.72
936.337	550.273	1092.77
936.437	550.173	1067.16
936.537	550.073	1112.34
936.637	549.973	1116.31
936.737	549.873	1096.14
936.837	549.773	1093.75
936.937	549.673	1117.51
937.037	549.573	1150.09
937.137	549.473	1154.7
937.236	549.374	1167.25
937.336	549.274	1191.22
937.436	549.174	1233.39
937.536	549.074	1244.46
937.636	548.974	1318.47
937.736	548.874	1346.71
937.836	548.774	1364.1
937.936	548.674	1378.14
938.036	548.574	1437.5
938.135	548.475	1458.51
938.235	548.375	1473.19
938.335	548.275	1486.4
938.435	548.175	1470.37
938.535	548.075	1437.96
938.635	547.975	1427.19
938.735	547.875	1382.34
938.835	547.775	1353.63
938.935	547.675	1309.68
939.035	547.575	1276.77
939.134	547.476	1253.64
939.234	547.376	1260.49
939.334	547.276	1195.08
939.434	547.176	1183.09
939.534	547.076	1164.88
939.634	546.976	1100.16
939.734	546.876	1080.15
939.834	546.776	1084.43
939.934	546.676	1065.44
940.033	546.577	1036.29
940.133	546.477	1030.08
940.233	546.377	984.432
940.333	546.277	1001.09
940.433	546.177	985.414
940.533	546.077	975.556
940.633	545.977	975.669
940.733	545.877	992.264
940.833	545.777	960.655
940.933	545.677	952.657
941.032	545.578	963.89
941.132	545.478	964.347
941.232	545.378	939.784
941.332	545.278	938.418
941.432	545.178	937.028
941.532	545.078	912.648
941.632	544.978	898.211
941.732	544.878	905.545
941.832	544.778	875.297
941.932	544.678	866.414
942.031	544.579	888.522
942.131	544.479	863.664
942.231	544.379	857.568
942.331	544.279	842.359
942.431	544.179	842.216
942.531	544.079	839.607
942.631	543.979	809.784
942.731	543.879	820.195
942.831	543.779	803.499
942.93	543.68	795.517
943.03	543.58	813.034
943.13	543.48	794.108
943.23	543.38	787.122
943.33	543.28	775.297
943.43	543.18	773.752
943.53	543.08	783.211
943.63	542.98	785.713
943.73	542.88	794.922
943.83	542.78	781.278
943.929	542.681	778.152
944.029	542.581	742.637
944.129	542.481	746.011
944.229	542.381	773.503
944.329	542.281	760.037
944.429	542.181	768.703
944.529	542.081	770.966
944.629	541.981	769.103
944.729	541.881	776.972
944.828	541.782	765.828
944.928	541.682	745.929
945.028	541.582	763.869
945.128	541.482	776.671
945.228	541.382	774.761
945.328	541.282	749.754
945.428	541.182	750.915
945.528	541.082	767.211
945.628	540.982	748.517
945.728	540.882	746.2
945.827	540.783	756.503
945.927	540.683	748.584
946.027	540.583	734.897
946.127	540.483	752.628
946.227	540.383	743.639
946.327	540.283	755.103
946.427	540.183	740.143
946.527	540.083	758.115
946.627	539.983	757.071
946.727	539.883	754.418
946.826	539.784	741.478
