c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_cu n2 largearea.vms
Cu LMM
	Characteristic Energy eV	1486.61	Acquisition Time s	3
KE_Cu LMM	BE_Cu LMM	CPS_Cu LMM
930.843	555.767	4090.83
930.943	555.667	4151.07
931.043	555.567	4155.6
931.143	555.467	4174.5
931.243	555.367	4142.33
931.343	555.267	4232.4
931.442	555.168	4213.83
931.542	555.068	4138.8
931.642	554.968	4190.33
931.742	554.868	4281.13
931.842	554.768	4260.47
931.942	554.668	4256.8
932.042	554.568	4296.33
932.142	554.468	4286.7
932.242	554.368	4268.3
932.342	554.268	4376.93
932.441	554.169	4336.37
932.541	554.069	4448.7
932.641	553.969	4398.07
932.741	553.869	4373.7
932.841	553.769	4367.47
932.941	553.669	4354.07
933.041	553.569	4398.77
933.141	553.469	4390.6
933.241	553.369	4459.97
933.34	553.27	4483.5
933.44	553.17	4521.63
933.54	553.07	4513.1
933.64	552.97	4616.47
933.74	552.87	4607.57
933.84	552.77	4666.87
933.94	552.67	4777.3
934.04	552.57	4774.7
934.14	552.47	4845.5
934.24	552.37	4914.37
934.339	552.271	4949.83
934.439	552.171	4988.53
934.539	552.071	5048.63
934.639	551.971	5005.9
934.739	551.871	4988.37
934.839	551.771	4957.87
934.939	551.671	4910.07
935.039	551.571	4794.53
935.139	551.471	4668.83
935.238	551.372	4624.57
935.338	551.272	4548.7
935.438	551.172	4392.17
935.538	551.072	4312.8
935.638	550.972	4212.9
935.738	550.872	4095.7
935.838	550.772	4011.07
935.938	550.672	4005.77
936.038	550.572	3986.6
936.138	550.472	3991.43
936.237	550.373	3899.93
936.337	550.273	3839.43
936.437	550.173	3889.07
936.537	550.073	3879.17
936.637	549.973	3881.57
936.737	549.873	3918.4
936.837	549.773	4029.7
936.937	549.673	4082.57
937.037	549.573	4139.33
937.137	549.473	4222.23
937.236	549.374	4318.23
937.336	549.274	4512.97
937.436	549.174	4734.1
937.536	549.074	4852.17
937.636	548.974	4997.33
937.736	548.874	5225.7
937.836	548.774	5512.27
937.936	548.674	5646.07
938.036	548.574	5772.37
938.135	548.475	6033.5
938.235	548.375	6072.67
938.335	548.275	6072.03
938.435	548.175	6016.3
938.535	548.075	5901.6
938.635	547.975	5774.37
938.735	547.875	5577.47
938.835	547.775	5396.17
938.935	547.675	5130.6
939.035	547.575	4945.07
939.134	547.476	4762.87
939.234	547.376	4574.03
939.334	547.276	4408.43
939.434	547.176	4316
939.534	547.076	4140.53
939.634	546.976	4012.57
939.734	546.876	3827.3
939.834	546.776	3718.3
939.934	546.676	3618.27
940.033	546.577	3502.83
940.133	546.477	3390.63
940.233	546.377	3336.57
940.333	546.277	3295.57
940.433	546.177	3278.3
940.533	546.077	3209.64
940.633	545.977	3159.78
940.733	545.877	3132.64
940.833	545.777	3162.34
940.933	545.677	3110.34
941.032	545.578	3067.53
941.132	545.478	3005.82
941.232	545.378	2907.93
941.332	545.278	2885.44
941.432	545.178	2815.27
941.532	545.078	2798.85
941.632	544.978	2699.21
941.732	544.878	2656.49
941.832	544.778	2547.68
941.932	544.678	2506.86
942.031	544.579	2500.91
942.131	544.479	2454.69
942.231	544.379	2381.87
942.331	544.279	2334.05
942.431	544.179	2281.94
942.531	544.079	2262.76
942.631	543.979	2284.51
942.731	543.879	2255.36
942.831	543.779	2241.55
942.93	543.68	2231.74
943.03	543.58	2203.6
943.13	543.48	2203.76
943.23	543.38	2230.83
943.33	543.28	2214.37
943.43	543.18	2157.91
943.53	543.08	2125.94
943.63	542.98	2161.02
943.73	542.88	2172.04
943.83	542.78	2150.24
943.929	542.681	2116.53
944.029	542.581	2113.16
944.129	542.481	2098.54
944.229	542.381	2129.32
944.329	542.281	2112.3
944.429	542.181	2109.41
944.529	542.081	2108.2
944.629	541.981	2090.8
944.729	541.881	2096.43
944.828	541.782	2041.87
944.928	541.682	2034.46
945.028	541.582	2088.32
945.128	541.482	2057.95
945.228	541.382	2028.82
945.328	541.282	2015.86
945.428	541.182	2022.95
945.528	541.082	2011.3
945.628	540.982	2030.25
945.728	540.882	2028.96
945.827	540.783	2021.29
945.927	540.683	2007.77
946.027	540.583	1999.92
946.127	540.483	1959.97
946.227	540.383	1972.02
946.327	540.283	1955.95
946.427	540.183	1979.15
946.527	540.083	1962.47
946.627	539.983	1916.04
946.727	539.883	1907.96
946.826	539.784	1918.29
946.926	539.684	1927.62
947.026	539.584	1959.01
947.126	539.484	1920.88
947.226	539.384	1885.17
947.326	539.284	1889.61
947.426	539.184	1914.49
947.526	539.084	1909.5
947.626	538.984	1860.1
947.725	538.885	1841.17
947.825	538.785	1865.43
947.925	538.685	1872.82
948.025	538.585	1889.25
948.125	538.485	1859.45
948.225	538.385	1864.87
948.325	538.285	1835.02
948.425	538.185	1848.62
948.525	538.085	1823.84
948.625	537.985	1824.24
948.724	537.886	1815.29
948.824	537.786	1805.11
948.924	537.686	1806.8
949.024	537.586	1807.53
949.124	537.486	1783.67
949.224	537.386	1796.49
949.324	537.286	1783.77
949.424	537.186	1757.75
949.524	537.086	1793.95
949.623	536.987	1787.83
949.723	536.887	1737.68
949.823	536.787	1730.52
949.923	536.687	1766.52
950.023	536.587	1745.64
950.123	536.487	1731.42
950.223	536.387	1749.72
950.323	536.287	1756.28
950.423	536.187	1763.28
950.523	536.087	1764.06
950.622	535.988	1757.5
950.722	535.888	1751.84
950.822	535.788	1748.34
950.922	535.688	1725.36
951.022	535.588	1744.25
951.122	535.488	1726.58
951.222	535.388	1730.71
951.322	535.288	1759.01
951.422	535.188	1764.68
951.522	535.088	1747.77
951.621	534.989	1773.05
951.721	534.889	1751.37
951.821	534.789	1747.85
951.921	534.689	1788.5
952.021	534.589	1799.77
952.121	534.489	1805.35
952.221	534.389	1800.58
952.321	534.289	1827.11
952.421	534.189	1834.03
952.52	534.09	1849.99
952.62	533.99	1845.32
952.72	533.89	1861.42
952.82	533.79	1879.18
952.92	533.69	1917.07
953.02	533.59	1892.38
953.12	533.49	1924.18
953.22	533.39	1936.59
953.32	533.29	2002.91
953.42	533.19	2046.65
953.519	533.091	2057.04
953.619	532.991	2107.35
953.719	532.891	2120.61
953.819	532.791	2188.42
953.919	532.691	2234.28
954.019	532.591	2266.76
954.119	532.491	2293.54
954.219	532.391	2364.73
