C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX340_CEC356_Ag N2 LargeArea.vms
AgMNN
	Characteristic Energy eV	1486.61	Acquisition Time s	2.9
KE_AgMNN	BE_AgMNN	CPS_AgMNN
318.81	1167.8	1284.29
318.91	1167.7	1277.3
319.01	1167.6	1324.48
319.11	1167.5	1294.75
319.21	1167.4	1295.73
319.31	1167.3	1287.79
319.41	1167.2	1291.95
319.51	1167.1	1323.05
319.61	1167	1324.83
319.71	1166.9	1294.64
319.81	1166.8	1308.46
319.91	1166.7	1302.47
320.01	1166.6	1280.13
320.11	1166.5	1335.18
320.21	1166.4	1331.54
320.31	1166.3	1299.94
320.41	1166.2	1273.72
320.51	1166.1	1315.4
320.61	1166	1309.22
320.71	1165.9	1307.24
320.81	1165.8	1298.47
320.91	1165.7	1309.21
321.01	1165.6	1325.9
321.11	1165.5	1305.79
321.21	1165.4	1290.7
321.31	1165.3	1296.16
321.41	1165.2	1331.03
321.51	1165.1	1315.5
321.61	1165	1314.44
321.71	1164.9	1308.7
321.81	1164.8	1300.39
321.91	1164.7	1321.84
322.01	1164.6	1333.13
322.11	1164.5	1309.84
322.21	1164.4	1283.79
322.31	1164.3	1292
322.41	1164.2	1292.87
322.51	1164.1	1319.07
322.61	1164	1314.32
322.71	1163.9	1337.55
322.81	1163.8	1332.73
322.91	1163.7	1318.9
323.01	1163.6	1322.72
323.11	1163.5	1328.19
323.21	1163.4	1288.25
323.31	1163.3	1303.46
323.41	1163.2	1304.26
323.51	1163.1	1301.27
323.61	1163	1353.01
323.71	1162.9	1329.8
323.81	1162.8	1304.58
323.91	1162.7	1344.81
324.01	1162.6	1342.8
324.11	1162.5	1332.8
324.21	1162.4	1335.9
324.31	1162.3	1299.41
324.41	1162.2	1295.83
324.51	1162.1	1354.68
324.61	1162	1369.89
324.71	1161.9	1329.32
324.81	1161.8	1324.01
324.91	1161.7	1329.9
325.01	1161.6	1292.35
325.11	1161.5	1328.27
325.21	1161.4	1313.29
325.31	1161.3	1323.9
325.41	1161.2	1306.42
325.51	1161.1	1337.99
325.61	1161	1324.19
325.71	1160.9	1321.03
325.81	1160.8	1339.9
325.91	1160.7	1338.2
326.01	1160.6	1353.11
326.11	1160.5	1340.31
326.21	1160.4	1343.33
326.31	1160.3	1360.31
326.41	1160.2	1363.99
326.51	1160.1	1349.19
326.61	1160	1357.24
326.71	1159.9	1346.58
326.81	1159.8	1330.23
326.91	1159.7	1342.03
327.01	1159.6	1375.13
327.11	1159.5	1339.68
327.21	1159.4	1338.38
327.31	1159.3	1317.11
327.41	1159.2	1341.65
327.51	1159.1	1330.33
327.61	1159	1331.84
327.71	1158.9	1329.4
327.81	1158.8	1339.78
327.91	1158.7	1328.56
328.01	1158.6	1338.14
328.11	1158.5	1327.44
328.21	1158.4	1347.63
328.31	1158.3	1350.02
328.41	1158.2	1336.21
328.51	1158.1	1349.64
328.61	1158	1366.6
328.71	1157.9	1362.21
328.81	1157.8	1363.33
328.91	1157.7	1341.09
329.01	1157.6	1353.23
329.11	1157.5	1325.79
329.21	1157.4	1352.6
329.31	1157.3	1371.46
329.41	1157.2	1356.08
329.51	1157.1	1346.13
329.61	1157	1377.43
329.71	1156.9	1348.77
329.81	1156.8	1358.07
329.91	1156.7	1359.31
330.01	1156.6	1357.74
330.11	1156.5	1377.66
330.21	1156.4	1349.28
330.31	1156.3	1351.76
330.41	1156.2	1332.53
330.51	1156.1	1342.54
330.61	1156	1323.71
330.71	1155.9	1334.03
330.81	1155.8	1379.51
330.91	1155.7	1360.56
331.01	1155.6	1371.8
331.11	1155.5	1380.88
331.21	1155.4	1353.13
331.31	1155.3	1354.95
331.41	1155.2	1373.16
331.51	1155.1	1372.23
331.61	1155	1349.01
331.71	1154.9	1358.21
331.81	1154.8	1375.63
331.91	1154.7	1337.36
332.01	1154.6	1364.93
332.11	1154.5	1347.59
332.21	1154.4	1382
332.31	1154.3	1380.46
332.41	1154.2	1398.42
332.51	1154.1	1354.64
332.61	1154	1353.85
332.71	1153.9	1371.2
332.81	1153.8	1345.1
332.91	1153.7	1353.37
333.01	1153.6	1372.76
333.11	1153.5	1331.63
333.21	1153.4	1367.15
333.31	1153.3	1333.13
333.41	1153.2	1350.71
333.51	1153.1	1341.89
333.61	1153	1393.3
333.71	1152.9	1355.23
333.81	1152.8	1340.28
333.91	1152.7	1379.43
334.01	1152.6	1388.54
334.11	1152.5	1361.8
334.21	1152.4	1380.69
334.31	1152.3	1361.8
334.41	1152.2	1363.3
334.51	1152.1	1365.5
334.61	1152	1401.35
334.71	1151.9	1358.92
334.81	1151.8	1375.65
334.91	1151.7	1402
335.01	1151.6	1394.55
335.11	1151.5	1357.63
335.21	1151.4	1380.43
335.31	1151.3	1396.43
335.41	1151.2	1362.45
335.51	1151.1	1381.63
335.61	1151	1366.62
335.71	1150.9	1390.11
335.81	1150.8	1395.25
335.91	1150.7	1373.71
336.01	1150.6	1406.63
336.11	1150.5	1393
336.21	1150.4	1400.36
336.31	1150.3	1379.66
336.41	1150.2	1407.02
336.51	1150.1	1425.83
336.61	1150	1406.51
336.71	1149.9	1384.14
336.81	1149.8	1384.9
336.91	1149.7	1403.38
337.01	1149.6	1387.08
337.11	1149.5	1357.76
337.21	1149.4	1399.54
337.31	1149.3	1428.95
337.41	1149.2	1423.09
337.51	1149.1	1400.83
337.61	1149	1417.52
337.71	1148.9	1385.84
337.81	1148.8	1406.27
337.91	1148.7	1413.49
338.01	1148.6	1424.18
338.11	1148.5	1433.39
338.21	1148.4	1424.02
338.31	1148.3	1435.32
338.41	1148.2	1433.44
338.51	1148.1	1435.61
338.61	1148	1428.63
338.71	1147.9	1429.24
338.81	1147.8	1423.33
338.91	1147.7	1420.1
339.01	1147.6	1411.38
339.11	1147.5	1393.46
339.21	1147.4	1413.55
339.31	1147.3	1396.51
339.41	1147.2	1390.18
339.51	1147.1	1432.81
339.61	1147	1420.92
339.71	1146.9	1394.35
339.81	1146.8	1341.96
339.91	1146.7	1356.68
340.01	1146.6	1391.69
340.11	1146.5	1402.61
340.21	1146.4	1384.85
340.31	1146.3	1382.09
340.41	1146.2	1378.95
340.51	1146.1	1370.98
340.61	1146	1383.03
340.71	1145.9	1417.37
340.81	1145.8	1388.59
340.91	1145.7	1361.15
341.01	1145.6	1406.74
341.11	1145.5	1410.74
341.21	1145.4	1378.83
341.31	1145.3	1408.84
341.41	1145.2	1386.69
341.51	1145.1	1324.37
341.61	1145	1354.4
341.71	1144.9	1359.15
341.81	1144.8	1365.81
341.91	1144.7	1399.64
342.01	1144.6	1367.96
342.11	1144.5	1366.61
342.21	1144.4	1370.51
342.31	1144.3	1352.8
342.41	1144.2	1363.89
342.51	1144.1	1364.25
342.61	1144	1353.57
342.71	1143.9	1352.11
342.81	1143.8	1387.22
342.91	1143.7	1357.71
343.01	1143.6	1402.37
343.11	1143.5	1389.43
343.21	1143.4	1393.03
343.31	1143.3	1366.82
343.41	1143.2	1342.36
343.51	1143.1	1385.08
343.61	1143	1388.82
343.71	1142.9	1403.27
343.81	1142.8	1329.96
343.91	1142.7	1370.19
344.01	1142.6	1409.6
344.11	1142.5	1329.82
344.21	1142.4	1387.35
344.31	1142.3	1375.55
344.41	1142.2	1396.02
344.51	1142.1	1393.64
344.61	1142	1375.23
344.71	1141.9	1396.04
344.81	1141.8	1375.39
344.91	1141.7	1357.7
345.01	1141.6	1356.51
345.11	1141.5	1388.68
345.21	1141.4	1385.39
345.31	1141.3	1342.88
345.41	1141.2	1383.31
345.51	1141.1	1339.8
345.61	1141	1362.19
345.71	1140.9	1375.96
345.81	1140.8	1361.17
345.91	1140.7	1342
346.01	1140.6	1372.66
346.11	1140.5	1340.98
346.21	1140.4	1336.32
346.31	1140.3	1358.36
346.41	1140.2	1350.48
346.51	1140.1	1339.46
346.61	1140	1356.37
346.71	1139.9	1388.32
346.81	1139.8	1361.94
346.91	1139.7	1366.79
347.01	1139.6	1362.21
347.11	1139.5	1353.3
347.21	1139.4	1365.1
347.31	1139.3	1362.51
347.41	1139.2	1347.26
347.51	1139.1	1331.54
347.61	1139	1340.25
347.71	1138.9	1339.51
347.81	1138.8	1355.64
347.91	1138.7	1341.8
348.01	1138.6	1342.1
348.11	1138.5	1335.76
348.21	1138.4	1350.33
348.31	1138.3	1384.58
348.41	1138.2	1347.62
348.51	1138.1	1370.07
348.61	1138	1376.38
348.71	1137.9	1360.32
348.81	1137.8	1382.38
348.91	1137.7	1395.17
349.01	1137.6	1368.78
349.11	1137.5	1343.17
349.21	1137.4	1349.83
349.31	1137.3	1358.74
349.41	1137.2	1351.18
349.51	1137.1	1334.3
349.61	1137	1359.39
349.71	1136.9	1367.44
349.81	1136.8	1368.11
349.91	1136.7	1391.13
350.01	1136.6	1405.76
350.11	1136.5	1393.76
350.21	1136.4	1412.85
350.31	1136.3	1391.18
350.41	1136.2	1439.51
350.51	1136.1	1400.04
350.61	1136	1424
350.71	1135.9	1450.81
350.81	1135.8	1423.68
350.91	1135.7	1449.8
351.01	1135.6	1479.84
351.11	1135.5	1526.03
351.21	1135.4	1558.12
351.31	1135.3	1588.32
351.41	1135.2	1609.55
351.51	1135.1	1654.95
351.61	1135	1643.06
351.71	1134.9	1671.18
351.81	1134.8	1658.31
351.91	1134.7	1638.6
352.01	1134.6	1641.86
352.11	1134.5	1583.51
352.21	1134.4	1606.3
352.31	1134.3	1630.94
352.41	1134.2	1601.47
352.51	1134.1	1587.88
352.61	1134	1567.39
352.71	1133.9	1560.33
352.81	1133.8	1553.73
352.91	1133.7	1537.52
353.01	1133.6	1545.54
353.11	1133.5	1535.38
353.21	1133.4	1567.02
353.31	1133.3	1550.15
353.41	1133.2	1536.48
353.51	1133.1	1500.89
353.61	1133	1509.23
353.71	1132.9	1513.68
353.81	1132.8	1507.82
353.91	1132.7	1472.52
354.01	1132.6	1479.39
354.11	1132.5	1406.33
354.21	1132.4	1434.63
354.31	1132.3	1413.05
354.41	1132.2	1427.72
354.51	1132.1	1433.3
354.61	1132	1442.72
354.71	1131.9	1416.31
354.81	1131.8	1436.5
354.91	1131.7	1393.67
355.01	1131.6	1389.13
355.11	1131.5	1403.69
355.21	1131.4	1377.74
355.31	1131.3	1405.41
355.41	1131.2	1381.11
355.51	1131.1	1364.31
355.61	1131	1342.13
355.71	1130.9	1363
355.81	1130.8	1362.44
355.91	1130.7	1362.33
356.01	1130.6	1372.13
356.11	1130.5	1350.31
356.21	1130.4	1327.72
356.31	1130.3	1340.96
