C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX340_CEC356_Ag N2 LargeArea.vms
Ag3p
	Characteristic Energy eV	1486.61	Acquisition Time s	2.8
KE_Ag3p	BE_Ag3p	CPS_Ag3p
745.61	741	3777.64
745.71	740.9	3727.5
745.81	740.8	3747.28
745.91	740.7	3749.99
746.01	740.6	3760.66
746.11	740.5	3730.72
746.21	740.4	3703.9
746.31	740.3	3776.35
746.41	740.2	3760.94
746.51	740.1	3736.12
746.61	740	3734.86
746.71	739.9	3734.13
746.81	739.8	3739.65
746.91	739.7	3771.34
747.01	739.6	3746.84
747.11	739.5	3728.14
747.21	739.4	3726.89
747.31	739.3	3765.29
747.41	739.2	3813.66
747.51	739.1	3767.7
747.61	739	3763.21
747.71	738.9	3775.74
747.81	738.8	3777.22
747.91	738.7	3736.94
748.01	738.6	3782.89
748.11	738.5	3748.35
748.21	738.4	3770.86
748.31	738.3	3786.63
748.41	738.2	3820.01
748.51	738.1	3825.22
748.61	738	3743.67
748.71	737.9	3769.6
748.81	737.8	3781.47
748.91	737.7	3733.28
749.01	737.6	3769.73
749.11	737.5	3759.54
749.21	737.4	3809.89
749.31	737.3	3800.43
749.41	737.2	3789.13
749.51	737.1	3840.6
749.61	737	3838.52
749.71	736.9	3807.7
749.81	736.8	3774.58
749.91	736.7	3802.74
750.01	736.6	3792.67
750.11	736.5	3812.59
750.21	736.4	3831.89
750.31	736.3	3856.38
750.41	736.2	3790.07
750.51	736.1	3788.52
750.61	736	3767.83
750.71	735.9	3797.38
750.81	735.8	3742.44
750.91	735.7	3847.62
751.01	735.6	3838.51
751.11	735.5	3809.15
751.21	735.4	3784.18
751.31	735.3	3806.37
751.41	735.2	3807.4
751.51	735.1	3812.66
751.61	735	3805.48
751.71	734.9	3835.88
751.81	734.8	3860.82
751.91	734.7	3787.31
752.01	734.6	3787.78
752.11	734.5	3820.64
752.21	734.4	3809.65
752.31	734.3	3804.68
752.41	734.2	3845.04
752.51	734.1	3858.26
752.61	734	3809.49
752.71	733.9	3783.17
752.81	733.8	3789.35
752.91	733.7	3768.05
753.01	733.6	3763.6
753.11	733.5	3800.01
753.21	733.4	3813.6
753.31	733.3	3800.4
753.41	733.2	3744.51
753.51	733.1	3781.8
753.61	733	3873.26
753.71	732.9	3835.21
753.81	732.8	3812.42
753.91	732.7	3801.46
754.01	732.6	3806.11
754.11	732.5	3832.87
754.21	732.4	3786.57
754.31	732.3	3794.94
754.41	732.2	3766.97
754.51	732.1	3798.87
754.61	732	3835.62
754.71	731.9	3851.62
754.81	731.8	3853.71
754.91	731.7	3834.74
755.01	731.6	3818.34
755.11	731.5	3847.37
755.21	731.4	3814.89
755.31	731.3	3774.19
755.41	731.2	3790.37
755.51	731.1	3798.9
755.61	731	3800.88
755.71	730.9	3831.8
755.81	730.8	3852.64
755.91	730.7	3835.67
756.01	730.6	3809.64
756.11	730.5	3789.89
756.21	730.4	3801.82
756.31	730.3	3813.33
756.41	730.2	3787.78
756.51	730.1	3827.46
756.61	730	3793.94
756.71	729.9	3798.34
756.81	729.8	3840.33
756.91	729.7	3757.05
757.01	729.6	3771.78
757.11	729.5	3849.72
757.21	729.4	3780.69
757.31	729.3	3804.37
757.41	729.2	3755.35
757.51	729.1	3846.25
757.61	729	3821.71
757.71	728.9	3788.1
757.81	728.8	3800.37
757.91	728.7	3787.46
758.01	728.6	3790.43
758.11	728.5	3769.29
758.21	728.4	3779.33
758.31	728.3	3786.81
758.41	728.2	3771.21
758.51	728.1	3789.14
758.61	728	3780.71
758.71	727.9	3831.99
758.81	727.8	3812.52
758.91	727.7	3816.68
759.01	727.6	3806.26
759.11	727.5	3814.3
759.21	727.4	3867.15
759.31	727.3	3836.75
759.41	727.2	3782.86
759.51	727.1	3823.83
759.61	727	3799.56
759.71	726.9	3803.97
759.81	726.8	3769.81
759.91	726.7	3803.25
760.01	726.6	3805.99
760.11	726.5	3847.92
760.21	726.4	3831.49
760.31	726.3	3841.34
760.41	726.2	3834.72
760.51	726.1	3854.17
760.61	726	3806.36
760.71	725.9	3779.81
760.81	725.8	3830.79
760.91	725.7	3885.82
761.01	725.6	3867.53
761.11	725.5	3870.91
761.21	725.4	3862.15
761.31	725.3	3844.61
761.41	725.2	3913.29
761.51	725.1	3868.07
761.61	725	3815.23
761.71	724.9	3804.83
761.81	724.8	3834.24
761.91	724.7	3807.97
762.01	724.6	3836.67
762.11	724.5	3834.48
762.21	724.4	3831.95
762.31	724.3	3850.68
762.41	724.2	3888.25
762.51	724.1	3878.1
762.61	724	3870.15
762.71	723.9	3897.37
762.81	723.8	3879.69
762.91	723.7	3863.01
763.01	723.6	3822.34
763.11	723.5	3834.43
763.21	723.4	3837.53
763.31	723.3	3850.34
763.41	723.2	3884.99
763.51	723.1	3906.02
763.61	723	3903.85
763.71	722.9	3919.5
763.81	722.8	3855.54
763.91	722.7	3897
764.01	722.6	3946.63
764.11	722.5	3913.27
764.21	722.4	3973.14
764.31	722.3	3928.13
764.41	722.2	3959.65
764.51	722.1	3951.83
764.61	722	3945.76
764.71	721.9	3934.52
764.81	721.8	3927.13
764.91	721.7	3995.39
765.01	721.6	3866.24
765.11	721.5	3922.14
765.21	721.4	3959.99
765.31	721.3	3959.21
765.41	721.2	3950.58
765.51	721.1	3925.91
765.61	721	3944.34
765.71	720.9	3946.7
765.81	720.8	4008.18
765.91	720.7	3975.33
766.01	720.6	3965.31
766.11	720.5	4002.31
766.21	720.4	3952.86
766.31	720.3	3903.83
766.41	720.2	3966.38
766.51	720.1	3993.35
766.61	720	4025.37
766.71	719.9	4018.51
766.81	719.8	3971.18
766.91	719.7	3996.83
767.01	719.6	4017.94
767.11	719.5	4020.75
767.21	719.4	3933.52
767.31	719.3	3958.08
767.41	719.2	4086.8
767.51	719.1	4002.23
767.61	719	3983.84
767.71	718.9	3952.59
767.81	718.8	3988.97
767.91	718.7	3976.71
768.01	718.6	3978.13
768.11	718.5	3959.99
768.21	718.4	4033.43
768.31	718.3	4017.93
768.41	718.2	3990.49
768.51	718.1	3993.76
768.61	718	4002.48
768.71	717.9	3982.51
768.81	717.8	3967.77
768.91	717.7	3979.69
769.01	717.6	3963.27
769.11	717.5	3871.1
769.21	717.4	3979.38
769.31	717.3	3961.47
769.41	717.2	3966.71
769.51	717.1	3938.15
769.61	717	3970.14
769.71	716.9	4000.82
769.81	716.8	3975.56
769.91	716.7	3987.6
770.01	716.6	3960.96
770.11	716.5	3938.61
770.21	716.4	3939.32
770.31	716.3	3939.39
770.41	716.2	3924.3
770.51	716.1	3891.98
770.61	716	3935.25
770.71	715.9	3850.57
770.81	715.8	3940.86
770.91	715.7	4009.59
771.01	715.6	4008.71
771.11	715.5	3987.12
771.21	715.4	3915.2
771.31	715.3	3927.77
771.41	715.2	3936.57
771.51	715.1	3946.01
771.61	715	3952.04
771.71	714.9	3955.32
771.81	714.8	3918.93
771.91	714.7	3930.13
772.01	714.6	3901.08
772.11	714.5	3908.3
772.21	714.4	3885.38
772.31	714.3	3948.06
772.41	714.2	3860.73
772.51	714.1	3907.01
772.61	714	3783.46
772.71	713.9	3839.22
772.81	713.8	3825.35
772.91	713.7	3873.98
773.01	713.6	3847.84
773.11	713.5	3895.42
773.21	713.4	3896.93
773.31	713.3	3868.48
773.41	713.2	3860.02
