c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_cu n2 largearea.vms
Pr:Cu2s
	Characteristic Energy eV	1486.61	Acquisition Time s	4
KE_Pr:Cu2s	BE_Pr:Cu2s	CPS_Pr:Cu2s
358.61	1128	1464.37
358.71	1127.9	1428.31
358.81	1127.8	1496.77
358.91	1127.7	1489.24
359.01	1127.6	1510.23
359.11	1127.5	1528.55
359.21	1127.4	1395.81
359.31	1127.3	1504.8
359.41	1127.2	1479.29
359.51	1127.1	1395.98
359.61	1127	1454.46
359.71	1126.9	1436.2
359.81	1126.8	1412.29
359.91	1126.7	1466.22
360.01	1126.6	1389.06
360.11	1126.5	1507.37
360.21	1126.4	1478.78
360.31	1126.3	1465.27
360.41	1126.2	1572.55
360.51	1126.1	1471.81
360.61	1126	1499.32
360.71	1125.9	1490.35
360.81	1125.8	1444.81
360.91	1125.7	1580.04
361.01	1125.6	1516.52
361.11	1125.5	1583.47
361.21	1125.4	1576.73
361.31	1125.3	1598.86
361.41	1125.2	1602.07
361.51	1125.1	1483.77
361.61	1125	1413.82
361.71	1124.9	1427.4
361.81	1124.8	1518.08
361.91	1124.7	1545.01
362.01	1124.6	1557.96
362.11	1124.5	1509.44
362.21	1124.4	1491.92
362.31	1124.3	1459.57
362.41	1124.2	1612.39
362.51	1124.1	1532.15
362.61	1124	1566.12
362.71	1123.9	1535.95
362.81	1123.8	1533.52
362.91	1123.7	1520.12
363.01	1123.6	1497.97
363.11	1123.5	1533.77
363.21	1123.4	1585.55
363.31	1123.3	1570.72
363.41	1123.2	1494.57
363.51	1123.1	1513.72
363.61	1123	1588.84
363.71	1122.9	1695.99
363.81	1122.8	1663.38
363.91	1122.7	1610.06
364.01	1122.6	1524.55
364.11	1122.5	1568.95
364.21	1122.4	1523.2
364.31	1122.3	1640.49
364.41	1122.2	1512.34
364.51	1122.1	1589.86
364.61	1122	1524.46
364.71	1121.9	1522
364.81	1121.8	1576.7
364.91	1121.7	1638.19
365.01	1121.6	1585.56
365.11	1121.5	1524.46
365.21	1121.4	1623.5
365.31	1121.3	1580.12
365.41	1121.2	1715.04
365.51	1121.1	1621.26
365.61	1121	1639.05
365.71	1120.9	1631.87
365.81	1120.8	1627.97
365.91	1120.7	1666.26
366.01	1120.6	1599.98
366.11	1120.5	1628.02
366.21	1120.4	1640.54
366.31	1120.3	1666.55
366.41	1120.2	1645.89
366.51	1120.1	1673.71
366.61	1120	1660.95
366.71	1119.9	1624.17
366.81	1119.8	1671.21
366.91	1119.7	1647.87
367.01	1119.6	1677.66
367.11	1119.5	1535.55
367.21	1119.4	1523.92
367.31	1119.3	1583.15
367.41	1119.2	1566.24
367.51	1119.1	1619.96
367.61	1119	1639.92
367.71	1118.9	1619.33
367.81	1118.8	1664.79
367.91	1118.7	1680.68
368.01	1118.6	1671.39
368.11	1118.5	1581.2
368.21	1118.4	1595.58
368.31	1118.3	1688.79
368.41	1118.2	1664.5
368.51	1118.1	1643.64
368.61	1118	1608.45
368.71	1117.9	1703.08
368.81	1117.8	1631.71
368.91	1117.7	1748.27
369.01	1117.6	1725.13
369.11	1117.5	1631.88
369.21	1117.4	1715.11
369.31	1117.3	1760.97
369.41	1117.2	1695.1
369.51	1117.1	1643.93
369.61	1117	1667.93
369.71	1116.9	1603.96
369.81	1116.8	1695.83
369.91	1116.7	1653.16
370.01	1116.6	1560.19
370.11	1116.5	1712.44
370.21	1116.4	1622.04
370.31	1116.3	1803.34
370.41	1116.2	1667.19
370.51	1116.1	1644.04
370.61	1116	1654.61
370.71	1115.9	1612.61
370.81	1115.8	1567.91
370.91	1115.7	1650.78
371.01	1115.6	1647.05
371.11	1115.5	1623.52
371.21	1115.4	1612.34
371.31	1115.3	1666.63
371.41	1115.2	1675.77
371.51	1115.1	1628.97
371.61	1115	1664.88
371.71	1114.9	1682.3
371.81	1114.8	1680.04
371.91	1114.7	1639.66
372.01	1114.6	1701.12
372.11	1114.5	1669.58
372.21	1114.4	1615.52
372.31	1114.3	1722.01
372.41	1114.2	1657.45
372.51	1114.1	1630.46
372.61	1114	1655.77
372.71	1113.9	1695.4
372.81	1113.8	1623.21
372.91	1113.7	1654.54
373.01	1113.6	1723.9
373.11	1113.5	1712.21
373.21	1113.4	1742.19
373.31	1113.3	1721.49
373.41	1113.2	1659.12
373.51	1113.1	1650.78
373.61	1113	1630.98
373.71	1112.9	1699.91
373.81	1112.8	1640.46
373.91	1112.7	1578.26
374.01	1112.6	1481.66
374.11	1112.5	1586.53
374.21	1112.4	1651.16
374.31	1112.3	1608.45
374.41	1112.2	1657.12
374.51	1112.1	1650.42
374.61	1112	1684.34
374.71	1111.9	1695.33
374.81	1111.8	1549.45
374.91	1111.7	1615.74
375.01	1111.6	1717.48
375.11	1111.5	1560.75
375.21	1111.4	1582.79
375.31	1111.3	1634.78
375.41	1111.2	1615.19
375.51	1111.1	1560.23
375.61	1111	1485.21
375.71	1110.9	1602.05
375.81	1110.8	1598.61
375.91	1110.7	1618.04
376.01	1110.6	1542.5
376.11	1110.5	1581.5
376.21	1110.4	1603.78
376.31	1110.3	1553.01
376.41	1110.2	1627.44
376.51	1110.1	1574.57
376.61	1110	1634.47
376.71	1109.9	1646.42
376.81	1109.8	1571.77
376.91	1109.7	1500.87
377.01	1109.6	1507.19
377.11	1109.5	1610.46
377.21	1109.4	1575.38
377.31	1109.3	1549.6
377.41	1109.2	1567.42
377.51	1109.1	1603.52
377.61	1109	1605.56
377.71	1108.9	1601.27
377.81	1108.8	1549.41
377.91	1108.7	1566.17
378.01	1108.6	1500.46
378.11	1108.5	1542.62
378.21	1108.4	1520.81
378.31	1108.3	1532.59
378.41	1108.2	1581.52
378.51	1108.1	1495.93
378.61	1108	1494.24
378.71	1107.9	1427.29
378.81	1107.8	1520.34
378.91	1107.7	1434.92
379.01	1107.6	1590.57
379.11	1107.5	1570.2
379.21	1107.4	1616.32
379.31	1107.3	1549.12
379.41	1107.2	1567.92
379.51	1107.1	1501.29
379.61	1107	1470.16
379.71	1106.9	1529.87
379.81	1106.8	1576.57
379.91	1106.7	1503.21
380.01	1106.6	1414.07
380.11	1106.5	1468.96
380.21	1106.4	1459.75
380.31	1106.3	1498.58
380.41	1106.2	1421.19
380.51	1106.1	1387.57
380.61	1106	1338.01
380.71	1105.9	1378.14
380.81	1105.8	1456.67
380.91	1105.7	1513.49
381.01	1105.6	1456.95
381.11	1105.5	1509.3
381.21	1105.4	1490.22
381.31	1105.3	1455.37
381.41	1105.2	1464.59
381.51	1105.1	1468.36
381.61	1105	1480.28
381.71	1104.9	1433
381.81	1104.8	1459.77
381.91	1104.7	1444.76
382.01	1104.6	1509.05
382.11	1104.5	1560.08
382.21	1104.4	1515.8
382.31	1104.3	1546.01
382.41	1104.2	1506.31
382.51	1104.1	1429.7
382.61	1104	1354.03
382.71	1103.9	1508.73
