c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_au n2 largearea.vms
Au4d
	Characteristic Energy eV	1486.61	Acquisition Time s	1.9
KE_Au4d	BE_Au4d	CPS_Au4d
1058.21	428.4	15975
1058.31	428.3	16021.4
1058.41	428.2	15941.8
1058.51	428.1	15926.3
1058.61	428	15961.2
1058.71	427.9	16070.9
1058.81	427.8	15916.1
1058.91	427.7	16070.9
1059.01	427.6	15998.9
1059.11	427.5	16024.3
1059.21	427.4	16066.5
1059.31	427.3	16128.4
1059.41	427.2	16105.7
1059.51	427.1	16056.7
1059.61	427	16054.6
1059.71	426.9	16156.3
1059.81	426.8	16165.1
1059.91	426.7	16208.6
1060.01	426.6	16070.6
1060.11	426.5	16072.5
1060.21	426.4	16138.6
1060.31	426.3	16078.1
1060.41	426.2	16122.3
1060.51	426.1	16019.1
1060.61	426	16006.2
1060.71	425.9	16102.6
1060.81	425.8	16117.1
1060.91	425.7	16067.2
1061.01	425.6	16024.3
1061.11	425.5	16034.3
1061.21	425.4	16179.2
1061.31	425.3	16102.8
1061.41	425.2	15976.2
1061.51	425.1	16036.8
1061.61	425	16225.8
1061.71	424.9	16311.8
1061.81	424.8	16094.1
1061.91	424.7	16193.7
1062.01	424.6	16153.8
1062.11	424.5	16053.6
1062.21	424.4	16062.1
1062.31	424.3	16272.5
1062.41	424.2	16170.1
1062.51	424.1	16064.1
1062.61	424	16240.2
1062.71	423.9	16281.6
1062.81	423.8	16226.4
1062.91	423.7	16134.8
1063.01	423.6	16121.3
1063.11	423.5	16267.4
1063.21	423.4	16065
1063.31	423.3	16172.9
1063.41	423.2	16143.6
1063.51	423.1	16208.7
1063.61	423	16289.7
1063.71	422.9	16203.8
1063.81	422.8	16230.3
1063.91	422.7	16176.5
1064.01	422.6	16149.8
1064.11	422.5	16129.7
1064.21	422.4	16192.2
1064.31	422.3	16339.1
1064.41	422.2	16201.6
1064.51	422.1	16338.2
1064.61	422	16277.5
1064.71	421.9	16227.3
1064.81	421.8	16154.8
1064.91	421.7	16172.2
1065.01	421.6	16237.4
1065.11	421.5	16248.5
1065.21	421.4	16144.8
1065.31	421.3	16207.3
1065.41	421.2	16374.6
1065.51	421.1	16328.2
1065.61	421	16176.8
1065.71	420.9	16177.8
1065.81	420.8	16247.1
1065.91	420.7	16282.6
1066.01	420.6	16319.8
1066.11	420.5	16390.5
1066.21	420.4	16315.4
1066.31	420.3	16286.4
1066.41	420.2	16271.7
1066.51	420.1	16425.2
1066.61	420	16269.2
1066.71	419.9	16289.7
1066.81	419.8	16173.3
1066.91	419.7	16293.3
1067.01	419.6	16379.3
1067.11	419.5	16400.7
1067.21	419.4	16323.1
1067.31	419.3	16313.1
1067.41	419.2	16363.8
1067.51	419.1	16304.2
1067.61	419	16255.3
1067.71	418.9	16335.8
1067.81	418.8	16300.6
1067.91	418.7	16328.1
1068.01	418.6	16122.9
1068.11	418.5	16285.2
1068.21	418.4	16282
1068.31	418.3	16419
1068.41	418.2	16367.4
1068.51	418.1	16339.2
1068.61	418	16389.7
1068.71	417.9	16319.3
1068.81	417.8	16374.6
1068.91	417.7	16451.1
1069.01	417.6	16458
1069.11	417.5	16611.9
1069.21	417.4	16402.1
1069.31	417.3	16498.6
1069.41	417.2	16396.9
1069.51	417.1	16413.6
1069.61	417	16485.6
1069.71	416.9	16561.9
1069.81	416.8	16427.8
1069.91	416.7	16408.8
1070.01	416.6	16372.6
1070.11	416.5	16382.2
1070.21	416.4	16455.3
1070.31	416.3	16473.1
1070.41	416.2	16499.8
1070.51	416.1	16486.8
1070.61	416	16566.5
1070.71	415.9	16445
1070.81	415.8	16509.6
1070.91	415.7	16507.2
1071.01	415.6	16409.5
1071.11	415.5	16469.8
1071.21	415.4	16411.7
1071.31	415.3	16431.2
1071.41	415.2	16506.8
1071.51	415.1	16710.6
1071.61	415	16472.7
1071.71	414.9	16494.3
1071.81	414.8	16452.5
1071.91	414.7	16564.2
1072.01	414.6	16572.8
1072.11	414.5	16462.9
1072.21	414.4	16572.6
1072.31	414.3	16514.6
1072.41	414.2	16475.1
1072.51	414.1	16615.6
1072.61	414	16621.7
1072.71	413.9	16572.8
1072.81	413.8	16602.1
1072.91	413.7	16511.5
1073.01	413.6	16637.5
1073.11	413.5	16676.7
1073.21	413.4	16818.1
1073.31	413.3	16644.1
1073.41	413.2	16588.5
1073.51	413.1	16670.9
1073.61	413	16626
1073.71	412.9	16403.2
1073.81	412.8	16479.5
1073.91	412.7	16632.4
1074.01	412.6	16574.1
1074.11	412.5	16570
1074.21	412.4	16561.6
1074.31	412.3	16645.2
1074.41	412.2	16676.2
1074.51	412.1	16715.8
1074.61	412	16626.3
1074.71	411.9	16739.5
1074.81	411.8	16524.1
1074.91	411.7	16507.4
1075.01	411.6	16527.9
1075.11	411.5	16567.1
1075.21	411.4	16690.7
1075.31	411.3	16669.9
1075.41	411.2	16590.3
1075.51	411.1	16627.3
1075.61	411	16727.8
1075.71	410.9	16724.1
1075.81	410.8	16637
1075.91	410.7	16564.5
1076.01	410.6	16624.1
1076.11	410.5	16686.2
1076.21	410.4	16641.3
1076.31	410.3	16628.4
1076.41	410.2	16632.1
1076.51	410.1	16698.7
1076.61	410	16625.6
1076.71	409.9	16675.8
1076.81	409.8	16705.3
1076.91	409.7	16564
1077.01	409.6	16608.2
1077.11	409.5	16720.3
1077.21	409.4	16798.2
1077.31	409.3	16778.8
1077.41	409.2	16672.5
1077.51	409.1	16690.9
1077.61	409	16758.1
1077.71	408.9	16689.9
1077.81	408.8	16729.3
1077.91	408.7	16814.2
1078.01	408.6	16768.7
1078.11	408.5	16775
1078.21	408.4	16591.4
1078.31	408.3	16576.9
1078.41	408.2	16831
1078.51	408.1	16793.9
1078.61	408	16838.3
1078.71	407.9	16827.4
1078.81	407.8	16821.4
1078.91	407.7	16753.8
1079.01	407.6	16843.1
1079.11	407.5	16906.4
1079.21	407.4	16872.9
1079.31	407.3	16798.3
1079.41	407.2	16803.5
1079.51	407.1	16754.9
1079.61	407	16986.6
1079.71	406.9	16815.4
1079.81	406.8	16738.2
1079.91	406.7	16907.5
1080.01	406.6	16836.3
1080.11	406.5	16955.3
1080.21	406.4	16852
1080.31	406.3	16940.9
1080.41	406.2	16955.9
1080.51	406.1	16800.6
1080.61	406	16884.9
1080.71	405.9	17006.8
1080.81	405.8	16877.5
1080.91	405.7	16914.9
1081.01	405.6	16897.6
1081.11	405.5	16967.7
1081.21	405.4	16988.5
1081.31	405.3	16966.9
1081.41	405.2	16923.7
1081.51	405.1	16933.4
1081.61	405	16913.4
1081.71	404.9	16955.5
1081.81	404.8	16946.9
1081.91	404.7	16887.5
1082.01	404.6	17090.1
1082.11	404.5	17000.3
1082.21	404.4	17031.8
1082.31	404.3	16920.6
1082.41	404.2	16996.5
1082.51	404.1	17050.6
1082.61	404	17044.4
1082.71	403.9	17104.9
1082.81	403.8	17067.7
1082.91	403.7	16993.9
1083.01	403.6	17008.6
1083.11	403.5	16978.5
1083.21	403.4	17172.8
1083.31	403.3	17141.6
1083.41	403.2	17015
1083.51	403.1	17062.6
1083.61	403	17029.9
1083.71	402.9	17066.1
1083.81	402.8	16902.1
1083.91	402.7	17131.1
1084.01	402.6	17183.9
1084.11	402.5	17244.8
1084.21	402.4	17153.9
1084.31	402.3	17174.7
1084.41	402.2	17192.2
1084.51	402.1	17159.6
1084.61	402	17106.8
1084.71	401.9	17143.1
1084.81	401.8	17205.1
1084.91	401.7	17217.2
1085.01	401.6	17270.7
1085.11	401.5	17141.1
1085.21	401.4	17160
1085.31	401.3	17288.5
1085.41	401.2	17218.1
1085.51	401.1	17153.9
1085.61	401	17150.7
1085.71	400.9	17249.9
1085.81	400.8	17330.3
1085.91	400.7	17234.1
1086.01	400.6	17181.3
1086.11	400.5	17250.1
1086.21	400.4	17303.1
1086.31	400.3	17267.7
1086.41	400.2	17289.2
1086.51	400.1	17307.3
1086.61	400	17362.5
1086.71	399.9	17381.6
1086.81	399.8	17418.8
1086.91	399.7	17215.3
1087.01	399.6	17195.3
1087.11	399.5	17260
1087.21	399.4	17341.7
1087.31	399.3	17423.4
1087.41	399.2	17286.8
1087.51	399.1	17283.1
1087.61	399	17245.8
1087.71	398.9	17223.6
1087.81	398.8	17250.6
1087.91	398.7	17273.4
1088.01	398.6	17191.9
1088.11	398.5	17358.1
1088.21	398.4	17477.4
1088.31	398.3	17321.2
1088.41	398.2	17372.4
1088.51	398.1	17245.2
1088.61	398	17311.2
1088.71	397.9	17363.9
1088.81	397.8	17454.9
1088.91	397.7	17387.8
1089.01	397.6	17396.5
1089.11	397.5	17350.1
1089.21	397.4	17355.7
1089.31	397.3	17264.4
1089.41	397.2	17321.4
1089.51	397.1	17333.5
1089.61	397	17428
1089.71	396.9	17303.3
1089.81	396.8	17433.9
1089.91	396.7	17529.5
1090.01	396.6	17316.2
1090.11	396.5	17345.9
1090.21	396.4	17584.4
1090.31	396.3	17469.5
1090.41	396.2	17388.5
1090.51	396.1	17512.4
1090.61	396	17463.2
1090.71	395.9	17448.5
1090.81	395.8	17630.1
1090.91	395.7	17441
1091.01	395.6	17582.7
1091.11	395.5	17641.4
1091.21	395.4	17521.8
1091.31	395.3	17518.8
1091.41	395.2	17473.7
1091.51	395.1	17374.9
1091.61	395	17470.3
1091.71	394.9	17531.5
1091.81	394.8	17603.1
1091.91	394.7	17704.6
1092.01	394.6	17529.4
1092.11	394.5	17588.5
1092.21	394.4	17607
1092.31	394.3	17497.7
1092.41	394.2	17765.3
1092.51	394.1	17611.6
1092.61	394	17655.7
1092.71	393.9	17612.9
1092.81	393.8	17616.8
1092.91	393.7	17630.1
1093.01	393.6	17675.6
1093.11	393.5	17748.3
1093.21	393.4	17612.9
1093.31	393.3	17692.3
1093.41	393.2	17722.7
1093.51	393.1	17602
1093.61	393	17760.2
1093.71	392.9	17614.8
1093.81	392.8	17852
1093.91	392.7	17818.1
1094.01	392.6	17758.6
1094.11	392.5	17643.1
1094.21	392.4	17663.1
1094.31	392.3	17755.4
1094.41	392.2	17738.9
1094.51	392.1	17784.1
1094.61	392	17816.1
1094.71	391.9	17873.9
1094.81	391.8	17763.7
1094.91	391.7	17757.1
1095.01	391.6	17677.6
1095.11	391.5	17909.4
1095.21	391.4	17865
1095.31	391.3	17700.9
1095.41	391.2	17871.6
1095.51	391.1	17790.3
1095.61	391	17828.6
1095.71	390.9	17801.6
1095.81	390.8	17820.2
1095.91	390.7	17822.6
1096.01	390.6	17882.7
1096.11	390.5	17792.4
1096.21	390.4	17888.5
1096.31	390.3	17878.6
1096.41	390.2	17882.8
1096.51	390.1	17926.4
1096.61	390	17809.2
1096.71	389.9	17913
1096.81	389.8	17918.9
1096.91	389.7	17874.6
1097.01	389.6	17913.9
1097.11	389.5	17890.4
1097.21	389.4	17819.7
1097.31	389.3	17915.4
1097.41	389.2	17948.2
1097.51	389.1	17990.7
1097.61	389	18057.9
1097.71	388.9	18074
1097.81	388.8	17995.7
1097.91	388.7	17954.8
1098.01	388.6	18071.5
1098.11	388.5	17924.1
1098.21	388.4	18023.7
1098.31	388.3	18133.8
1098.41	388.2	18128.7
1098.51	388.1	18049.5
1098.61	388	17984.6
1098.71	387.9	18183.2
1098.81	387.8	18027.5
1098.91	387.7	18180.3
1099.01	387.6	18213.1
1099.11	387.5	18204.8
1099.21	387.4	18036.4
1099.31	387.3	18016
1099.41	387.2	18183.4
1099.51	387.1	18077.7
1099.61	387	18311.1
1099.71	386.9	18157.8
1099.81	386.8	18248.8
1099.91	386.7	18287.2
1100.01	386.6	18283
1100.11	386.5	18264.3
1100.21	386.4	18171.3
1100.31	386.3	18192.5
1100.41	386.2	18236.4
1100.51	386.1	18212.9
1100.61	386	18246.9
1100.71	385.9	18126.9
1100.81	385.8	18113.2
1100.91	385.7	18320.9
1101.01	385.6	18327.2
1101.11	385.5	18242.2
1101.21	385.4	18190.5
1101.31	385.3	18211.7
1101.41	385.2	18408.8
1101.51	385.1	18415.9
1101.61	385	18251.6
1101.71	384.9	18231.9
1101.81	384.8	18398.2
1101.91	384.7	18287
1102.01	384.6	18271.4
1102.11	384.5	18423.3
1102.21	384.4	18316.1
1102.31	384.3	18271.8
1102.41	384.2	18252.8
1102.51	384.1	18166.3
1102.61	384	18257
1102.71	383.9	18346.9
