c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_au n2 largearea.vms
Pr:Au4p
	Characteristic Energy eV	1486.61	Acquisition Time s	2
KE_Pr:Au4p	BE_Pr:Au4p	CPS_Pr:Au4p
695.41	791.2	4094.1
695.51	791.1	4266.02
695.61	791	4195.3
695.71	790.9	4111.73
695.81	790.8	4252.31
695.91	790.7	4201.14
696.01	790.6	4203.12
696.11	790.5	4250.64
696.21	790.4	4193.02
696.31	790.3	4233.9
696.41	790.2	4123.43
696.51	790.1	4140.61
696.61	790	4195.59
696.71	789.9	4203.31
696.81	789.8	4096.49
696.91	789.7	4183.47
697.01	789.6	4203.15
697.11	789.5	4109.73
697.21	789.4	4287.61
697.31	789.3	4285.08
697.41	789.2	4159.36
697.51	789.1	4190.99
697.61	789	4173.22
697.71	788.9	4184.9
697.81	788.8	4240.98
697.91	788.7	4174.21
698.01	788.6	4139.99
698.11	788.5	4191.46
698.21	788.4	4204.94
698.31	788.3	4151.17
698.41	788.2	4320.75
698.51	788.1	4220.98
698.61	788	4076.36
698.71	787.9	4212.89
698.81	787.8	4325.77
698.91	787.7	4178.94
699.01	787.6	4246.52
699.11	787.5	4157.2
699.21	787.4	4246.88
699.31	787.3	4210.46
699.41	787.2	4359.19
699.51	787.1	4207.02
699.61	787	4292.05
699.71	786.9	4329.28
699.81	786.8	4220.96
699.91	786.7	4254.04
700.01	786.6	4283.72
700.11	786.5	4146.14
700.21	786.4	4232.07
700.31	786.3	4249.15
700.41	786.2	4410.88
700.51	786.1	4188.86
700.61	786	4245.09
700.71	785.9	4278.07
700.81	785.8	4293.3
700.91	785.7	4227.68
701.01	785.6	4142.26
701.11	785.5	4197.84
701.21	785.4	4332.37
701.31	785.3	4333.8
701.41	785.2	4286.58
701.51	785.1	4269.36
701.61	785	4140.54
701.71	784.9	4197.12
701.81	784.8	4212.4
701.91	784.7	4231.63
702.01	784.6	4125.81
702.11	784.5	4170.89
702.21	784.4	4198.62
702.31	784.3	4242.04
702.41	784.2	4331.52
702.51	784.1	4378.45
702.61	784	4317.83
702.71	783.9	4344.51
702.81	783.8	4263.54
702.91	783.7	4142.17
703.01	783.6	4271.45
703.11	783.5	4279.53
703.21	783.4	4232.86
703.31	783.3	4158.84
703.41	783.2	4326.68
703.51	783.1	4246.26
703.61	783	4203.84
703.71	782.9	4228.07
703.81	782.8	4266.9
703.91	782.7	4218.13
704.01	782.6	4198.11
704.11	782.5	4170.69
704.21	782.4	4198.37
704.31	782.3	4329.2
704.41	782.2	4314.38
704.51	782.1	4237.11
704.61	782	4150.19
704.71	781.9	4225.57
704.81	781.8	4286.45
704.91	781.7	4331.13
705.01	781.6	4293.56
705.11	781.5	4195.29
705.21	781.4	4310.67
705.31	781.3	4284.05
705.41	781.2	4278.33
705.51	781.1	4212.37
705.61	781	4200.05
705.71	780.9	4199.23
705.81	780.8	4252.86
705.91	780.7	4083.34
706.01	780.6	4202.17
706.11	780.5	4179.15
706.21	780.4	4226.18
706.31	780.3	4224.46
706.41	780.2	4338.19
706.51	780.1	4450.42
706.61	780	4368.41
706.71	779.9	4255.94
706.81	779.8	4308.82
706.91	779.7	4231.6
707.01	779.6	4223.93
707.11	779.5	4272.16
707.21	779.4	4369.39
707.31	779.3	4379.97
707.41	779.2	4351.41
707.51	779.1	4247.89
707.61	779	4346.77
707.71	778.9	4317.8
707.81	778.8	4226.78
707.91	778.7	4334.26
708.01	778.6	4379.39
708.11	778.5	4354.93
708.21	778.4	4198.86
708.31	778.3	4198.29
708.41	778.2	4130.72
708.51	778.1	4203.3
708.61	778	4252.78
708.71	777.9	4181.32
708.81	777.8	4254.8
708.91	777.7	4378.68
709.01	777.6	4313.01
709.11	777.5	4150.34
709.21	777.4	4248.33
709.31	777.3	4215.61
709.41	777.2	4360.19
709.51	777.1	4372.87
709.61	777	4350.75
709.71	776.9	4344.84
709.81	776.8	4393.22
709.91	776.7	4306
710.01	776.6	4406.03
710.11	776.5	4294.01
710.21	776.4	4238.65
710.31	776.3	4309.63
710.41	776.2	4286.81
710.51	776.1	4247.69
710.61	776	4262.83
710.71	775.9	4258.81
710.81	775.8	4356.74
710.91	775.7	4294.07
711.01	775.6	4223.1
711.11	775.5	4311.74
711.21	775.4	4374.37
711.31	775.3	4370.95
711.41	775.2	4338.59
711.51	775.1	4315.87
711.61	775	4295.7
711.71	774.9	4419.53
711.81	774.8	4296.47
711.91	774.7	4357.85
712.01	774.6	4389.28
712.11	774.5	4337.91
712.21	774.4	4229.9
712.31	774.3	4283.48
712.41	774.2	4296.16
712.51	774.1	4384.15
712.61	774	4303.13
712.71	773.9	4321.96
712.81	773.8	4337.95
712.91	773.7	4334.73
713.01	773.6	4456.91
713.11	773.5	4475.64
713.21	773.4	4424.98
713.31	773.3	4427.76
713.41	773.2	4306.89
713.51	773.1	4255.48
713.61	773	4353.11
713.71	772.9	4375.69
713.81	772.8	4323.38
713.91	772.7	4371.86
714.01	772.6	4407.85
714.11	772.5	4306.03
714.21	772.4	4362.96
714.31	772.3	4379.25
714.41	772.2	4468.18
714.51	772.1	4365.96
714.61	772	4289.55
714.71	771.9	4381.08
714.81	771.8	4435.26
714.91	771.7	4491.45
715.01	771.6	4430.88
715.11	771.5	4473.82
715.21	771.4	4420.05
715.31	771.3	4503.33
715.41	771.2	4548.02
715.51	771.1	4398.15
715.61	771	4418.69
715.71	770.9	4446.62
715.81	770.8	4468.65
715.91	770.7	4515.64
716.01	770.6	4539.72
716.11	770.5	4524.86
716.21	770.4	4459.64
716.31	770.3	4531.93
716.41	770.2	4537.96
716.51	770.1	4547.59
716.61	770	4422.33
716.71	769.9	4386.36
716.81	769.8	4467.45
716.91	769.7	4483.63
717.01	769.6	4455.77
717.11	769.5	4523.5
717.21	769.4	4599.24
717.31	769.3	4511.37
717.41	769.2	4617.91
717.51	769.1	4584.39
717.61	769	4680.08
717.71	768.9	4600.86
717.81	768.8	4472.45
717.91	768.7	4642.28
718.01	768.6	4612.96
718.11	768.5	4639.45
718.21	768.4	4594.43
718.31	768.3	4686.27
718.41	768.2	4811.96
718.51	768.1	4713.99
718.61	768	4634.78
718.71	767.9	4578.71
718.81	767.8	4729.35
718.91	767.7	4718.43
719.01	767.6	4699.92
719.11	767.5	4754.15
719.21	767.4	4717.59
719.31	767.3	4814.92
719.41	767.2	4726.51
719.51	767.1	4694.59
719.61	767	4959.88
719.71	766.9	4882.81
719.81	766.8	4772.45
719.91	766.7	4835.24
720.01	766.6	4922.57
720.11	766.5	5021.11
720.21	766.4	4781.54
720.31	766.3	4901.43
720.41	766.2	4965.57
720.51	766.1	4941.15
720.61	766	4933.24
720.71	765.9	4980.57
720.81	765.8	5102.31
720.91	765.7	5055.19
721.01	765.6	5125.88
721.11	765.5	5182.22
721.21	765.4	5187.4
721.31	765.3	5127.39
721.41	765.2	5217.68
721.51	765.1	5118.86
721.61	765	5175.45
721.71	764.9	5253.83
721.81	764.8	5327.77
721.91	764.7	5249.76
722.01	764.6	5338.99
722.11	764.5	5247.78
722.21	764.4	5220.57
722.31	764.3	5490.1
722.41	764.2	5497.09
722.51	764.1	5441.33
722.61	764	5416.21
722.71	763.9	5414.9
722.81	763.8	5430.99
722.91	763.7	5559.27
723.01	763.6	5626.01
723.11	763.5	5449.95
723.21	763.4	5452.23
723.31	763.3	5492.12
723.41	763.2	5554.06
723.51	763.1	5703.39
723.61	763	5637.58
723.71	762.9	5612.47
723.81	762.8	5698.6
723.91	762.7	5683.84
724.01	762.6	5612.18
724.11	762.5	5691.41
724.21	762.4	5691
724.31	762.3	5737.74
724.41	762.2	5736.92
724.51	762.1	5584.86
724.61	762	5751.1
724.71	761.9	5779.48
724.81	761.8	5773.62
724.91	761.7	5748.65
725.01	761.6	5710.09
725.11	761.5	5685.48
725.21	761.4	5717.16
725.31	761.3	5672.25
725.41	761.2	5589.39
725.51	761.1	5731.27
725.61	761	5534.16
725.71	760.9	5642.45
725.81	760.8	5567.98
725.91	760.7	5577.02
726.01	760.6	5567.45
726.11	760.5	5577.29
726.21	760.4	5561.43
726.31	760.3	5462.76
726.41	760.2	5449.1
726.51	760.1	5403.48
726.61	760	5339.72
726.71	759.9	5312.75
726.81	759.8	5316.14
726.91	759.7	5267.63
727.01	759.6	5273.91
727.11	759.5	5249.6
727.21	759.4	5178.18
727.31	759.3	5158.77
