c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_au n2 largearea.vms
Pr:Au4p
	Characteristic Energy eV	1486.61	Acquisition Time s	3
KE_Pr:Au4p	BE_Pr:Au4p	CPS_Pr:Au4p
713.41	773.2	1419.93
713.51	773.1	1381.71
713.61	773	1426.02
713.71	772.9	1436.53
713.81	772.8	1460.7
713.91	772.7	1409.31
714.01	772.6	1464.95
714.11	772.5	1461.43
714.21	772.4	1476.67
714.31	772.3	1392.85
714.41	772.2	1422.22
714.51	772.1	1436.93
714.61	772	1392.28
714.71	771.9	1460.28
714.81	771.8	1413.19
714.91	771.7	1442.74
715.01	771.6	1399.01
715.11	771.5	1381.95
715.21	771.4	1398.19
715.31	771.3	1447.5
715.41	771.2	1436.21
715.51	771.1	1476.25
715.61	771	1401.1
715.71	770.9	1377.17
715.81	770.8	1415.38
715.91	770.7	1387.15
716.01	770.6	1389.63
716.11	770.5	1402.57
716.21	770.4	1383.11
716.31	770.3	1424.35
716.41	770.2	1426.43
716.51	770.1	1392.97
716.61	770	1427.01
716.71	769.9	1385.32
716.81	769.8	1429.89
716.91	769.7	1391.6
717.01	769.6	1435.04
717.11	769.5	1471.48
717.21	769.4	1446.65
717.31	769.3	1384.8
717.41	769.2	1400.6
717.51	769.1	1420.44
717.61	769	1389.58
717.71	768.9	1438.79
717.81	768.8	1435.9
717.91	768.7	1412.94
718.01	768.6	1398.98
718.11	768.5	1401.12
718.21	768.4	1427.06
718.31	768.3	1417.63
718.41	768.2	1400.64
718.51	768.1	1411.15
718.61	768	1458.92
718.71	767.9	1442.96
718.81	767.8	1448.9
718.91	767.7	1468.07
719.01	767.6	1418.41
719.11	767.5	1475.95
719.21	767.4	1432.86
719.31	767.3	1436.63
719.41	767.2	1436.24
719.51	767.1	1441.97
719.61	767	1466.08
719.71	766.9	1441.65
719.81	766.8	1467.39
719.91	766.7	1499.03
720.01	766.6	1532.57
720.11	766.5	1441.08
720.21	766.4	1469.75
720.31	766.3	1448.39
720.41	766.2	1472.36
720.51	766.1	1453.6
720.61	766	1458.1
720.71	765.9	1484.21
720.81	765.8	1456.41
720.91	765.7	1444.65
721.01	765.6	1417.76
721.11	765.5	1480.63
721.21	765.4	1437.17
721.31	765.3	1449.6
721.41	765.2	1453.84
721.51	765.1	1460.78
721.61	765	1547.65
721.71	764.9	1454.16
721.81	764.8	1514.73
721.91	764.7	1501.83
722.01	764.6	1518.37
722.11	764.5	1482.11
722.21	764.4	1504.88
722.31	764.3	1535.01
722.41	764.2	1469.25
722.51	764.1	1453.92
722.61	764	1491.89
722.71	763.9	1503.6
722.81	763.8	1541.87
722.91	763.7	1554
723.01	763.6	1522.41
723.11	763.5	1556.01
723.21	763.4	1518.11
723.31	763.3	1516.32
723.41	763.2	1529.52
723.51	763.1	1535.79
723.61	763	1600.13
723.71	762.9	1576.73
723.81	762.8	1573.97
723.91	762.7	1526.27
724.01	762.6	1565.11
724.11	762.5	1493.98
724.21	762.4	1575.71
724.31	762.3	1525.91
724.41	762.2	1557.42
