C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2_clean.vms
Ag3p
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Ag3p	BE_Ag3p	CPS_Ag3p	Background_Ag3p
840.61	646	13487.1	13487.1
841.11	645.5	13801.8	13801.8
841.61	645	13772.5	13772.5
842.11	644.5	13939.6	13939.6
842.61	644	13902.6	13902.6
843.11	643.5	13535.3	13535.3
843.61	643	13854.6	13854.6
844.11	642.5	13849.7	13849.7
844.61	642	14096.8	14096.8
845.11	641.5	13841.2	13841.2
845.61	641	14062.4	14062.4
846.11	640.5	13698.4	13698.4
846.61	640	13927.7	13927.7
847.11	639.5	14303.3	14303.3
847.61	639	14063.9	14063.9
848.11	638.5	14023.1	14023.1
848.61	638	14036.4	14036.4
849.11	637.5	14097	14097
849.61	637	13915.9	13915.9
850.11	636.5	13783.2	13783.2
850.61	636	13860.5	13860.5
851.11	635.5	14067.3	14067.3
851.61	635	14268.3	14268.3
852.11	634.5	14100.5	14100.5
852.61	634	13836.4	13836.4
853.11	633.5	13953.3	13953.3
853.61	633	14165.2	14165.2
854.11	632.5	14305.5	14305.5
854.61	632	14212.5	14212.5
855.11	631.5	14207.4	14207.4
855.61	631	14230.9	14230.9
856.11	630.5	14142.8	14142.8
856.61	630	14238.1	14238.1
857.11	629.5	14567.8	14567.8
857.61	629	14620.1	14620.1
858.11	628.5	14341.8	14341.8
858.61	628	14110.4	14110.4
859.11	627.5	14482.2	14482.2
859.61	627	14366.2	14366.2
860.11	626.5	14318.3	14318.3
860.61	626	14366.9	14366.9
861.11	625.5	14440	14440
861.61	625	14592.1	14592.1
862.11	624.5	14558.1	14558.1
862.61	624	14457.2	14457.2
863.11	623.5	14527.9	14527.9
863.61	623	14384.4	14384.4
864.11	622.5	14644.5	14644.5
864.61	622	14437.7	14437.7
865.11	621.5	14437.5	14437.5
865.61	621	14851.4	14851.4
866.11	620.5	14702.8	14702.8
866.61	620	14438.2	14438.2
867.11	619.5	14262.1	14262.1
867.61	619	14005.9	14005.9
868.11	618.5	13739.4	13739.4
868.61	618	13936.4	13936.4
869.11	617.5	13851.4	13851.4
869.61	617	13994.4	13994.4
870.11	616.5	13817.5	13817.5
870.61	616	13604.7	13604.7
871.11	615.5	13632	13632
871.61	615	13543.3	13543.3
872.11	614.5	13834	13834
872.61	614	13956	13956
873.11	613.5	13747.9	13747.9
873.61	613	13694.1	13694.1
874.11	612.5	13679.8	13679.8
874.61	612	13857.2	13857.2
875.11	611.5	13804.8	13804.8
875.61	611	13762.6	13762.6
876.11	610.5	13795	13795
876.61	610	13717	13717
877.11	609.5	13780.6	13780.6
877.61	609	13859.9	13859.9
878.11	608.5	14010.3	14010.3
878.61	608	14434.4	14434.4
879.11	607.5	15081.1	15081.1
879.61	607	15682	15682
880.11	606.5	16712.7	16712.7
880.61	606	17690.9	17690.9
881.11	605.5	19648.2	19648.2
881.61	605	21338.2	21338.2
882.11	604.5	23131.2	23131.2
882.61	604	23890.7	23890.7
883.11	603.5	23345.9	23345.9
883.61	603	21564.3	21564.3
884.11	602.5	19737.7	19737.7
884.61	602	17219.4	17219.4
885.11	601.5	15710	15710
885.61	601	14690.9	14690.9
886.11	600.5	13716	13716
886.61	600	13381.6	13381.6
887.11	599.5	12946	12946
887.61	599	12678.5	12678.5
888.11	598.5	12075.7	12075.7
888.61	598	12181	12181
889.11	597.5	11762.7	11762.7
889.61	597	11625.8	11625.8
890.11	596.5	11864	11864
890.61	596	11927.8	11927.8
891.11	595.5	11587.1	11587.1
891.61	595	11562.8	11562.8
892.11	594.5	11604.4	11604.4
892.61	594	11275.6	11275.6
893.11	593.5	11702.7	11702.7
893.61	593	11354.8	11354.8
894.11	592.5	11418	11418
894.61	592	11285.5	11285.5
895.11	591.5	11494.7	11494.7
895.61	591	11380	11380
896.11	590.5	11142.5	11142.5
896.61	590	11075.6	11075.6
897.11	589.5	11173.5	11173.5
897.61	589	10765.4	10765.4
898.11	588.5	10518	10518
898.61	588	10241.1	10241.1
899.11	587.5	10181.6	10181.6
899.61	587	9803.64	9803.64
900.11	586.5	9591.1	9591.1
900.61	586	9371.51	9371.51
901.11	585.5	9192.67	9192.67
901.61	585	8712.96	8712.96
902.11	584.5	9052.92	9052.92
902.61	584	8920.23	8920.23
903.11	583.5	8896.58	8896.58
903.61	583	9102.26	9102.26
904.11	582.5	9057.75	9057.75
904.61	582	9469.97	9469.97
905.11	581.5	9316.98	9316.98
905.61	581	9070.27	9070.27
906.11	580.5	9066.65	9066.65
906.61	580	9013.06	9013.06
907.11	579.5	8920.79	8920.79
907.61	579	8670	8670
908.11	578.5	8896.79	8896.79
908.61	578	9576.69	9576.69
909.11	577.5	10121.4	10121.4
909.61	577	11131	11131
910.11	576.5	12169.6	12169.6
910.61	576	13778.2	13778.2
911.11	575.5	16042.5	16042.5
911.61	575	18668.8	18668.8
912.11	574.5	22661.8	22661.8
912.61	574	26323.3	26323.3
913.11	573.5	29325.5	29325.5
913.61	573	29990	29990
914.11	572.5	27852.6	27852.6
914.61	572	23799.4	23799.4
915.11	571.5	19377	19377
915.61	571	14903.4	14903.4
916.11	570.5	11657.8	11657.8
916.61	570	9776.35	9776.35
917.11	569.5	7840.78	7840.78
917.61	569	6703.07	6703.07
918.11	568.5	5757.07	5757.07
918.61	568	5100.68	5100.68
919.11	567.5	4647.2	4647.2
919.61	567	4373.27	4373.27
920.11	566.5	3958.69	3958.69
920.61	566	3691.33	3691.33
921.11	565.5	3270.91	3270.91
921.61	565	3215.16	3215.16
922.11	564.5	3243.47	3243.47
922.61	564	2973.18	2973.18
923.11	563.5	2918.1	2918.1
923.61	563	2888.05	2888.05
924.11	562.5	2811.95	2811.95
924.61	562	2786.01	2786.01
925.11	561.5	2607.83	2607.83
925.61	561	2689.09	2689.09
926.11	560.5	2846.11	2846.11
926.61	560	2660.01	2660.01
927.11	559.5	2510.36	2510.36
927.61	559	2284.61	2284.61
928.11	558.5	2328.65	2328.65
928.61	558	2168.15	2168.15
929.11	557.5	2332.82	2332.82
929.61	557	2088.98	2088.98
930.11	556.5	2554.19	2554.19
930.61	556	2354.99	2354.99
931.11	555.5	2341.49	2341.49
931.61	555	2178.95	2178.95
932.11	554.5	2010.69	2010.69
932.61	554	1721.6	1721.6
933.11	553.5	1816.12	1816.12
933.61	553	1372.59	1372.59
934.11	552.5	1773.42	1773.42
934.61	552	1839.1	1839.1
935.11	551.5	1510.24	1510.24
935.61	551	1539.16	1539.16
936.11	550.5	1912.7	1912.7
936.61	550	2220.79	2220.79
937.11	549.5	2176.76	2176.76
937.61	549	2554.38	2554.38
938.11	548.5	2784.04	2784.04
938.61	548	2956.04	2956.04
939.11	547.5	2754.38	2754.38
939.61	547	2843.71	2843.71
940.11	546.5	2447.26	2447.26
940.61	546	1891.25	1891.25
941.11	545.5	1199.33	1199.33
941.61	545	707.179	707.179
942.11	544.5	698.948	698.948
942.61	544	827.112	827.112
943.11	543.5	896.247	896.247
943.61	543	626.636	626.636
944.11	542.5	585.604	585.604
944.61	542	1055.61	1055.61
945.11	541.5	1595.47	1595.47
945.61	541	2908.39	2908.39
946.11	540.5	5197.81	5197.81
946.61	540	9261.72	9261.72
947.11	539.5	13076.5	13076.5
947.61	539	16477	16477
948.11	538.5	16134	16134
948.61	538	12405.3	12405.3
949.11	537.5	7648.98	7648.98
949.61	537	3229.26	3229.26
950.11	536.5	1239.3	1239.3
950.61	536	733.169	733.169
951.11	535.5	586.415	586.415
951.61	535	668.125	668.125
952.11	534.5	466.53	466.53
952.61	534	816.218	816.218
953.11	533.5	715.07	715.07
953.61	533	898.221	898.221
954.11	532.5	1035.39	1035.39
954.61	532	1415.21	1415.21
955.11	531.5	2251.04	2251.04
955.61	531	2914.55	2914.55
956.11	530.5	3142.54	3142.54
956.61	530	2764.45	2764.45
957.11	529.5	1840.52	1840.52
957.61	529	497.232	497.232
958.11	528.5	447.89	447.89
958.61	528	447.123	447.123
959.11	527.5	73.2098	73.2098
959.61	527	43.8779	43.8779
960.11	526.5	320.894	320.894
960.61	526	97.3191	97.3191
961.11	525.5	-127.822	-127.822
961.61	525	46.8256	46.8256
962.11	524.5	188.912	188.912
962.61	524	141.808	141.808
963.11	523.5	4.2258	4.2258
963.61	523	257.906	257.906
964.11	522.5	26.0768	26.0768
964.61	522	-296.745	-296.745
