C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2_clean.vms
Au4d
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Au4d	BE_Au4d	CPS_Au4d	Background_Au4d
1184.61	302	399.253	399.253
1185.11	301.5	299.571	299.571
1185.61	301	190.933	190.933
1186.11	300.5	252.59	252.59
1186.61	300	194.216	194.216
1187.11	299.5	60.5987	60.5987
1187.61	299	169.19	169.19
1188.11	298.5	220.499	220.499
1188.61	298	329.433	329.433
1189.11	297.5	48.3159	48.3159
1189.61	297	-11.2892	-11.2892
1190.11	296.5	-46.6514	-46.6514
1190.61	296	-143.367	-143.367
1191.11	295.5	-302.48	-302.48
1191.61	295	-220.669	-220.669
1192.11	294.5	-395.157	-395.157
1192.61	294	-168.866	-168.866
1193.11	293.5	-64.6453	-64.6453
1193.61	293	-154.47	-154.47
1194.11	292.5	-16.3049	-16.3049
1194.61	292	-130.51	-130.51
1195.11	291.5	38.7281	38.7281
1195.61	291	157.683	157.683
1196.11	290.5	193.241	193.241
1196.61	290	342.987	342.987
1197.11	289.5	652.96	652.96
1197.61	289	812.053	812.053
1198.11	288.5	1128.41	1128.41
1198.61	288	2014.98	2014.98
1199.11	287.5	1853.58	1853.58
1199.61	287	2083.8	2083.8
1200.11	286.5	2386.77	2386.77
1200.61	286	2818.42	2818.42
1201.11	285.5	4633.86	4633.86
1201.61	285	6846.77	6846.77
1202.11	284.5	8113.67	8113.67
1202.61	284	8260.08	8260.08
1203.11	283.5	6877.2	6877.2
1203.61	283	4050.89	4050.89
1204.11	282.5	1556.66	1556.66
1204.61	282	438.812	438.812
1205.11	281.5	-288.752	-288.752
1205.61	281	-826.092	-826.092
1206.11	280.5	-921.174	-921.174
1206.61	280	-604.816	-604.816
1207.11	279.5	-900.702	-900.702
1207.61	279	-738.973	-738.973
1208.11	278.5	-639.822	-639.822
1208.61	278	-638.211	-638.211
1209.11	277.5	-441.867	-441.867
1209.61	277	-934.167	-934.167
1210.11	276.5	-1272.38	-1272.38
1210.61	276	-788.902	-788.902
1211.11	275.5	-817.117	-817.117
1211.61	275	-749.136	-749.136
1212.11	274.5	-113.734	-113.734
1212.61	274	-770.261	-770.261
1213.11	273.5	-521.563	-521.563
1213.61	273	-625.756	-625.756
1214.11	272.5	-615.279	-615.279
1214.61	272	-699.379	-699.379
1215.11	271.5	-812.15	-812.15
1215.61	271	-382.806	-382.806
1216.11	270.5	-439.634	-439.634
1216.61	270	-374.16	-374.16
1217.11	269.5	-425.5	-425.5
1217.61	269	-245.783	-245.783
1218.11	268.5	-332.655	-332.655
1218.61	268	-180.024	-180.024
1219.11	267.5	-581.627	-581.627
1219.61	267	-612.969	-612.969
1220.11	266.5	-274.403	-274.403
1220.61	266	121.217	121.217
1221.11	265.5	-518.2	-518.2
1221.61	265	-279.552	-279.552
1222.11	264.5	-79.2313	-79.2313
1222.61	264	-244.403	-244.403
1223.11	263.5	-147.075	-147.075
1223.61	263	-38.9109	-38.9109
1224.11	262.5	-464.018	-464.018
1224.61	262	-514.982	-514.982
