C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2_clean.vms
Au4d
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Au4d	BE_Au4d	CPS_Au4d	Background_Au4d
1161.61	325	3687.64	3687.64
1162.11	324.5	3380.65	3380.65
1162.61	324	3017.78	3017.78
1163.11	323.5	2901.04	2901.04
1163.61	323	2565.96	2565.96
1164.11	322.5	2460.21	2460.21
1164.61	322	2302.77	2302.77
1165.11	321.5	2201.66	2201.66
1165.61	321	2300.42	2300.42
1166.11	320.5	2172.31	2172.31
1166.61	320	1849.92	1849.92
1167.11	319.5	1648.94	1648.94
1167.61	319	1511.29	1511.29
1168.11	318.5	1675.09	1675.09
1168.61	318	1669.91	1669.91
1169.11	317.5	1490.66	1490.66
1169.61	317	1334.22	1334.22
1170.11	316.5	1267.74	1267.74
1170.61	316	1120.17	1120.17
1171.11	315.5	1264.4	1264.4
1171.61	315	1200.21	1200.21
1172.11	314.5	1025.89	1025.89
1172.61	314	1068.51	1068.51
1173.11	313.5	823.721	823.721
1173.61	313	745.256	745.256
1174.11	312.5	738.062	738.062
1174.61	312	950.527	950.527
1175.11	311.5	621.027	621.027
1175.61	311	855.835	855.835
1176.11	310.5	985.561	985.561
1176.61	310	549.31	549.31
1177.11	309.5	523.263	523.263
1177.61	309	535.744	535.744
1178.11	308.5	780.922	780.922
1178.61	308	816.474	816.474
1179.11	307.5	752.221	752.221
1179.61	307	485.863	485.863
1180.11	306.5	469.265	469.265
1180.61	306	611.637	611.637
1181.11	305.5	707.064	707.064
1181.61	305	550.516	550.516
1182.11	304.5	370.347	370.347
1182.61	304	471.732	471.732
1183.11	303.5	609.612	609.612
1183.61	303	574.453	574.453
1184.11	302.5	460.605	460.605
1184.61	302	290.917	290.917
1185.11	301.5	4.7245	4.7245
1185.61	301	537.38	537.38
1186.11	300.5	66.3918	66.3918
1186.61	300	450.021	450.021
1187.11	299.5	316.748	316.748
1187.61	299	192.062	192.062
1188.11	298.5	30.1618	30.1618
1188.61	298	53.3189	53.3189
1189.11	297.5	310.553	310.553
1189.61	297	19.386	19.386
1190.11	296.5	276.475	276.475
1190.61	296	126.944	126.944
1191.11	295.5	269.428	269.428
1191.61	295	107.978	107.978
1192.11	294.5	162.389	162.389
1192.61	294	129.333	129.333
1193.11	293.5	346.626	346.626
1193.61	293	280.349	280.349
1194.11	292.5	421.884	421.884
1194.61	292	388.138	388.138
1195.11	291.5	167.959	167.959
1195.61	291	159.252	159.252
1196.11	290.5	368.888	368.888
1196.61	290	85.7521	85.7521
1197.11	289.5	412.531	412.531
1197.61	289	300.835	300.835
1198.11	288.5	579.89	579.89
1198.61	288	752.8	752.8
1199.11	287.5	859.219	859.219
