C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Survey	BE_Pr:Survey	CPS_Pr:Survey	Background_Pr:Survey
1144.11	342.5	2136.77	2136.77
1144.61	342	2157.66	2157.66
1145.11	341.5	2177.63	2177.63
1145.61	341	2160.92	2160.92
1146.11	340.5	2142.46	2142.46
1146.61	340	2161.6	2161.6
1147.11	339.5	2153.96	2153.96
1147.61	339	2137.51	2137.51
1148.11	338.5	2150.12	2150.12
1148.61	338	2158.24	2158.24
1149.11	337.5	2158.29	2158.29
1149.61	337	2164.72	2164.72
1150.11	336.5	2175.94	2175.94
1150.61	336	2156.46	2156.46
1151.11	335.5	2164.02	2164.02
1151.61	335	2182.78	2182.78
1152.11	334.5	2180.26	2180.26
1152.61	334	2178.02	2178.02
1153.11	333.5	2162.1	2162.1
1153.61	333	2158.98	2158.98
1154.11	332.5	2169.82	2169.82
1154.61	332	2182.02	2182.02
1155.11	331.5	2175.67	2175.67
1155.61	331	2201.61	2201.61
1156.11	330.5	2216.47	2216.47
1156.61	330	2199.04	2199.04
1157.11	329.5	2207.12	2207.12
1157.61	329	2193.26	2193.26
1158.11	328.5	2184.17	2184.17
1158.61	328	2208.53	2208.53
1159.11	327.5	2204.66	2204.66
1159.61	327	2206.32	2206.32
1160.11	326.5	2223.85	2223.85
1160.61	326	2215.61	2215.61
1161.11	325.5	2190.79	2190.79
1161.61	325	2199.12	2199.12
1162.11	324.5	2229.56	2229.56
1162.61	324	2235.44	2235.44
1163.11	323.5	2217.22	2217.22
1163.61	323	2204.46	2204.46
1164.11	322.5	2227.72	2227.72
1164.61	322	2243.75	2243.75
1165.11	321.5	2257.38	2257.38
1165.61	321	2261.87	2261.87
1166.11	320.5	2272.28	2272.28
1166.61	320	2276.18	2276.18
1167.11	319.5	2295	2295
1167.61	319	2324.86	2324.86
1168.11	318.5	2294.29	2294.29
1168.61	318	2292.4	2292.4
1169.11	317.5	2273.57	2273.57
1169.61	317	2246.4	2246.4
1170.11	316.5	2239.57	2239.57
1170.61	316	2264.36	2264.36
1171.11	315.5	2256.79	2256.79
1171.61	315	2281	2281
1172.11	314.5	2277.03	2277.03
1172.61	314	2264.1	2264.1
1173.11	313.5	2239.42	2239.42
1173.61	313	2251.08	2251.08
1174.11	312.5	2264.28	2264.28
1174.61	312	2257.61	2257.61
1175.11	311.5	2283.77	2283.77
1175.61	311	2267.55	2267.55
1176.11	310.5	2290.02	2290.02
1176.61	310	2287.63	2287.63
1177.11	309.5	2293.39	2293.39
1177.61	309	2260.95	2260.95
1178.11	308.5	2254.43	2254.43
1178.61	308	2262.1	2262.1
1179.11	307.5	2273.39	2273.39
1179.61	307	2273.89	2273.89
1180.11	306.5	2276.88	2276.88
1180.61	306	2289.73	2289.73
1181.11	305.5	2303.23	2303.23
1181.61	305	2288.12	2288.12
1182.11	304.5	2273.97	2273.97
1182.61	304	2308.4	2308.4
1183.11	303.5	2286.86	2286.86
1183.61	303	2287.81	2287.81
1184.11	302.5	2300.9	2300.9
1184.61	302	2304.8	2304.8
1185.11	301.5	2303.52	2303.52
1185.61	301	2289.93	2289.93
1186.11	300.5	2284.52	2284.52
1186.61	300	2297.23	2297.23
1187.11	299.5	2314.6	2314.6
1187.61	299	2304.56	2304.56
1188.11	298.5	2303.78	2303.78
1188.61	298	2305.6	2305.6
1189.11	297.5	2305.53	2305.53
1189.61	297	2314.33	2314.33
1190.11	296.5	2308.36	2308.36
1190.61	296	2306.25	2306.25
1191.11	295.5	2316.53	2316.53
1191.61	295	2327.84	2327.84
1192.11	294.5	2337.56	2337.56
1192.61	294	2340.32	2340.32
1193.11	293.5	2332.61	2332.61
1193.61	293	2327.34	2327.34
1194.11	292.5	2353.63	2353.63
1194.61	292	2347.29	2347.29
1195.11	291.5	2365.99	2365.99
1195.61	291	2354.01	2354.01
1196.11	290.5	2386.84	2386.84
1196.61	290	2417.16	2417.16
1197.11	289.5	2470.39	2470.39
1197.61	289	2567.11	2567.11
1198.11	288.5	2639.77	2639.77
1198.61	288	2691.46	2691.46
1199.11	287.5	2636.34	2636.34
1199.61	287	2572.62	2572.62
1200.11	286.5	2557.04	2557.04
1200.61	286	2625.26	2625.26
1201.11	285.5	2698.38	2698.38
1201.61	285	2755.66	2755.66
1202.11	284.5	2762.16	2762.16
1202.61	284	2688.29	2688.29
1203.11	283.5	2556.55	2556.55
1203.61	283	2425.74	2425.74
1204.11	282.5	2368.06	2368.06
1204.61	282	2336.59	2336.59
1205.11	281.5	2330.09	2330.09
1205.61	281	2337.89	2337.89
1206.11	280.5	2363.61	2363.61
1206.61	280	2370.01	2370.01
1207.11	279.5	2320.11	2320.11
1207.61	279	2325.59	2325.59
1208.11	278.5	2339.12	2339.12
1208.61	278	2361.62	2361.62
1209.11	277.5	2347.07	2347.07
1209.61	277	2379.4	2379.4
1210.11	276.5	2380.9	2380.9
1210.61	276	2363.71	2363.71
1211.11	275.5	2350.63	2350.63
1211.61	275	2372.48	2372.48
1212.11	274.5	2360.82	2360.82
1212.61	274	2363.3	2363.3
1213.11	273.5	2357.45	2357.45
1213.61	273	2343.37	2343.37
1214.11	272.5	2339.72	2339.72
1214.61	272	2370.78	2370.78
1215.11	271.5	2382.4	2382.4
1215.61	271	2361.71	2361.71
1216.11	270.5	2375.22	2375.22
1216.61	270	2380	2380
1217.11	269.5	2362.86	2362.86
1217.61	269	2382.37	2382.37
1218.11	268.5	2399.72	2399.72
1218.61	268	2404.37	2404.37
1219.11	267.5	2415.3	2415.3
1219.61	267	2376.15	2376.15
1220.11	266.5	2385.44	2385.44
1220.61	266	2372.71	2372.71
1221.11	265.5	2402.24	2402.24
1221.61	265	2403.85	2403.85
1222.11	264.5	2408.28	2408.28
1222.61	264	2386.74	2386.74
1223.11	263.5	2383.69	2383.69
1223.61	263	2409.46	2409.46
1224.11	262.5	2416.08	2416.08
1224.61	262	2430.97	2430.97
1225.11	261.5	2410.4	2410.4
1225.61	261	2406.4	2406.4
1226.11	260.5	2370.68	2370.68
1226.61	260	2393.89	2393.89
1227.11	259.5	2404.2	2404.2
1227.61	259	2419.36	2419.36
1228.11	258.5	2407.38	2407.38
1228.61	258	2421.9	2421.9
1229.11	257.5	2441.29	2441.29
1229.61	257	2412.88	2412.88
