C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Survey	BE_Pr:Survey	CPS_Pr:Survey	Background_Pr:Survey
1213.11	273.5	646.466	646.466
1213.61	273	631.28	631.28
1214.11	272.5	645.438	645.438
1214.61	272	645.786	645.786
1215.11	271.5	645.824	645.824
1215.61	271	641.946	641.946
1216.11	270.5	642.282	642.282
1216.61	270	653.064	653.064
1217.11	269.5	632.132	632.132
1217.61	269	643.741	643.741
1218.11	268.5	635.379	635.379
1218.61	268	638.628	638.628
1219.11	267.5	645.864	645.864
1219.61	267	656.264	656.264
1220.11	266.5	648.943	648.943
1220.61	266	663.318	663.318
1221.11	265.5	645.202	645.202
1221.61	265	652.196	652.196
1222.11	264.5	641.846	641.846
1222.61	264	642.511	642.511
1223.11	263.5	654.149	654.149
1223.61	263	652.508	652.508
1224.11	262.5	644.54	644.54
1224.61	262	651.925	651.925
1225.11	261.5	656.184	656.184
1225.61	261	657.68	657.68
1226.11	260.5	657.178	657.178
1226.61	260	656.883	656.883
1227.11	259.5	657.087	657.087
1227.61	259	654.437	654.437
1228.11	258.5	668.219	668.219
1228.61	258	663.589	663.589
1229.11	257.5	661.848	661.848
1229.61	257	672.528	672.528
1230.11	256.5	664.8	664.8
1230.61	256	664.997	664.997
1231.11	255.5	662.499	662.499
1231.61	255	662.003	662.003
1232.11	254.5	661	661
1232.61	254	665.512	665.512
1233.11	253.5	672.514	672.514
1233.61	253	674.532	674.532
1234.11	252.5	660.262	660.262
1234.61	252	667.828	667.828
1235.11	251.5	666.354	666.354
1235.61	251	675.922	675.922
1236.11	250.5	678.09	678.09
1236.61	250	673.078	673.078
1237.11	249.5	679.808	679.808
1237.61	249	679.038	679.038
1238.11	248.5	684.636	684.636
1238.61	248	680.037	680.037
1239.11	247.5	686.52	686.52
1239.61	247	677.201	677.201
1240.11	246.5	673.178	673.178
1240.61	246	673.501	673.501
1241.11	245.5	673.15	673.15
1241.61	245	684.458	684.458
1242.11	244.5	686.726	686.726
1242.61	244	688.15	688.15
1243.11	243.5	691.707	691.707
1243.61	243	698.124	698.124
1244.11	242.5	697.527	697.527
1244.61	242	707.401	707.401
1245.11	241.5	697.418	697.418
1245.61	241	694.927	694.927
1246.11	240.5	699.252	699.252
1246.61	240	690.726	690.726
1247.11	239.5	696.45	696.45
1247.61	239	696.159	696.159
1248.11	238.5	697.294	697.294
1248.61	238	708.383	708.383
1249.11	237.5	710.828	710.828
1249.61	237	700.275	700.275
1250.11	236.5	698.845	698.845
1250.61	236	693.256	693.256
1251.11	235.5	707.429	707.429
1251.61	235	703.157	703.157
1252.11	234.5	705.94	705.94
1252.61	234	710.787	710.787
1253.11	233.5	705.067	705.067
1253.61	233	712.172	712.172
1254.11	232.5	703.771	703.771
1254.61	232	715.722	715.722
1255.11	231.5	717.83	717.83
1255.61	231	713.138	713.138
1256.11	230.5	703.467	703.467
1256.61	230	705.046	705.046
1257.11	229.5	720.788	720.788
1257.61	229	723.035	723.035
1258.11	228.5	722.943	722.943
1258.61	228	711.119	711.119
1259.11	227.5	709.323	709.323
1259.61	227	718.199	718.199
1260.11	226.5	709.837	709.837
1260.61	226	709.857	709.857
1261.11	225.5	714.859	714.859
1261.61	225	713.182	713.182
1262.11	224.5	718.251	718.251
1262.61	224	717.115	717.115
1263.11	223.5	729.12	729.12
1263.61	223	714.35	714.35
