C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2_clean.vms
Ag3p
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Ag3p	BE_Ag3p	CPS_Ag3p	Background_Ag3p
913.61	573	146313	146313
914.11	572.5	136765	136765
914.61	572	117133	117133
915.11	571.5	92964	92964
915.61	571	70970.3	70970.3
916.11	570.5	54366.9	54366.9
916.61	570	41744.4	41744.4
917.11	569.5	33713.3	33713.3
917.61	569	26935.9	26935.9
918.11	568.5	22228.6	22228.6
918.61	568	18770.7	18770.7
919.11	567.5	16047.1	16047.1
919.61	567	14212.5	14212.5
920.11	566.5	12725.5	12725.5
920.61	566	11002.7	11002.7
921.11	565.5	9930.2	9930.2
921.61	565	9010.36	9010.36
922.11	564.5	8286.57	8286.57
922.61	564	7662.38	7662.38
923.11	563.5	6956.67	6956.67
923.61	563	6937.45	6937.45
924.11	562.5	6438.17	6438.17
924.61	562	6364.89	6364.89
925.11	561.5	5728.33	5728.33
925.61	561	5692.57	5692.57
926.11	560.5	4938.22	4938.22
926.61	560	4518.8	4518.8
927.11	559.5	4615.11	4615.11
927.61	559	4312.49	4312.49
928.11	558.5	4464.67	4464.67
928.61	558	4527.86	4527.86
929.11	557.5	4462.01	4462.01
929.61	557	4309.63	4309.63
930.11	556.5	4065.11	4065.11
930.61	556	3814.55	3814.55
931.11	555.5	3678.74	3678.74
931.61	555	3506.8	3506.8
932.11	554.5	3498.19	3498.19
932.61	554	3445.23	3445.23
933.11	553.5	3302.1	3302.1
933.61	553	3479.08	3479.08
934.11	552.5	3252.04	3252.04
934.61	552	3254.4	3254.4
935.11	551.5	3115.11	3115.11
935.61	551	3141.67	3141.67
936.11	550.5	3099.23	3099.23
936.61	550	3123.6	3123.6
937.11	549.5	2932.52	2932.52
937.61	549	2982.2	2982.2
938.11	548.5	2963.16	2963.16
938.61	548	3013.36	3013.36
939.11	547.5	2565.39	2565.39
939.61	547	2635.85	2635.85
940.11	546.5	2874.9	2874.9
940.61	546	2772.39	2772.39
941.11	545.5	3095.05	3095.05
941.61	545	2980.32	2980.32
942.11	544.5	2512.5	2512.5
942.61	544	2252.86	2252.86
943.11	543.5	2135.55	2135.55
943.61	543	2558	2558
944.11	542.5	2461.02	2461.02
944.61	542	2440.76	2440.76
945.11	541.5	2127.86	2127.86
