c:\users\mark\owncloud\muelheim group\projects\gas phase background\au in n2 300um nozzle\20180228 au gas phase background in n2 - au4f.vms			
Counts per Second			
	Characteristic Energy eV	1486.61	1
KE_Counts per Second	BE_Counts per Second	CPS_Counts per Second	
1360.76	125.85	1109.32	
1360.81	125.8	1103.44	
1360.86	125.75	1119.65	
1360.91	125.7	1118.95	
1360.96	125.65	1133.88	
1361.01	125.6	1130.15	
1361.06	125.55	1099.3	
1361.11	125.5	1083.75	
1361.16	125.45	1103.05	
1361.21	125.4	1093.91	
1361.26	125.35	1097.98	
1361.31	125.3	1088.73	
1361.36	125.25	1107.31	
1361.41	125.2	1108.01	
1361.46	125.15	1115.12	
1361.51	125.1	1145.08	
1361.56	125.05	1096.88	
1361.61	125	1097.73	
1361.66	124.95	1120.46	
1361.71	124.9	1098.86	
1361.76	124.85	1100.57	
1361.81	124.8	1107.73	
1361.86	124.75	1101.88	
1361.91	124.7	1104.81	
1361.96	124.65	1105.94	
1362.01	124.6	1118.56	
1362.06	124.55	1096.29	
1362.11	124.5	1110.18	
1362.16	124.45	1087.71	
1362.21	124.4	1097.04	
1362.26	124.35	1084.79	
1362.31	124.3	1101.83	
1362.36	124.25	1121.96	
1362.41	124.2	1117.97	
1362.46	124.15	1101.07	
1362.51	124.1	1113.96	
1362.56	124.05	1110.21	
1362.61	124	1118.67	
1362.66	123.95	1129.62	
1362.71	123.9	1118.51	
1362.76	123.85	1095.88	
1362.81	123.8	1104.27	
1362.86	123.75	1109.15	
1362.91	123.7	1119.34	
1362.96	123.65	1093.42	
1363.01	123.6	1112.95	
1363.06	123.55	1107.74	
1363.11	123.5	1122.66	
1363.16	123.45	1125.9	
1363.21	123.4	1103.41	
1363.26	123.35	1113.22	
1363.31	123.3	1093.68	
1363.36	123.25	1141.83	
1363.41	123.2	1122.29	
1363.46	123.15	1137.05	
1363.51	123.1	1129.17	
1363.56	123.05	1128.69	
1363.61	123	1126.43	
1363.66	122.95	1104.52	
1363.71	122.9	1105.34	
1363.76	122.85	1095.02	
1363.81	122.8	1106.41	
1363.86	122.75	1114.71	
1363.91	122.7	1113.43	
1363.96	122.65	1089.6	
