c:\users\mark\owncloud\muelheim group\projects\gas phase background\co in o2 300um nozzle\co3o4_ino2_ivac.vms				
Co2p				
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Co2p	BE_Co2p	CPS_Co2p		
703.11	783.5	1665.36		
703.21	783.4	1677.26		
703.31	783.3	1711.2		
703.41	783.2	1722.96		
703.51	783.1	1760.4		
703.61	783	1758.88		
703.71	782.9	1791.17		
703.81	782.8	1837.46		
703.91	782.7	1871.93		
704.01	782.6	1917.33		
704.11	782.5	1974.6		
704.21	782.4	2015.54		
704.31	782.3	2033.65		
704.41	782.2	2101.06		
704.51	782.1	2170.06		
704.61	782	2185.85		
704.71	781.9	2249.81		
704.81	781.8	2307.14		
704.91	781.7	2356.78		
705.01	781.6	2444		
705.11	781.5	2508.18		
705.21	781.4	2581.98		
705.31	781.3	2654.49		
705.41	781.2	2689.5		
705.51	781.1	2723.51		
705.61	781	2856.32		
705.71	780.9	2953.86		
705.81	780.8	2990.76		
705.91	780.7	3024.8		
706.01	780.6	3128.84		
706.11	780.5	3166.3		
706.21	780.4	3202.76		
706.31	780.3	3244.2		
706.41	780.2	3269.81		
706.51	780.1	3294.99		
706.61	780	3348.99		
706.71	779.9	3437.4		
706.81	779.8	3530.23		
706.91	779.7	3652.92		
707.01	779.6	3671.63		
707.11	779.5	3722.32		
707.21	779.4	3740.12		
707.31	779.3	3643.35		
707.41	779.2	3388.64		
707.51	779.1	3148.46		
707.61	779	2840.5		
707.71	778.9	2477.1		
707.81	778.8	2193.78		
707.91	778.7	2067.83		
708.01	778.6	1879.48		
708.11	778.5	1759.85		
708.21	778.4	1645.73		
708.31	778.3	1497.85		
708.41	778.2	1386.48		
708.51	778.1	1307.21		
708.61	778	1257.9		
708.71	777.9	1199.92		
708.81	777.8	1179.85		
708.91	777.7	1131.66		
709.01	777.6	1131.19		
709.11	777.5	1122.26		
709.21	777.4	1118.46		
709.31	777.3	1094.61		
709.41	777.2	1081.09		
709.51	777.1	1091.23		
709.61	777	1099.51		
709.71	776.9	1055.07		
709.81	776.8	1054.8		
709.91	776.7	1046.11		
710.01	776.6	1049.11		
710.11	776.5	1019.4		
710.21	776.4	1003.81		
710.31	776.3	1035.46		
710.41	776.2	995.781		
710.51	776.1	1014.31		
710.61	776	987.722		
710.71	775.9	998.136		
710.81	775.8	994.446		
710.91	775.7	1017.21		
711.01	775.6	997.359		
711.11	775.5	999.091		
711.21	775.4	966.162		
711.31	775.3	964.826		
711.41	775.2	974.956		
711.41	775.2	974.956		
711.51	775.1	943.402		
711.61	775	983.79		
711.71	774.9	995.332		
711.71	774.9	995.332		
711.81	774.8	963.638		
711.91	774.7	937.599		
712.01	774.6	934.534		
712.01	774.6	934.534		
712.11	774.5	899.239		
712.21	774.4	948.122		
712.31	774.3	927.08		
712.31	774.3	927.08		
712.41	774.2	941.236		
712.51	774.1	951.046		
712.61	774	920.146		
712.61	774	920.146		
712.91	773.7	961.776		
713.21	773.4	953.808		
713.51	773.1	941.466		
713.81	772.8	906.107		
714.11	772.5	894.981		
714.41	772.2	856.083		
714.71	771.9	899.764		
715.01	771.6	873.575		
715.31	771.3	934.082		
715.61	771	859.862		
715.91	770.7	855.894		
716.21	770.4	881.361		
716.51	770.1	802.647		
716.81	769.8	882.554		
717.11	769.5	822.752		
717.41	769.2	823.806		
717.71	768.9	812.827		
718.01	768.6	762.64		
718.31	768.3	743.922		
718.61	768	674.526		
718.91	767.7	658.304		
719.21	767.4	667.689		
719.51	767.1	666.078		
719.81	766.8	601.211		
720.11	766.5	589.63		
720.41	766.2	590.045		
720.71	765.9	555.727		
721.01	765.6	573.973		
721.31	765.3	615.77		
721.61	765	515.513		
721.91	764.7	547.207		
722.21	764.4	547.605		
722.51	764.1	562.735		
722.81	763.8	543.536		
723.11	763.5	592.312		
