c:\users\mark\owncloud\muelheim group\projects\gas phase background\au in n2 300um nozzle\20180228 au gas phase background in n2 - au4f.vms				
Counts per Second				
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Counts per Second	BE_Counts per Second	CPS_Counts per Second		
1370.06	116.55	2331.19		
1370.11	116.5	2320.62		
1370.16	116.45	2323.69		
1370.21	116.4	2274.63		
1370.26	116.35	2241.46		
1370.31	116.3	2263.71		
1370.36	116.25	2270.09		
1370.41	116.2	2267.04		
1370.46	116.15	2295.76		
1370.51	116.1	2294.83		
1370.56	116.05	2337.7		
1370.61	116	2348.04		
1370.66	115.95	2274.19		
1370.71	115.9	2311.79		
1370.76	115.85	2289.42		
1370.81	115.8	2311.01		
1370.86	115.75	2275.02		
1370.91	115.7	2293.85		
1370.96	115.65	2327.48		
1371.01	115.6	2293.98		
1371.06	115.55	2246.28		
1371.11	115.5	2325.24		
1371.16	115.45	2332.83		
1371.21	115.4	2312.43		
1371.26	115.35	2349.37		
1371.31	115.3	2300.21		
1371.36	115.25	2269.96		
1371.41	115.2	2303		
1371.46	115.15	2317.65		
1371.51	115.1	2333.57		
1371.56	115.05	2347.12		
1371.61	115	2308.88		
1371.66	114.95	2322.39		
1371.71	114.9	2362.3		
1371.76	114.85	2374.99		
1371.81	114.8	2301.71		
1371.86	114.75	2328.36		
1371.91	114.7	2372.51		
1371.96	114.65	2356.37		
1372.01	114.6	2302.81		
1372.06	114.55	2309.14		
1372.11	114.5	2328.97		
1372.16	114.45	2324.06		
1372.21	114.4	2293.29		
1372.26	114.35	2351.92		
1372.31	114.3	2312.25		
1372.36	114.25	2358.06		
1372.41	114.2	2364.48		
1372.46	114.15	2296.27		
1372.51	114.1	2319.88		
1372.56	114.05	2328.27		
1372.61	114	2351.47		
1372.66	113.95	2371.59		
1372.71	113.9	2324.9		
1372.76	113.85	2351.23		
1372.81	113.8	2366.13		
1372.86	113.75	2332.92		
1372.91	113.7	2408.29		
1372.96	113.65	2389.72		
1373.01	113.6	2369.02		
1373.06	113.55	2373.89		
1373.11	113.5	2321.46		
1373.16	113.45	2336.92		
1373.21	113.4	2326.52		
1373.26	113.35	2354.51		
1373.31	113.3	2393.19		
1373.36	113.25	2351.45		
1373.41	113.2	2333.78		
1373.46	113.15	2316.96		
1373.51	113.1	2347.41		
1373.56	113.05	2352.83		
1373.61	113	2334.72		
1373.66	112.95	2343.97		
1373.71	112.9	2292.72		
1373.76	112.85	2336.72		
1373.81	112.8	2354.42		
1373.86	112.75	2353.11		
1373.91	112.7	2330.55		
1373.96	112.65	2383.11		
1374.01	112.6	2377.88		
1374.06	112.55	2331.3		
1374.11	112.5	2364.03		
1374.16	112.45	2372.82		
1374.21	112.4	2373.4		
1374.26	112.35	2394.07		
1374.31	112.3	2404.11		
1374.36	112.25	2399.03		
1374.41	112.2	2366.25		
1374.46	112.15	2358.86		
1374.51	112.1	2369.82		
1374.56	112.05	2363.33		
1374.61	112	2364.74		
1374.66	111.95	2360.48		
1374.71	111.9	2379.24		
1374.76	111.85	2372.44		
1374.81	111.8	2339.71		
1374.86	111.75	2358.33		
1374.91	111.7	2381.39		
1374.96	111.65	2374.23		
1375.01	111.6	2412.99		
1375.06	111.55	2361.65		
1375.11	111.5	2382.68		
1375.16	111.45	2393.53		
1375.21	111.4	2418.66		
1375.26	111.35	2370.97		
1375.31	111.3	2382.9		
1375.36	111.25	2400.5		
1375.41	111.2	2403.38		
1375.46	111.15	2410.31		
1375.51	111.1	2388.07		
1375.56	111.05	2446.79		
1375.61	111	2435.99		
1375.66	110.95	2409.97		
1375.71	110.9	2363.91		
1375.76	110.85	2426.28		
1375.81	110.8	2398.35		
1375.86	110.75	2384.71		
1375.91	110.7	2372.32		
1375.96	110.65	2409.13		
1376.01	110.6	2417.37		
1376.06	110.55	2370.28		
1376.11	110.5	2370.51		
1376.16	110.45	2411.02		
1376.21	110.4	2430.39		
1376.26	110.35	2429.08		
1376.31	110.3	2434.18		
1376.36	110.25	2391.72		
1376.41	110.2	2378.62		
1376.46	110.15	2416.03		
1376.51	110.1	2346.36		
1376.56	110.05	2391.73		
1376.61	110	2373.21		
1376.66	109.95	2410.24		
1376.71	109.9	2373.11		
1376.76	109.85	2400.82		
1376.81	109.8	2401.01		
1376.86	109.75	2373.11		
1376.91	109.7	2369.69		
1376.96	109.65	2399.06		
