C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Ag3d
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Ag3d	BE_Pr:Ag3d	CPS_Pr:Ag3d
1089.51	397.1	970.865
1089.61	397	963.478
1089.71	396.9	970.924
1089.81	396.8	960.74
1089.91	396.7	953.821
1090.01	396.6	955.913
1090.11	396.5	967.01
1090.21	396.4	958.655
1090.31	396.3	966.603
1090.41	396.2	962.063
1090.51	396.1	949.493
1090.61	396	951.204
1090.71	395.9	957.006
1090.81	395.8	957.883
1090.91	395.7	949.206
1091.01	395.6	953.292
1091.11	395.5	972.084
1091.21	395.4	961.708
1091.31	395.3	952.843
1091.41	395.2	966.64
1091.51	395.1	953.628
1091.61	395	940.943
1091.71	394.9	957.078
1091.81	394.8	953.345
1091.91	394.7	959.708
1092.01	394.6	964.761
1092.11	394.5	958.69
1092.21	394.4	957.433
1092.31	394.3	970.465
1092.41	394.2	966.302
1092.51	394.1	971.959
1092.61	394	979.213
1092.71	393.9	969.219
1092.81	393.8	969.994
1092.91	393.7	976.086
1093.01	393.6	988.097
1093.11	393.5	986.75
1093.21	393.4	981.876
1093.31	393.3	979.358
1093.41	393.2	970.216
1093.51	393.1	980.761
1093.61	393	976.282
1093.71	392.9	969.677
1093.81	392.8	970.095
1093.91	392.7	956.663
1094.01	392.6	965.437
1094.11	392.5	957.223
1094.21	392.4	959.828
1094.31	392.3	968.475
1094.41	392.2	982.015
1094.51	392.1	963.908
1094.61	392	976.817
1094.71	391.9	994.247
1094.81	391.8	992.179
1094.91	391.7	996.596
1095.01	391.6	980.759
1095.11	391.5	992.674
1095.21	391.4	1006.59
1095.31	391.3	998.082
1095.41	391.2	990.846
1095.51	391.1	998.597
1095.61	391	993.184
1095.71	390.9	975.795
1095.81	390.8	973.643
1095.91	390.7	965.779
1096.01	390.6	956.997
1096.11	390.5	946.197
1096.21	390.4	950.492
1096.31	390.3	960.794
1096.41	390.2	960.014
1096.51	390.1	968.07
1096.61	390	978.734
1096.71	389.9	978.95
1096.81	389.8	978.984
1096.91	389.7	978.022
1097.01	389.6	973.569
1097.11	389.5	961.277
1097.21	389.4	950.866
1097.31	389.3	947.408
1097.41	389.2	944.932
1097.51	389.1	918.457
1097.61	389	915.475
1097.71	388.9	899.9
1097.81	388.8	894.203
1097.91	388.7	872.766
1098.01	388.6	879.934
1098.11	388.5	892.652
1098.21	388.4	886.214
1098.31	388.3	871.192
1098.41	388.2	873.939
1098.51	388.1	872.626
1098.61	388	862.428
1098.71	387.9	875.171
1098.81	387.8	863.73
1098.91	387.7	877.384
1099.01	387.6	878.43
1099.11	387.5	866.232
1099.21	387.4	873.045
1099.31	387.3	877.431
1099.41	387.2	870.581
1099.51	387.1	866.368
1099.61	387	851.58
1099.71	386.9	846.128
1099.81	386.8	840.941
1099.91	386.7	825.746
1100.01	386.6	817.043
1100.11	386.5	808.676
1100.21	386.4	789.841
1100.31	386.3	791.359
1100.41	386.2	796.557
1100.51	386.1	809.78
1100.61	386	817.343
1100.71	385.9	812.265
1100.81	385.8	818.369
1100.91	385.7	800.602
1101.01	385.6	825.796
1101.11	385.5	833.046
1101.21	385.4	828.717
1101.31	385.3	837.096
1101.41	385.2	837.426
1101.51	385.1	836.225
1101.61	385	818.808
1101.71	384.9	800.889
1101.81	384.8	819.47
1101.91	384.7	806.293
1102.01	384.6	811.254
1102.11	384.5	813.265
1102.21	384.4	808.371
1102.31	384.3	798.734
1102.41	384.2	819.144
1102.51	384.1	826.547
1102.61	384	823.263
1102.71	383.9	831.384
1102.81	383.8	832.313
1102.91	383.7	838.541
1103.01	383.6	856.504
1103.11	383.5	867.484
1103.21	383.4	877.838
1103.31	383.3	879.336
1103.41	383.2	885.132
1103.51	383.1	895.453
1103.61	383	894.138
1103.71	382.9	882.609
1103.81	382.8	880.799
1103.91	382.7	881.15
1104.01	382.6	877.799
1104.11	382.5	850.753
1104.21	382.4	821.814
1104.31	382.3	807.624
1104.41	382.2	777.269
1104.51	382.1	766.481
1104.61	382	752.085
1104.71	381.9	728.056
1104.81	381.8	710.185
1104.91	381.7	679.197
1105.01	381.6	690.902
1105.11	381.5	682.961
1105.21	381.4	678.365
1105.31	381.3	668.45
1105.41	381.2	658.25
1105.51	381.1	655.542
1105.61	381	633.54
1105.71	380.9	619.1
1105.81	380.8	609.189
1105.91	380.7	598.253
1106.01	380.6	584.827
1106.11	380.5	575.282
1106.21	380.4	563.688
1106.31	380.3	544.819
1106.41	380.2	529.944
1106.51	380.1	523.078
1106.61	380	522.392
1106.71	379.9	514.375
1106.81	379.8	515.551
1106.91	379.7	512.383
1107.01	379.6	515.261
1107.11	379.5	510.357
1107.21	379.4	510.958
1107.31	379.3	503.433
1107.41	379.2	500.612
1107.51	379.1	509.766
1107.61	379	517.664
1107.71	378.9	524.52
1107.81	378.8	534.642
1107.91	378.7	542.167
1108.01	378.6	548.708
1108.11	378.5	559.551
1108.21	378.4	571.436
1108.31	378.3	580.166
1108.41	378.2	583.319
1108.51	378.1	594.456
1108.61	378	610.837
1108.71	377.9	625.426
1108.81	377.8	618.184
1108.91	377.7	620.813
1109.01	377.6	640.975
1109.11	377.5	651.911
1109.21	377.4	684.068
1109.31	377.3	704.676
1109.41	377.2	722.062
1109.51	377.1	739.02
1109.61	377	756.06
1109.71	376.9	778.981
1109.81	376.8	790.131
1109.91	376.7	801.094
1110.01	376.6	786.209
1110.11	376.5	787.692
1110.21	376.4	773.44
1110.31	376.3	763.759
1110.41	376.2	741.3
1110.51	376.1	717.34
1110.61	376	693.649
1110.71	375.9	675.215
1110.81	375.8	665.184
1110.91	375.7	669.878
1111.01	375.6	671.307
1111.11	375.5	678.312
1111.21	375.4	685.501
1111.31	375.3	721.56
1111.41	375.2	760.905
1111.51	375.1	824.489
1111.61	375	951.737
1111.71	374.9	1114.04
1111.81	374.8	1372.44
1111.91	374.7	1742.82
1112.01	374.6	2203.43
1112.11	374.5	2773.45
1112.21	374.4	3302.73
1112.31	374.3	3701.22
1112.41	374.2	3807.02
1112.51	374.1	3617.04
1112.61	374	3142.27
1112.71	373.9	2535.69
1112.81	373.8	1962.75
1112.91	373.7	1463.67
1113.01	373.6	1110.22
1113.11	373.5	899.706
1113.21	373.4	756.595
1113.31	373.3	655.791
1113.41	373.2	568.936
1113.51	373.1	512.552
1113.61	373	479.29
1113.71	372.9	465.224
1113.81	372.8	462.468
1113.91	372.7	451.149
1114.01	372.6	435.146
1114.11	372.5	447.485
1114.21	372.4	449.098
1114.31	372.3	450.967
1114.41	372.2	474.034
1114.51	372.1	474.95
1114.61	372	473.838
1114.71	371.9	478.775
1114.81	371.8	469.876
1114.91	371.7	465.198
1115.01	371.6	453.557
1115.11	371.5	438.687
1115.21	371.4	413.636
1115.31	371.3	400.769
1115.41	371.2	385.202
1115.51	371.1	374.109
1115.61	371	386.931
1115.71	370.9	371.777
1115.81	370.8	367.275
1115.91	370.7	376.88
1116.01	370.6	382.007
1116.11	370.5	383.794
1116.21	370.4	388.16
1116.31	370.3	400.409
1116.41	370.2	402.022
1116.51	370.1	418.828
1116.61	370	440.252
1116.71	369.9	446.319
1116.81	369.8	469.592
1116.91	369.7	492.683
1117.01	369.6	522.316
1117.11	369.5	568.777
1117.21	369.4	599.663
1117.31	369.3	661.632
1117.41	369.2	742.819
1117.51	369.1	872.582
1117.61	369	1048.61
1117.71	368.9	1300.32
1117.81	368.8	1669.43
1117.91	368.7	2203.22
1118.01	368.6	2900.64
1118.11	368.5	3694.13
1118.21	368.4	4491.77
1118.31	368.3	5077.88
1118.41	368.2	5267.88
1118.51	368.1	4982.11
1118.61	368	4313.09
1118.71	367.9	3414.89
1118.81	367.8	2562.79
1118.91	367.7	1862.85
1119.01	367.6	1375.76
1119.11	367.5	1030.14
1119.21	367.4	790.525
1119.31	367.3	633.46
1119.41	367.2	510.735
1119.51	367.1	448.674
1119.61	367	389.923
1119.71	366.9	352.921
1119.81	366.8	318.576
1119.91	366.7	301.633
1120.01	366.6	285.968
1120.11	366.5	281.186
1120.21	366.4	271.783
1120.31	366.3	264.855
1120.41	366.2	250.364
1120.51	366.1	246.5
1120.61	366	247.125
1120.71	365.9	232.672
1120.81	365.8	230.724
1120.91	365.7	230.961
1121.01	365.6	235.283
1121.11	365.5	220.737
1121.21	365.4	226.138
1121.31	365.3	217.255
1121.41	365.2	220.943
1121.51	365.1	223.723
1121.61	365	217.852
1121.71	364.9	222.413
1121.81	364.8	211.901
1121.91	364.7	215.872
1122.01	364.6	208.787
1122.11	364.5	211.657
1122.21	364.4	211.307
1122.31	364.3	211.241
1122.41	364.2	209.383
1122.51	364.1	213.928
1122.61	364	205.728
1122.71	363.9	201.109
1122.81	363.8	200.672
1122.91	363.7	198.925
1123.01	363.6	196.412
1123.11	363.5	205.6
1123.21	363.4	197.626
1123.31	363.3	206.003
1123.41	363.2	199.666
1123.51	363.1	201.149
1123.61	363	197.062
1123.71	362.9	192.742
1123.81	362.8	200.917
1123.91	362.7	201.124
1124.01	362.6	195.647
1124.11	362.5	194.335
1124.21	362.4	201.165
1124.31	362.3	198.824
1124.41	362.2	200.587
1124.51	362.1	203.05
1124.61	362	194.394
1124.71	361.9	193.554
1124.81	361.8	193.918
1124.91	361.7	197.954
1125.01	361.6	196.815
1125.11	361.5	196.087
1125.21	361.4	199.571
1125.31	361.3	191.426
1125.41	361.2	198.808
1125.51	361.1	195.522
1125.61	361	194.035
1125.71	360.9	189.671
1125.81	360.8	193.78
1125.91	360.7	191.619
1126.01	360.6	191.93
1126.11	360.5	191.217
1126.21	360.4	195.017
1126.31	360.3	198.958
1126.41	360.2	192.241
1126.51	360.1	188.457
1126.61	360	196.727
1126.71	359.9	198.46
1126.81	359.8	196.944
1126.91	359.7	196.67
1127.01	359.6	199.112
1127.11	359.5	195.697
1127.21	359.4	201.175
1127.31	359.3	194.326
1127.41	359.2	196.23
1127.51	359.1	197.996
1127.61	359	194.947
1127.71	358.9	188.041
1127.81	358.8	196.202
