C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Au4f
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Au4f	BE_Pr:Au4f	CPS_Pr:Au4f
1368.61	118	1964.13
1368.71	117.9	1994.5
1368.81	117.8	2002.78
1368.91	117.7	1980.04
1369.01	117.6	2010.01
1369.11	117.5	1966.25
1369.21	117.4	2010.17
1369.31	117.3	2008.14
1369.41	117.2	2034.2
1369.51	117.1	1988.72
1369.61	117	1994.16
1369.71	116.9	1990.72
1369.81	116.8	2017.54
1369.91	116.7	2019.64
1370.01	116.6	2026.36
1370.11	116.5	2026.79
1370.21	116.4	2005.85
1370.31	116.3	2006.98
1370.41	116.2	2046.95
1370.51	116.1	2056.27
1370.61	116	1995.69
1370.71	115.9	1990.43
1370.81	115.8	2026.46
1370.91	115.7	2004.31
1371.01	115.6	2014.46
1371.11	115.5	2043.97
1371.21	115.4	2018.56
1371.31	115.3	2018.91
1371.41	115.2	2027.25
1371.51	115.1	2002.17
1371.61	115	2025.42
1371.71	114.9	2041.73
1371.81	114.8	1990.12
1371.91	114.7	2036.35
1372.01	114.6	2063.98
1372.11	114.5	2081.93
1372.21	114.4	2048.44
1372.31	114.3	2071.28
1372.41	114.2	2061.09
1372.51	114.1	2047.38
1372.61	114	2022.82
1372.71	113.9	2010.78
1372.81	113.8	2038.77
1372.91	113.7	2057.22
1373.01	113.6	2033.21
1373.11	113.5	2070.41
1373.21	113.4	2040
1373.31	113.3	2060.79
1373.41	113.2	2093.25
1373.51	113.1	2099.83
1373.61	113	2064.52
1373.71	112.9	2072.29
1373.81	112.8	2070.01
1373.91	112.7	2068.21
1374.01	112.6	2081.18
1374.11	112.5	2078.79
1374.21	112.4	2095.72
1374.31	112.3	2101.7
1374.41	112.2	2083.12
1374.51	112.1	2079.94
1374.61	112	2089.17
1374.71	111.9	2094.27
1374.81	111.8	2082.65
1374.91	111.7	2092.56
1375.01	111.6	2082.94
1375.11	111.5	2107.03
1375.21	111.4	2113.37
1375.31	111.3	2083.51
1375.41	111.2	2092.09
1375.51	111.1	2102.27
1375.61	111	2096.94
1375.71	110.9	2114.78
1375.81	110.8	2110.32
1375.91	110.7	2088.56
1376.01	110.6	2081.37
1376.11	110.5	2085.03
1376.21	110.4	2095.72
1376.31	110.3	2100.76
1376.41	110.2	2114.9
1376.51	110.1	2100.82
1376.61	110	2092.05
1376.71	109.9	2100.06
1376.81	109.8	2090.9
1376.91	109.7	2095.73
1377.01	109.6	2109.09
1377.11	109.5	2116.67
1377.21	109.4	2107.17
1377.31	109.3	2098.49
1377.41	109.2	2091.35
1377.51	109.1	2077.13
1377.61	109	2085.52
1377.71	108.9	2071.93
1377.81	108.8	2073.13
1377.91	108.7	2105.32
1378.01	108.6	2049.44
1378.11	108.5	2043.7
1378.21	108.4	2044.74
1378.31	108.3	2042.93
1378.41	108.2	2056.44
1378.51	108.1	2082.69
1378.61	108	2096.85
1378.71	107.9	2067.68
1378.81	107.8	2075.27
1378.91	107.7	2080.66
1379.01	107.6	2088.84
1379.11	107.5	2067.5
1379.21	107.4	2079.7
1379.31	107.3	2084.55
1379.41	107.2	2053.62
1379.51	107.1	2060.96
1379.61	107	2074.5
1379.71	106.9	2080.34
1379.81	106.8	2035.94
1379.91	106.7	2048.42
1380.01	106.6	2030.42
1380.11	106.5	2021.25
1380.21	106.4	2023.85
1380.31	106.3	2022.9
1380.41	106.2	2022.89
1380.51	106.1	1995.74
1380.61	106	2004.8
1380.71	105.9	2012.56
1380.81	105.8	2014.33
1380.91	105.7	2017.68
1381.01	105.6	2000.01
1381.11	105.5	2002.66
1381.21	105.4	2006.6
1381.31	105.3	2006.68
1381.41	105.2	2004.68
1381.51	105.1	2042.1
1381.61	105	2032.62
1381.71	104.9	2028.26
1381.81	104.8	2063
1381.91	104.7	2061.09
1382.01	104.6	2036.1
1382.11	104.5	2057.48
1382.21	104.4	2033.15
1382.31	104.3	2044.03
1382.41	104.2	2028.46
1382.51	104.1	2044.92
1382.61	104	2031.08
1382.71	103.9	2006.92
1382.81	103.8	2000.41
1382.91	103.7	2033.09
1383.01	103.6	2038.96
1383.11	103.5	2033.92
1383.21	103.4	2027.86
1383.31	103.3	2013.04
1383.41	103.2	2026.97
1383.51	103.1	2054.04
1383.61	103	2049.64
1383.71	102.9	1991.36
1383.81	102.8	1987.83
1383.91	102.7	1993.74
1384.01	102.6	1960.91
1384.11	102.5	1929.24
1384.21	102.4	1932.97
1384.31	102.3	1911.24
1384.41	102.2	1896.18
1384.51	102.1	1895.38
1384.61	102	1857.66
1384.71	101.9	1864.68
1384.81	101.8	1893.32
1384.91	101.7	1910.62
1385.01	101.6	1917.58
1385.11	101.5	1911.24
1385.21	101.4	1915.11
1385.31	101.3	1929.85
1385.41	101.2	1914.83
1385.51	101.1	1945.04
1385.61	101	1931.11
1385.71	100.9	1931.95
1385.81	100.8	1931.99
1385.91	100.7	1922.49
1386.01	100.6	1875.84
1386.11	100.5	1887.2
1386.21	100.4	1884.75
1386.31	100.3	1875.81
1386.41	100.2	1841.34
1386.51	100.1	1821.53
1386.61	100	1812.38
1386.71	99.9	1838.76
1386.81	99.8	1816.61
1386.91	99.7	1816.97
1387.01	99.6	1817.87
1387.11	99.5	1824.57
1387.21	99.4	1849.49
1387.31	99.3	1783.03
1387.41	99.2	1789.5
1387.51	99.1	1788.59
1387.61	99	1778.65
1387.71	98.9	1760.49
1387.81	98.8	1725.02
1387.91	98.7	1694.26
1388.01	98.6	1679.5
1388.11	98.5	1644.62
1388.21	98.4	1633.1
1388.31	98.3	1626.21
1388.41	98.2	1616.57
1388.51	98.1	1617.72
1388.61	98	1615.8
1388.71	97.9	1597.27
1388.81	97.8	1630.92
1388.91	97.7	1606.75
1389.01	97.6	1623.21
1389.11	97.5	1629.13
1389.21	97.4	1622.45
1389.31	97.3	1602.97
1389.41	97.2	1667.02
1389.51	97.1	1671.06
1389.61	97	1691.72
1389.71	96.9	1704.45
1389.81	96.8	1736.8
1389.91	96.7	1720.76
1390.01	96.6	1730.62
1390.11	96.5	1720.6
1390.21	96.4	1745.37
1390.31	96.3	1718.98
1390.41	96.2	1739.84
1390.51	96.1	1703.34
1390.61	96	1672.97
1390.71	95.9	1647.67
1390.81	95.8	1652.21
1390.91	95.7	1623.5
1391.01	95.6	1576.96
1391.11	95.5	1551.94
1391.21	95.4	1545.32
1391.31	95.3	1494.01
1391.41	95.2	1449.71
1391.51	95.1	1451.25
1391.61	95	1423.52
1391.71	94.9	1423.13
1391.81	94.8	1419.81
1391.91	94.7	1418.93
1392.01	94.6	1398.47
1392.11	94.5	1394.52
1392.21	94.4	1422.32
1392.31	94.3	1423.13
1392.41	94.2	1441.85
1392.51	94.1	1430.25
1392.61	94	1428.96
1392.71	93.9	1422.74
1392.81	93.8	1433.56
1392.91	93.7	1433.8
1393.01	93.6	1465.68
1393.11	93.5	1476.27
1393.21	93.4	1470.44
1393.31	93.3	1480.48
1393.41	93.2	1528.38
1393.51	93.1	1596.28
1393.61	93	1615.01
1393.71	92.9	1646.92
1393.81	92.8	1662.49
1393.91	92.7	1687.15
1394.01	92.6	1669.32
1394.11	92.5	1686.28
1394.21	92.4	1678.25
1394.31	92.3	1661.89
1394.41	92.2	1628.92
1394.51	92.1	1624.27
1394.61	92	1580.95
1394.71	91.9	1542.95
1394.81	91.8	1514.67
1394.91	91.7	1491.66
1395.01	91.6	1461.5
1395.11	91.5	1469.08
1395.21	91.4	1428.73
1395.31	91.3	1410.41
1395.41	91.2	1400.43
1395.51	91.1	1410.8
1395.61	91	1392.62
1395.71	90.9	1384.64
1395.81	90.8	1409.19
1395.91	90.7	1417.42
1396.01	90.6	1397.45
1396.11	90.5	1421.78
1396.21	90.4	1430.7
1396.31	90.3	1455.13
1396.41	90.2	1439.62
1396.51	90.1	1427.84
1396.61	90	1431.72
1396.71	89.9	1411.31
1396.81	89.8	1416.54
1396.91	89.7	1434.06
1397.01	89.6	1482.33
1397.11	89.5	1512.62
1397.21	89.4	1508.94
1397.31	89.3	1567.02
1397.41	89.2	1598.52
1397.51	89.1	1680.61
1397.61	89	1735.11
1397.71	88.9	1857.6
1397.81	88.8	2029.07
1397.91	88.7	2183.97
1398.01	88.6	2513.29
1398.11	88.5	2945.87
1398.21	88.4	3498.84
1398.31	88.3	4380.04
1398.41	88.2	5531.55
1398.51	88.1	7141.07
1398.61	88	8915.26
1398.71	87.9	10893.9
1398.81	87.8	12584.6
1398.91	87.7	13436
1399.01	87.6	13382.9
1399.11	87.5	12227.9
1399.21	87.4	10448.6
1399.31	87.3	8467.39
1399.41	87.2	6588.62
1399.51	87.1	5039.56
1399.61	87	3918.66
1399.71	86.9	3076.38
1399.81	86.8	2527.42
1399.91	86.7	2115.3
1400.01	86.6	1871.36
1400.11	86.5	1704.13
1400.21	86.4	1576.43
1400.31	86.3	1480.71
1400.41	86.2	1427.14
1400.51	86.1	1389.22
1400.61	86	1332.72
1400.71	85.9	1321.05
1400.81	85.8	1302.02
1400.91	85.7	1359.73
1401.01	85.6	1407.34
1401.11	85.5	1435.81
1401.21	85.4	1523.72
1401.31	85.3	1625.74
1401.41	85.2	1755.96
1401.51	85.1	1957.98
1401.61	85	2232.88
1401.71	84.9	2605.7
1401.81	84.8	3160.24
1401.91	84.7	3924.92
1402.01	84.6	5126.46
1402.11	84.5	6750.21
1402.21	84.4	8902.5
1402.31	84.3	11420.9
1402.41	84.2	13954
1402.51	84.1	15975.3
1402.61	84	16839.9
1402.71	83.9	16437.9
1402.81	83.8	14698
1402.91	83.7	12267.6
1403.01	83.6	9557.72
1403.11	83.5	7105.14
1403.21	83.4	5188.83
1403.31	83.3	3802.2
1403.41	83.2	2786.16
1403.51	83.1	2117.87
1403.61	83	1696.19
1403.71	82.9	1382.52
1403.81	82.8	1192
1403.91	82.7	1035.41
1404.01	82.6	919.608
1404.11	82.5	851.207
1404.21	82.4	774.405
1404.31	82.3	731.92
1404.41	82.2	693.482
1404.51	82.1	658.073
1404.61	82	643.349
1404.71	81.9	614.207
1404.81	81.8	589.123
1404.91	81.7	565.492
1405.01	81.6	561.104
1405.11	81.5	545.318
1405.21	81.4	526.917
1405.31	81.3	515.348
1405.41	81.2	501.397
1405.51	81.1	481.65
1405.61	81	481.672
1405.71	80.9	477.312
1405.81	80.8	457.895
1405.91	80.7	459.656
1406.01	80.6	448.457
1406.11	80.5	448.275
1406.21	80.4	442.606
1406.31	80.3	443.318
1406.41	80.2	442.689
1406.51	80.1	430.146
1406.61	80	440.193
1406.71	79.9	429.67
1406.81	79.8	423.418
1406.91	79.7	417.756
1407.01	79.6	418.734
1407.11	79.5	425.611
1407.21	79.4	402.211
1407.31	79.3	413.118
1407.41	79.2	406.118
1407.51	79.1	409.609
1407.61	79	409.204
1407.71	78.9	401.927
1407.81	78.8	413.504
1407.91	78.7	403.445
1408.01	78.6	411.053
1408.11	78.5	406.582
1408.21	78.4	399.727
1408.31	78.3	400.906
1408.41	78.2	403.969
1408.51	78.1	400.599
1408.61	78	390.647
1408.71	77.9	397.708
1408.81	77.8	405.024
1408.91	77.7	410.141
1409.01	77.6	412.038
1409.11	77.5	405.649
1409.21	77.4	405.629
1409.31	77.3	397.002
1409.41	77.2	390.009
1409.51	77.1	406.274
1409.61	77	403.352
