C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Ag3d
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Ag3d	BE_Pr:Ag3d	CPS_Pr:Ag3d
1129.31	357.3	547.394
1129.41	357.2	541.984
1129.51	357.1	535.333
1129.61	357	535.123
1129.71	356.9	542.988
1129.81	356.8	532.411
1129.91	356.7	519.69
1130.01	356.6	531.802
1130.11	356.5	539.365
1130.21	356.4	523.384
1130.31	356.3	521.248
1130.41	356.2	525.591
1130.51	356.1	521.833
1130.61	356	530.867
1130.71	355.9	538.277
1130.81	355.8	528.943
1130.91	355.7	522.996
1131.01	355.6	527.901
1131.11	355.5	521.275
1131.21	355.4	524.608
1131.31	355.3	532.541
1131.41	355.2	532.473
1131.51	355.1	529.052
1131.61	355	528.029
1131.71	354.9	529.288
1131.81	354.8	534.795
1131.91	354.7	525.945
1132.01	354.6	531.671
1132.11	354.5	526.6
1132.21	354.4	540.41
1132.31	354.3	526.208
1132.41	354.2	529.339
1132.51	354.1	530.579
1132.61	354	524.639
1132.71	353.9	528.033
1132.81	353.8	529.304
1132.91	353.7	534.04
1133.01	353.6	524.351
1133.11	353.5	523.775
1133.21	353.4	533.197
1133.31	353.3	533.247
1133.41	353.2	533.728
1133.51	353.1	523.992
1133.61	353	519.236
1133.71	352.9	526.418
1133.81	352.8	520.781
1133.91	352.7	520.286
1134.01	352.6	517.48
1134.11	352.5	523.267
1134.21	352.4	531.593
1134.31	352.3	523.99
1134.41	352.2	523.613
1134.51	352.1	519.701
1134.61	352	511.521
1134.71	351.9	525.061
1134.81	351.8	528.71
1134.91	351.7	528.909
1135.01	351.6	529.104
1135.11	351.5	534.144
