C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Cu2p	BE_Pr:Cu2p	CPS_Pr:Cu2p	Background_Pr:Cu2p
483.81	1002.8	2198.3	2198.3
483.91	1002.7	2229.04	2229.04
484.01	1002.6	2260.46	2260.46
484.11	1002.5	2254.24	2254.24
484.21	1002.4	2283.62	2283.62
484.31	1002.3	2243.7	2243.7
484.41	1002.2	2255.97	2255.97
484.51	1002.1	2236.09	2236.09
484.61	1002	2236.61	2236.61
484.71	1001.9	2214.45	2214.45
484.81	1001.8	2235.66	2235.66
484.91	1001.7	2206.18	2206.18
485.01	1001.6	2219.7	2219.7
485.11	1001.5	2243.97	2243.97
485.21	1001.4	2194.59	2194.59
485.31	1001.3	2193.7	2193.7
485.41	1001.2	2257.56	2257.56
485.51	1001.1	2217.22	2217.22
485.61	1001	2212.35	2212.35
485.71	1000.9	2170.25	2170.25
485.81	1000.8	2233.46	2233.46
485.91	1000.7	2189.62	2189.62
486.01	1000.6	2200.51	2200.51
486.11	1000.5	2196.27	2196.27
486.21	1000.4	2229.09	2229.09
486.31	1000.3	2253.07	2253.07
486.41	1000.2	2249.06	2249.06
486.51	1000.1	2213.32	2213.32
486.61	1000	2257.41	2257.41
486.71	999.9	2211.75	2211.75
486.81	999.8	2230.45	2230.45
486.91	999.7	2223.56	2223.56
487.01	999.6	2254.24	2254.24
487.11	999.5	2259.95	2259.95
487.21	999.4	2277.17	2277.17
487.31	999.3	2225.18	2225.18
487.41	999.2	2236.95	2236.95
487.51	999.1	2244.15	2244.15
487.61	999	2193.42	2193.42
487.71	998.9	2184.66	2184.66
487.81	998.8	2202.18	2202.18
487.91	998.7	2220.3	2220.3
488.01	998.6	2212.77	2212.77
488.11	998.5	2189.28	2189.28
488.21	998.4	2206.08	2206.08
488.31	998.3	2244.53	2244.53
488.41	998.2	2303.49	2303.49
488.51	998.1	2271.35	2271.35
488.61	998	2277.72	2277.72
488.71	997.9	2272.58	2272.58
488.81	997.8	2229.4	2229.4
488.91	997.7	2266.62	2266.62
489.01	997.6	2286.11	2286.11
489.11	997.5	2246.19	2246.19
489.21	997.4	2218.39	2218.39
489.31	997.3	2246.4	2246.4
489.41	997.2	2299.82	2299.82
489.51	997.1	2244.7	2244.7
489.61	997	2203.93	2203.93
489.71	996.9	2200.35	2200.35
489.81	996.8	2287.2	2287.2
489.91	996.7	2246.44	2246.44
490.01	996.6	2260.59	2260.59
490.11	996.5	2253.39	2253.39
490.21	996.4	2245.21	2245.21
490.31	996.3	2220.86	2220.86
490.41	996.2	2229.63	2229.63
490.51	996.1	2299.13	2299.13
490.61	996	2269.8	2269.8
490.71	995.9	2227.66	2227.66
490.81	995.8	2256.12	2256.12
490.91	995.7	2250.98	2250.98
491.01	995.6	2276.67	2276.67
491.11	995.5	2260.38	2260.38
491.21	995.4	2253.57	2253.57
491.31	995.3	2289.56	2289.56
491.41	995.2	2306.32	2306.32
491.51	995.1	2262.76	2262.76
491.61	995	2256.37	2256.37
491.71	994.9	2283.96	2283.96
491.81	994.8	2289.48	2289.48
491.91	994.7	2269.89	2269.89
492.01	994.6	2276.25	2276.25
492.11	994.5	2242.7	2242.7
