C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX320_CEC356_Cu in He.vms
Pr:Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	0.3
KE_Pr:Cu2p	BE_Pr:Cu2p	CPS_Pr:Cu2p	Background_Pr:Cu2p
494.71	991.9	185792	185792
494.81	991.8	185574	185574
494.91	991.7	185533	185533
495.01	991.6	185670	185670
495.11	991.5	186147	186147
495.21	991.4	185847	185847
495.31	991.3	185943	185943
495.41	991.2	186135	186135
495.51	991.1	186313	186313
495.61	991	187105	187105
495.71	990.9	187186	187186
495.81	990.8	186864	186864
495.91	990.7	186541	186541
496.01	990.6	187178	187178
496.11	990.5	186147	186147
496.21	990.4	187017	187017
496.31	990.3	186803	186803
496.41	990.2	187395	187395
496.51	990.1	188157	188157
496.61	990	188344	188344
496.71	989.9	188479	188479
496.81	989.8	187958	187958
496.91	989.7	186861	186861
497.01	989.6	188772	188772
497.11	989.5	188964	188964
497.21	989.4	186931	186931
497.31	989.3	186484	186484
497.41	989.2	187548	187548
497.51	989.1	188534	188534
497.61	989	188136	188136
497.71	988.9	188053	188053
497.81	988.8	188105	188105
497.91	988.7	188955	188955
498.01	988.6	188991	188991
498.11	988.5	188103	188103
498.21	988.4	188288	188288
498.31	988.3	188806	188806
498.41	988.2	189083	189083
498.51	988.1	190013	190013
498.61	988	190086	190086
498.71	987.9	188720	188720
498.81	987.8	188958	188958
498.91	987.7	189883	189883
499.01	987.6	190108	190108
499.11	987.5	189916	189916
499.21	987.4	190769	190769
499.31	987.3	190402	190402
499.41	987.2	190397	190397
499.51	987.1	190388	190388
499.61	987	189791	189791
499.71	986.9	190913	190913
499.81	986.8	191243	191243
499.91	986.7	190068	190068
500.01	986.6	190082	190082
500.11	986.5	189670	189670
500.21	986.4	189526	189526
500.31	986.3	190521	190521
500.41	986.2	190859	190859
500.51	986.1	190446	190446
500.61	986	191387	191387
500.71	985.9	192162	192162
500.81	985.8	190802	190802
500.91	985.7	190576	190576
501.01	985.6	190897	190897
501.11	985.5	191526	191526
501.21	985.4	190751	190751
501.31	985.3	191740	191740
501.41	985.2	192307	192307
501.51	985.1	192049	192049
501.61	985	192734	192734
501.71	984.9	192223	192223
501.81	984.8	192859	192859
501.91	984.7	193179	193179
502.01	984.6	193649	193649
502.11	984.5	193345	193345
502.21	984.4	192778	192778
502.31	984.3	193062	193062
502.41	984.2	192809	192809
502.51	984.1	192464	192464
502.61	984	192384	192384
502.71	983.9	193600	193600
502.81	983.8	194170	194170
502.91	983.7	193133	193133
503.01	983.6	193216	193216
503.11	983.5	194617	194617
503.21	983.4	194891	194891
503.31	983.3	194716	194716
503.41	983.2	193613	193613
503.51	983.1	193707	193707
503.61	983	195126	195126
503.71	982.9	194693	194693
503.81	982.8	195573	195573
503.91	982.7	196636	196636
504.01	982.6	196660	196660
504.11	982.5	196140	196140
504.21	982.4	196192	196192
504.31	982.3	194328	194328
504.41	982.2	195184	195184
504.51	982.1	196827	196827
504.61	982	196732	196732
504.71	981.9	196586	196586
504.81	981.8	197139	197139
504.91	981.7	196497	196497
505.01	981.6	196174	196174
505.11	981.5	195854	195854
505.21	981.4	197347	197347
505.31	981.3	196592	196592
505.41	981.2	197025	197025
505.51	981.1	197260	197260
505.61	981	197669	197669
505.71	980.9	198067	198067
505.81	980.8	197930	197930
505.91	980.7	197176	197176
506.01	980.6	197484	197484
506.11	980.5	197623	197623
506.21	980.4	197559	197559
506.31	980.3	196981	196981
506.41	980.2	197566	197566
506.51	980.1	198375	198375
506.61	980	199872	199872
506.71	979.9	199825	199825
506.81	979.8	199420	199420
506.91	979.7	199490	199490
507.01	979.6	198902	198902
507.11	979.5	199936	199936
507.21	979.4	199682	199682
507.31	979.3	199487	199487
507.41	979.2	199383	199383
507.51	979.1	199146	199146
507.61	979	199387	199387
507.71	978.9	199166	199166
507.81	978.8	199795	199795
507.91	978.7	200829	200829
508.01	978.6	200099	200099
508.11	978.5	200287	200287
508.21	978.4	199685	199685
508.31	978.3	200394	200394
508.41	978.2	201062	201062
508.51	978.1	200158	200158
508.61	978	200755	200755
508.71	977.9	200921	200921
508.81	977.8	200804	200804
508.91	977.7	201012	201012
509.01	977.6	201733	201733
509.11	977.5	201532	201532
509.21	977.4	200340	200340
509.31	977.3	200783	200783
509.41	977.2	201143	201143
509.51	977.1	202045	202045
509.61	977	202093	202093
509.71	976.9	201764	201764
509.81	976.8	202762	202762
509.91	976.7	202675	202675
510.01	976.6	203147	203147
510.11	976.5	203821	203821
510.21	976.4	204114	204114
510.31	976.3	203925	203925
510.41	976.2	203603	203603
510.51	976.1	204415	204415
510.61	976	203843	203843
510.71	975.9	203905	203905
510.81	975.8	202953	202953
510.91	975.7	202813	202813
511.01	975.6	204629	204629
511.11	975.5	204178	204178
511.21	975.4	204093	204093
511.31	975.3	203936	203936
511.41	975.2	204772	204772
511.51	975.1	206112	206112
511.61	975	206664	206664
511.71	974.9	206594	206594
