experiment 2019-01-28_au in o2 800um nozzle_irregular-January212020161648				
Pr:Counts per Second				
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Counts per Second	BE_Pr:Counts per Second	CPS_Pr:Counts per Second		
1368.91	117.7	2147.82		
1368.96	117.65	2171.17		
1369.01	117.6	2176.04		
1369.06	117.55	2169.51		
1369.11	117.5	2153.15		
1369.16	117.45	2167.67		
1369.21	117.4	2126.03		
1369.26	117.35	2141.38		
1369.31	117.3	2190.47		
1369.36	117.25	2184.89		
1369.41	117.2	2154.4		
1369.46	117.15	2111.41		
1369.51	117.1	2087.14		
1369.56	117.05	2143.2		
1369.61	117	2126.29		
1369.66	116.95	2168.71		
1369.71	116.9	2175.84		
1369.76	116.85	2146.69		
1369.81	116.8	2109.38		
1369.86	116.75	2143.35		
1369.91	116.7	2166.54		
1369.96	116.65	2171.24		
1370.01	116.6	2137.5		
1370.06	116.55	2216.53		
1370.11	116.5	2185.03		
1370.16	116.45	2118.3		
1370.21	116.4	2139.07		
1370.26	116.35	2130.22		
1370.31	116.3	2104.44		
1370.36	116.25	2146.69		
1370.41	116.2	2199.71		
1370.46	116.15	2193.88		
1370.51	116.1	2133.11		
1370.56	116.05	2123.87		
1370.61	116	2164.12		
1370.66	115.95	2185		
1370.71	115.9	2170.23		
1370.76	115.85	2124.69		
1370.81	115.8	2111.07		
1370.86	115.75	2164.21		
1370.91	115.7	2105.69		
1370.96	115.65	2170.96		
1371.01	115.6	2178.69		
1371.06	115.55	2190.13		
1371.11	115.5	2173.1		
1371.16	115.45	2182.81		
1371.21	115.4	2129.44		
1371.26	115.35	2119.4		
1371.31	115.3	2187.06		
1371.36	115.25	2188.13		
1371.41	115.2	2200.62		
1371.46	115.15	2174.2		
1371.51	115.1	2159.77		
1371.56	115.05	2205.87		
1371.61	115	2174.66		
1371.66	114.95	2179.05		
1371.71	114.9	2173.67		
1371.76	114.85	2142.74		
1371.81	114.8	2165.6		
1371.86	114.75	2195.44		
1371.91	114.7	2198.46		
1371.96	114.65	2234.1		
1372.01	114.6	2258.28		
1372.06	114.55	2192.83		
1372.11	114.5	2214.29		
1372.16	114.45	2168.9		
1372.21	114.4	2180.73		
1372.26	114.35	2197.43		
1372.31	114.3	2152.06		
1372.36	114.25	2155.77		
1372.41	114.2	2138.34		
1372.46	114.15	2189.66		
1372.51	114.1	2172.06		
1372.56	114.05	2209.67		
1372.61	114	2196.36		
1372.66	113.95	2210.54		
1372.71	113.9	2168.29		
1372.76	113.85	2187.66		
1372.81	113.8	2182.36		
1372.86	113.75	2232.04		
1372.91	113.7	2215.68		
1372.96	113.65	2159.32		
1373.01	113.6	2250.08		
1373.06	113.55	2218.81		
1373.11	113.5	2226.86		
1373.16	113.45	2259.09		
1373.21	113.4	2277.77		
1373.26	113.35	2185.61		
1373.31	113.3	2241.45		
1373.36	113.25	2206.79		
1373.41	113.2	2215.07		
1373.46	113.15	2201.57		
1373.51	113.1	2173.04		
1373.56	113.05	2163.9		
1373.61	113	2244.76		
1373.66	112.95	2198.84		
1373.71	112.9	2254.7		
1373.76	112.85	2231.71		
1373.81	112.8	2186.51		
1373.86	112.75	2148.41		
1373.91	112.7	2237.61		
1373.96	112.65	2271.22		
1374.01	112.6	2220.35		
1374.06	112.55	2231.73		
1374.11	112.5	2226.71		
1374.16	112.45	2253.92		
1374.21	112.4	2242.84		
1374.26	112.35	2258.14		
1374.31	112.3	2212.1		
1374.36	112.25	2201.22		
1374.41	112.2	2221.15		
1374.46	112.15	2247.97		
1374.51	112.1	2247.25		
1374.56	112.05	2244.05		
1374.61	112	2288.03		
1374.66	111.95	2271.07		
1374.71	111.9	2219.35		
1374.76	111.85	2230.63		
1374.81	111.8	2222.67		
1374.86	111.75	2257		
1374.91	111.7	2246.58		
1374.96	111.65	2234.89		
1375.01	111.6	2251		
1375.06	111.55	2279.51		
1375.11	111.5	2303.11		
1375.16	111.45	2242.84		
1375.21	111.4	2228.91		
1375.26	111.35	2242.01		
1375.31	111.3	2249.18		
1375.36	111.25	2255.52		
1375.41	111.2	2257.73		
1375.46	111.15	2186.36		
1375.51	111.1	2263.17		
1375.56	111.05	2198.37		
1375.61	111	2257.91		
1375.66	110.95	2245.87		
1375.71	110.9	2228.01		
1375.76	110.85	2261.68		
1375.81	110.8	2314.13		
1375.86	110.75	2261.07		
1375.91	110.7	2276.52		
1375.96	110.65	2252.98		
1376.01	110.6	2236.93		
1376.06	110.55	2246.97		
1376.11	110.5	2260.29		
1376.16	110.45	2249.47		
1376.21	110.4	2207.68		
1376.26	110.35	2239.19		
1376.31	110.3	2211.08		
1376.36	110.25	2262.18		
1376.41	110.2	2254.89		
1376.46	110.15	2229.23		
1376.51	110.1	2255.86		
1376.56	110.05	2214.42		
1376.61	110	2229.64		
1376.66	109.95	2251.38		
1376.71	109.9	2203.27		
1376.76	109.85	2207.85		
1376.81	109.8	2241.62		
1376.86	109.75	2271.63		
1376.91	109.7	2243.08		
1376.96	109.65	2227.56		
1377.01	109.6	2229.71		
1377.06	109.55	2251.54		
1377.11	109.5	2260.96		
1377.16	109.45	2249.26		
