C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Au4f
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Au4f	BE_Pr:Au4f	CPS_Pr:Au4f
1382.61	104	995.544
1382.71	103.9	994.992
1382.81	103.8	999.293
1382.91	103.7	987.255
1383.01	103.6	985.903
1383.11	103.5	1012.17
1383.21	103.4	999.768
1383.31	103.3	1009.47
1383.41	103.2	1013.49
1383.51	103.1	999.139
1383.61	103	1010.53
1383.71	102.9	989.914
1383.81	102.8	993.531
1383.91	102.7	976.5
1384.01	102.6	966.387
1384.11	102.5	942.405
1384.21	102.4	917.944
1384.31	102.3	905.231
1384.41	102.2	910.75
1384.51	102.1	912.222
1384.61	102	912.878
1384.71	101.9	901.145
1384.81	101.8	907.171
1384.91	101.7	908.822
1385.01	101.6	915.587
1385.11	101.5	928.007
1385.21	101.4	927.029
1385.31	101.3	947.672
1385.41	101.2	946.775
1385.51	101.1	945.902
1385.61	101	947.472
1385.71	100.9	938.656
1385.81	100.8	947.731
1385.91	100.7	924.322
1386.01	100.6	917.164
1386.11	100.5	906.472
1386.21	100.4	899.444
1386.31	100.3	887.395
1386.41	100.2	875.884
1386.51	100.1	861.659
1386.61	100	844.623
1386.71	99.9	851.369
1386.81	99.8	849.375
1386.91	99.7	856.751
1387.01	99.6	864.641
1387.11	99.5	859.478
1387.21	99.4	856.015
1387.31	99.3	858.701
1387.41	99.2	844.094
1387.51	99.1	828.182
1387.61	99	818.67
1387.71	98.9	802.838
1387.81	98.8	786.635
1387.91	98.7	784.275
1388.01	98.6	756.439
1388.11	98.5	752.314
1388.21	98.4	741.477
1388.31	98.3	726.311
1388.41	98.2	724.007
1388.51	98.1	719.177
1388.61	98	720.047
1388.71	97.9	712.331
1388.81	97.8	718.192
1388.91	97.7	721.99
1389.01	97.6	719.954
1389.11	97.5	732.996
1389.21	97.4	730.427
1389.31	97.3	742.58
1389.41	97.2	760.945
1389.51	97.1	763.002
1389.61	97	772.259
1389.71	96.9	784.935
1389.81	96.8	794.514
1389.91	96.7	812.391
1390.01	96.6	825.616
1390.11	96.5	824.751
1390.21	96.4	818.911
1390.31	96.3	823.012
1390.41	96.2	806.674
1390.51	96.1	797.219
1390.61	96	789.275
1390.71	95.9	777.897
1390.81	95.8	749.867
1390.91	95.7	736.515
1391.01	95.6	724.866
1391.11	95.5	700.703
1391.21	95.4	683.218
1391.31	95.3	668.41
1391.41	95.2	647.184
1391.51	95.1	631.211
1391.61	95	621.676
1391.71	94.9	621.727
1391.81	94.8	611.108
1391.91	94.7	611.7
1392.01	94.6	594.834
1392.11	94.5	593.833
1392.21	94.4	601.378
1392.31	94.3	606.606
1392.41	94.2	604.963
1392.51	94.1	592.348
1392.61	94	605.559
1392.71	93.9	592.861
1392.81	93.8	607.889
1392.91	93.7	607.149
1393.01	93.6	612.827
1393.11	93.5	610.169
1393.21	93.4	628.577
1393.31	93.3	659.104
1393.41	93.2	682.522
1393.51	93.1	693.251
1393.61	93	711.83
1393.71	92.9	753.783
1393.81	92.8	771.76
1393.91	92.7	778.441
1394.01	92.6	796.891
1394.11	92.5	823.046
1394.21	92.4	809.628
1394.31	92.3	796.711
1394.41	92.2	779.868
1394.51	92.1	756.505
1394.61	92	751.173
1394.71	91.9	714.712
1394.81	91.8	700.547
1394.91	91.7	673.631
1395.01	91.6	658.369
1395.11	91.5	629.103
1395.21	91.4	615.627
1395.31	91.3	603.298
1395.41	91.2	585.085
1395.51	91.1	579.86
1395.61	91	574.496
1395.71	90.9	568.176
1395.81	90.8	565.078
1395.91	90.7	551.524
1396.01	90.6	565.826
1396.11	90.5	556.722
1396.21	90.4	563.133
1396.31	90.3	563.27
1396.41	90.2	562.813
1396.51	90.1	562.576
1396.61	90	574.136
1396.71	89.9	571.271
1396.81	89.8	562.443
1396.91	89.7	575.44
1397.01	89.6	570.905
1397.11	89.5	578.87
1397.21	89.4	579.674
1397.31	89.3	601.844
1397.41	89.2	620.633
1397.51	89.1	640.264
1397.61	89	675.48
1397.71	88.9	704.041
1397.81	88.8	745.208
1397.91	88.7	826.229
1398.01	88.6	920.972
1398.11	88.5	1043.1
1398.21	88.4	1229.2
1398.31	88.3	1498.53
1398.41	88.2	1884.86
1398.51	88.1	2398.2
1398.61	88	3002.7
1398.71	87.9	3676.39
1398.81	87.8	4280.55
1398.91	87.7	4632.48
1399.01	87.6	4693.13
1399.11	87.5	4386.53
1399.21	87.4	3809.33
1399.31	87.3	3123.58
1399.41	87.2	2456.1
1399.51	87.1	1925.73
1399.61	87	1480.74
1399.71	86.9	1193.36
1399.81	86.8	982.268
1399.91	86.7	822.332
1400.01	86.6	731.012
1400.11	86.5	668.973
1400.21	86.4	609.273
1400.31	86.3	578.142
1400.41	86.2	563.099
1400.51	86.1	545.573
1400.61	86	529.544
1400.71	85.9	526.754
1400.81	85.8	532.697
1400.91	85.7	533.254
1401.01	85.6	542.747
1401.11	85.5	563.268
1401.21	85.4	598.991
1401.31	85.3	625.006
1401.41	85.2	672.428
1401.51	85.1	725.892
1401.61	85	811.856
1401.71	84.9	925.931
1401.81	84.8	1096.82
1401.91	84.7	1377.37
1402.01	84.6	1747.3
1402.11	84.5	2279.27
1402.21	84.4	2974.77
