experiment 2019-01-28_au in o2 800um nozzle_irregular-January212020161648				
Counts per Second				
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Counts per Second	BE_Counts per Second	CPS_Counts per Second	Background_Counts per Second	
1344.41	142.2	1106.29	1106.29	
1344.51	142.1	1106.87	1146.53	
1344.61	142	1143.6	1275.43	
1344.71	141.9	1128.59	1138.35	
1344.81	141.8	1136.31	1166.77	
1344.91	141.7	1145.35	1207.97	
1345.01	141.6	1114	1153.89	
1345.11	141.5	1121.15	1147.72	
1345.21	141.4	1127.55	1153.25	
1345.31	141.3	1110.75	1116.87	
1345.41	141.2	1131.25	1107.11	
1345.51	141.1	1121.65	1094.33	
1345.61	141	1117.23	1125.3	
1345.71	140.9	1142.47	1186.72	
1345.81	140.8	1131.35	1162.29	
1345.91	140.7	1121.86	1124.92	
1346.01	140.6	1135.81	1102.63	
1346.11	140.5	1139.01	1133.94	
1346.21	140.4	1142.41	1205.18	
1346.31	140.3	1141.17	1127.67	
1346.41	140.2	1137.42	1085.58	
1346.51	140.1	1130.45	1067.24	
1346.61	140	1141.13	1179.3	
1346.71	139.9	1155.88	1120.02	
1346.81	139.8	1137.18	1156.73	
1346.91	139.7	1126.39	1099.6	
1347.01	139.6	1117.94	1131.86	
1347.11	139.5	1136.79	1045.66	
1347.21	139.4	1143.5	1060.25	
1347.31	139.3	1130.53	1097.74	
1347.41	139.2	1106.36	1090.64	
1347.51	139.1	1106.05	1132.44	
1347.61	139	1126.85	1166.01	
1347.71	138.9	1130.2	1171.72	
1347.81	138.8	1114.84	1139.84	
1347.91	138.7	1127.4	1171.97	
1348.01	138.6	1157.18	1215.15	
1348.11	138.5	1141.86	1113.01	
1348.21	138.4	1159.17	1212.59	
1348.31	138.3	1160.31	1207.02	
1348.41	138.2	1140.16	1132.26	
1348.51	138.1	1150.84	1176.32	
1348.61	138	1143.81	1222.53	
1348.71	137.9	1129.7	1137.45	
1348.81	137.8	1130.49	1101.33	
1348.91	137.7	1130.25	1085.37	
1349.01	137.6	1143.39	1136.97	
1349.11	137.5	1153.28	1166.28	
1349.21	137.4	1105.35	1082.95	
1349.31	137.3	1126.84	1123.06	
1349.41	137.2	1144.77	1146.51	
1349.51	137.1	1121.76	1053.85	
1349.61	137	1102.03	1013.3	
