c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex391_cec356_o2 test without sample 1.vms
O1s
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_O1s	BE_O1s	CPS_O1s	Background_O1s
571.81	914.8	0.716483	0.716483
571.91	914.7	0.766494	0.766494
572.01	914.6	1.42357	1.42357
572.11	914.5	0.991209	0.991209
572.21	914.4	1.03998	1.03998
572.31	914.3	1.06031	1.06031
572.41	914.2	0.926515	0.926515
572.51	914.1	1.19635	1.19635
572.61	914	0.771977	0.771977
572.71	913.9	0.967968	0.967968
572.81	913.8	1.25313	1.25313
572.91	913.7	1.07297	1.07297
573.01	913.6	0.995429	0.995429
573.11	913.5	1.46301	1.46301
573.21	913.4	1.41952	1.41952
573.31	913.3	0.868643	0.868643
573.41	913.2	0.83836	0.83836
573.51	913.1	1.22401	1.22401
573.61	913	1.15251	1.15251
573.71	912.9	1.16693	1.16693
573.81	912.8	0.941871	0.941871
573.91	912.7	1.1625	1.1625
574.01	912.6	0.900414	0.900414
574.11	912.5	0.731299	0.731299
574.21	912.4	0.79208	0.79208
574.31	912.3	0.814169	0.814169
574.41	912.2	0.881224	0.881224
574.51	912.1	0.906243	0.906243
574.61	912	0.906908	0.906908
574.71	911.9	0.882319	0.882319
574.81	911.8	0.620814	0.620814
574.91	911.7	0.883452	0.883452
575.01	911.6	0.89314	0.89314
575.11	911.5	1.02701	1.02701
575.21	911.4	1.42694	1.42694
575.31	911.3	0.684877	0.684877
575.41	911.2	0.946985	0.946985
575.51	911.1	0.932558	0.932558
575.61	911	0.6677	0.6677
575.71	910.9	0.862875	0.862875
575.81	910.8	0.717625	0.717625
575.91	910.7	0.772747	0.772747
576.01	910.6	0.81096	0.81096
576.11	910.5	0.738103	0.738103
576.21	910.4	0.884362	0.884362
576.31	910.3	0.954821	0.954821
576.41	910.2	1.07062	1.07062
576.51	910.1	1.20696	1.20696
576.61	910	1.15224	1.15224
576.71	909.9	0.915222	0.915222
576.81	909.8	0.906527	0.906527
576.91	909.7	1.01105	1.01105
577.01	909.6	1.05961	1.05961
577.11	909.5	1.06218	1.06218
577.21	909.4	0.953329	0.953329
577.31	909.3	0.762659	0.762659
577.41	909.2	1.03393	1.03393
577.51	909.1	1.23767	1.23767
577.61	909	0.920858	0.920858
577.71	908.9	1.36904	1.36904
577.81	908.8	0.801494	0.801494
577.91	908.7	1.08886	1.08886
578.01	908.6	0.797001	0.797001
578.11	908.5	1.09701	1.09701
578.21	908.4	0.701687	0.701687
578.31	908.3	1.00198	1.00198
578.41	908.2	0.820912	0.820912
578.51	908.1	0.912274	0.912274
578.61	908	1.15103	1.15103
578.71	907.9	1.29543	1.29543
578.81	907.8	0.990694	0.990694
578.91	907.7	0.701711	0.701711
579.01	907.6	0.833777	0.833777
