C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Cu2p	BE_Pr:Cu2p	CPS_Pr:Cu2p
499.01	987.6	12399
499.11	987.5	12385.8
499.21	987.4	12459.6
499.31	987.3	12393.1
499.41	987.2	12417.3
499.51	987.1	12436.2
499.61	987	12372.4
499.71	986.9	12425.4
499.81	986.8	12359.5
499.91	986.7	12356.6
500.01	986.6	12357.8
500.11	986.5	12385.5
500.21	986.4	12431.1
500.31	986.3	12403.6
500.41	986.2	12422.2
500.51	986.1	12403.5
500.61	986	12404.8
500.71	985.9	12446.5
500.81	985.8	12401.7
500.91	985.7	12386.2
501.01	985.6	12431
501.11	985.5	12426.5
501.21	985.4	12423.7
501.31	985.3	12431.1
501.41	985.2	12432.7
501.51	985.1	12403
501.61	985	12415.4
501.71	984.9	12449.8
501.81	984.8	12422.3
501.91	984.7	12430.6
502.01	984.6	12402.1
502.11	984.5	12446.7
502.21	984.4	12425.5
502.31	984.3	12400.4
502.41	984.2	12419.2
502.51	984.1	12421.5
502.61	984	12410.4
502.71	983.9	12451.6
502.81	983.8	12446.4
502.91	983.7	12432.2
503.01	983.6	12464.1
503.11	983.5	12436.6
503.21	983.4	12494.7
503.31	983.3	12507.7
503.41	983.2	12513.5
503.51	983.1	12512.7
503.61	983	12512.7
503.71	982.9	12501
503.81	982.8	12511.1
503.91	982.7	12510.7
504.01	982.6	12493.3
504.11	982.5	12508.1
504.21	982.4	12466.1
504.31	982.3	12503.4
504.41	982.2	12545.8
504.51	982.1	12550.8
504.61	982	12525.6
504.71	981.9	12579.8
504.81	981.8	12611.2
504.91	981.7	12597.4
505.01	981.6	12585.3
505.11	981.5	12581.1
505.21	981.4	12579.8
505.31	981.3	12625
505.41	981.2	12607.5
505.51	981.1	12605.1
505.61	981	12606.9
505.71	980.9	12592.9
505.81	980.8	12634
505.91	980.7	12675.7
506.01	980.6	12676.7
506.11	980.5	12696.2
506.21	980.4	12655.5
506.31	980.3	12664.3
506.41	980.2	12706.3
506.51	980.1	12740.2
506.61	980	12727.4
506.71	979.9	12709.9
506.81	979.8	12719.8
506.91	979.7	12719
507.01	979.6	12759.5
507.11	979.5	12722.7
507.21	979.4	12792.3
507.31	979.3	12768.1
507.41	979.2	12751.8
507.51	979.1	12773.3
507.61	979	12833.7
507.71	978.9	12848.7
507.81	978.8	12809
507.91	978.7	12819.6
508.01	978.6	12794.8
508.11	978.5	12911
508.21	978.4	12862.8
508.31	978.3	12926.4
508.41	978.2	12925.7
508.51	978.1	12909.7
508.61	978	12920
508.71	977.9	12938.1
508.81	977.8	12982.2
508.91	977.7	13020.3
509.01	977.6	13008.1
509.11	977.5	13058.5
509.21	977.4	13053.8
509.31	977.3	13085.4
509.41	977.2	13120.6
