C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX320_CEC356_Cu in He.vms
Pr:Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	0.3
KE_Pr:Cu2p	BE_Pr:Cu2p	CPS_Pr:Cu2p	Background_Pr:Cu2p
515.01	971.6	175483	175483
515.11	971.5	175481	175481
515.21	971.4	175357	175357
515.31	971.3	175637	175637
515.41	971.2	174717	174717
515.51	971.1	175596	175596
515.61	971	175612	175612
515.71	970.9	175284	175284
515.81	970.8	175803	175803
515.91	970.7	175447	175447
516.01	970.6	175316	175316
516.11	970.5	174894	174894
516.21	970.4	175232	175232
516.31	970.3	175351	175351
516.41	970.2	175603	175603
516.51	970.1	175592	175592
516.61	970	175224	175224
516.71	969.9	174857	174857
516.81	969.8	175355	175355
516.91	969.7	175494	175494
517.01	969.6	175310	175310
517.11	969.5	174868	174868
517.21	969.4	175402	175402
517.31	969.3	175705	175705
517.41	969.2	175587	175587
517.51	969.1	175446	175446
517.61	969	175768	175768
517.71	968.9	175348	175348
517.81	968.8	175075	175075
517.91	968.7	175100	175100
518.01	968.6	175641	175641
518.11	968.5	174930	174930
518.21	968.4	174883	174883
518.31	968.3	175622	175622
518.41	968.2	174586	174586
518.51	968.1	174393	174393
518.61	968	174355	174355
518.71	967.9	174815	174815
518.81	967.8	175004	175004
518.91	967.7	174797	174797
519.01	967.6	174610	174610
519.11	967.5	174943	174943
519.21	967.4	175092	175092
519.31	967.3	175072	175072
519.41	967.2	174921	174921
519.51	967.1	175010	175010
519.61	967	175283	175283
519.71	966.9	175102	175102
519.81	966.8	175008	175008
519.91	966.7	175958	175958
520.01	966.6	175308	175308
520.11	966.5	175555	175555
520.21	966.4	175435	175435
520.31	966.3	175541	175541
520.41	966.2	175531	175531
520.51	966.1	175972	175972
520.61	966	176598	176598
520.71	965.9	177124	177124
520.81	965.8	177241	177241
520.91	965.7	177390	177390
521.01	965.6	177422	177422
521.11	965.5	177486	177486
521.21	965.4	177475	177475
521.31	965.3	177788	177788
521.41	965.2	178744	178744
521.51	965.1	178191	178191
521.61	965	178108	178108
521.71	964.9	178424	178424
521.81	964.8	178574	178574
521.91	964.7	178571	178571
522.01	964.6	178516	178516
522.11	964.5	178454	178454
522.21	964.4	178173	178173
522.31	964.3	178011	178011
522.41	964.2	177802	177802
522.51	964.1	177397	177397
522.61	964	176919	176919
522.71	963.9	177357	177357
522.81	963.8	176290	176290
522.91	963.7	175696	175696
523.01	963.6	174842	174842
523.11	963.5	174736	174736
523.21	963.4	173809	173809
523.31	963.3	174240	174240
523.41	963.2	174412	174412
523.51	963.1	172963	172963
523.61	963	171995	171995
523.71	962.9	171531	171531
523.81	962.8	171123	171123
523.91	962.7	170908	170908
524.01	962.6	171663	171663
524.11	962.5	171827	171827
524.21	962.4	172215	172215
524.31	962.3	171308	171308
524.41	962.2	171389	171389
524.51	962.1	170803	170803
524.61	962	170844	170844
524.71	961.9	169729	169729
524.81	961.8	170083	170083
524.91	961.7	170540	170540
525.01	961.6	170836	170836
525.11	961.5	170818	170818
525.21	961.4	169881	169881
525.31	961.3	170032	170032
525.41	961.2	170317	170317
525.51	961.1	170433	170433
525.61	961	169779	169779
525.71	960.9	170781	170781
525.81	960.8	170726	170726
525.91	960.7	170393	170393
526.01	960.6	170700	170700
526.11	960.5	170589	170589
526.21	960.4	170617	170617
526.31	960.3	171626	171626
526.41	960.2	171807	171807
526.51	960.1	172222	172222
526.61	960	173719	173719
526.71	959.9	172656	172656
526.81	959.8	172425	172425
526.91	959.7	172280	172280
527.01	959.6	171446	171446
527.11	959.5	172878	172878
527.21	959.4	173401	173401
527.31	959.3	173382	173382
527.41	959.2	174000	174000
527.51	959.1	173253	173253
527.61	959	172657	172657
527.71	958.9	172461	172461
527.81	958.8	172844	172844
527.91	958.7	173405	173405
528.01	958.6	173739	173739
528.11	958.5	173671	173671
528.21	958.4	173915	173915
528.31	958.3	173357	173357
528.41	958.2	174055	174055
528.51	958.1	175192	175192
528.61	958	174429	174429
528.71	957.9	174826	174826
528.81	957.8	175590	175590
528.91	957.7	175679	175679
529.01	957.6	175667	175667
529.11	957.5	176250	176250
529.21	957.4	176787	176787
529.31	957.3	177784	177784
529.41	957.2	177185	177185
529.51	957.1	177776	177776
529.61	957	178281	178281
529.71	956.9	178066	178066
529.81	956.8	178683	178683
529.91	956.7	179242	179242
530.01	956.6	179511	179511
530.11	956.5	180414	180414
530.21	956.4	180782	180782
530.31	956.3	181718	181718
530.41	956.2	182061	182061
530.51	956.1	183458	183458
530.61	956	183788	183788
530.71	955.9	184588	184588
530.81	955.8	185430	185430
530.91	955.7	185401	185401
531.01	955.6	185427	185427
531.11	955.5	185850	185850
531.21	955.4	185855	185855
531.31	955.3	186249	186249
531.41	955.2	186418	186418
531.51	955.1	187263	187263
531.61	955	188246	188246
531.71	954.9	190865	190865
531.81	954.8	192386	192386
531.91	954.7	195790	195790
532.01	954.6	199073	199073
532.11	954.5	203163	203163
532.21	954.4	209598	209598
532.31	954.3	216871	216871
532.41	954.2	225131	225131
532.51	954.1	232429	232429
532.61	954	241043	241043
532.71	953.9	247892	247892
532.81	953.8	254521	254521
532.91	953.7	261213	261213
533.01	953.6	267856	267856
533.11	953.5	276116	276116
533.21	953.4	285546	285546
533.31	953.3	298648	298648
533.41	953.2	313033	313033
