C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Cu2p	BE_Pr:Cu2p	CPS_Pr:Cu2p	Background_Pr:Cu2p
518.21	968.4	51559.1	51559.1
518.31	968.3	51439.3	51439.3
518.41	968.2	51400.7	51400.7
518.51	968.1	51381.4	51381.4
518.61	968	51178.1	51178.1
518.71	967.9	51366.6	51366.6
518.81	967.8	51364	51364
518.91	967.7	51367.8	51367.8
519.01	967.6	51546.6	51546.6
519.11	967.5	51618.1	51618.1
519.21	967.4	51646.7	51646.7
519.31	967.3	51419.5	51419.5
519.41	967.2	51450.3	51450.3
519.51	967.1	51406.9	51406.9
519.61	967	51430.5	51430.5
519.71	966.9	51555.5	51555.5
519.81	966.8	51339.3	51339.3
519.91	966.7	51640	51640
520.01	966.6	51806.6	51806.6
520.11	966.5	51951.9	51951.9
520.21	966.4	51907.9	51907.9
520.31	966.3	51956.6	51956.6
520.41	966.2	52154.5	52154.5
520.51	966.1	52159.3	52159.3
520.61	966	52348.6	52348.6
520.71	965.9	52605.6	52605.6
520.81	965.8	52707.8	52707.8
520.91	965.7	52819.7	52819.7
521.01	965.6	52793.8	52793.8
521.11	965.5	52669.5	52669.5
521.21	965.4	52788	52788
521.31	965.3	52971.1	52971.1
521.41	965.2	53272.2	53272.2
521.51	965.1	53238.8	53238.8
521.61	965	53227.9	53227.9
521.71	964.9	53377	53377
521.81	964.8	53245.1	53245.1
521.91	964.7	53257.7	53257.7
522.01	964.6	53074.5	53074.5
522.11	964.5	52820.4	52820.4
522.21	964.4	52863.5	52863.5
522.31	964.3	52760.9	52760.9
522.41	964.2	52650.9	52650.9
522.51	964.1	52751.8	52751.8
522.61	964	52672.7	52672.7
522.71	963.9	52746.5	52746.5
522.81	963.8	52659.7	52659.7
522.91	963.7	52746.2	52746.2
523.01	963.6	52964.9	52964.9
523.11	963.5	53135.3	53135.3
523.21	963.4	53116.7	53116.7
523.31	963.3	53492.5	53492.5
523.41	963.2	53765.2	53765.2
523.51	963.1	53908.7	53908.7
523.61	963	54210.6	54210.6
523.71	962.9	54462.7	54462.7
523.81	962.8	54372.7	54372.7
523.91	962.7	54647.8	54647.8
524.01	962.6	55030.1	55030.1
524.11	962.5	55120.3	55120.3
524.21	962.4	55199.6	55199.6
524.31	962.3	55306.5	55306.5
524.41	962.2	55289.8	55289.8
524.51	962.1	55161.1	55161.1
524.61	962	55160.4	55160.4
524.71	961.9	55105.6	55105.6
524.81	961.8	54969.9	54969.9
524.91	961.7	54494.4	54494.4
525.01	961.6	54298.5	54298.5
525.11	961.5	54247.6	54247.6
525.21	961.4	54019.2	54019.2
525.31	961.3	53604.3	53604.3
525.41	961.2	53308.7	53308.7
525.51	961.1	52908.6	52908.6
525.61	961	52791.4	52791.4
525.71	960.9	52356.9	52356.9
525.81	960.8	52204.7	52204.7
525.91	960.7	52058.9	52058.9
526.01	960.6	51599.7	51599.7
526.11	960.5	51253.4	51253.4
526.21	960.4	51268.7	51268.7
526.31	960.3	51048.8	51048.8
526.41	960.2	50731.5	50731.5
526.51	960.1	50555.5	50555.5
526.61	960	50342.5	50342.5
526.71	959.9	50154.9	50154.9
526.81	959.8	50113.2	50113.2
526.91	959.7	49675.2	49675.2
527.01	959.6	49547	49547
527.11	959.5	49484.5	49484.5
527.21	959.4	49548.5	49548.5
527.31	959.3	49262.8	49262.8
527.41	959.2	49423.4	49423.4
527.51	959.1	49377.9	49377.9
527.61	959	49290.9	49290.9
527.71	958.9	49132.4	49132.4
527.81	958.8	49049.1	49049.1
527.91	958.7	48836.3	48836.3
528.01	958.6	48971.1	48971.1
528.11	958.5	49072.2	49072.2
528.21	958.4	49186.1	49186.1
528.31	958.3	49167	49167
528.41	958.2	49020.8	49020.8
528.51	958.1	49104.9	49104.9
528.61	958	49007.5	49007.5
528.71	957.9	49096.7	49096.7
528.81	957.8	49216.7	49216.7
528.91	957.7	49129.8	49129.8
529.01	957.6	49492.2	49492.2
529.11	957.5	49509	49509
529.21	957.4	49580	49580
529.31	957.3	49891.7	49891.7
529.41	957.2	49967	49967
529.51	957.1	49976.8	49976.8
529.61	957	49894.6	49894.6
529.71	956.9	49827.2	49827.2
529.81	956.8	50115.3	50115.3
529.91	956.7	50327.2	50327.2
530.01	956.6	50536.1	50536.1
530.11	956.5	50678.3	50678.3
530.21	956.4	50815.3	50815.3
530.31	956.3	50965.6	50965.6
530.41	956.2	51213.8	51213.8
530.51	956.1	51498.2	51498.2
530.61	956	51513.3	51513.3
530.71	955.9	51818	51818
530.81	955.8	52308.9	52308.9
530.91	955.7	52765.3	52765.3
531.01	955.6	52891	52891
531.11	955.5	53064.7	53064.7
531.21	955.4	53681.7	53681.7
531.31	955.3	53869.9	53869.9
531.41	955.2	54115.6	54115.6
531.51	955.1	54415.4	54415.4
531.61	955	54825	54825
