C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Cu2p	BE_Pr:Cu2p	CPS_Pr:Cu2p
503.41	983.2	2774.21
503.51	983.1	2768.48
503.61	983	2768.75
503.71	982.9	2726.67
503.81	982.8	2749.84
503.91	982.7	2801.31
504.01	982.6	2793.32
504.11	982.5	2797.28
504.21	982.4	2819.69
504.31	982.3	2828.81
504.41	982.2	2845.94
504.51	982.1	2839.34
504.61	982	2859.81
504.71	981.9	2833.37
504.81	981.8	2831.64
504.91	981.7	2862.8
505.01	981.6	2884.83
505.11	981.5	2877.76
505.21	981.4	2925.14
505.31	981.3	2936.75
505.41	981.2	2885.35
505.51	981.1	2862.88
505.61	981	2872.27
505.71	980.9	2832.92
505.81	980.8	2800.19
505.91	980.7	2802.41
506.01	980.6	2755.87
506.11	980.5	2754.61
506.21	980.4	2785.26
506.31	980.3	2806.96
506.41	980.2	2825.31
506.51	980.1	2759.18
506.61	980	2758.22
506.71	979.9	2789.89
506.81	979.8	2744.58
506.91	979.7	2738.49
507.01	979.6	2757.54
507.11	979.5	2735.25
507.21	979.4	2738.02
507.31	979.3	2750.23
507.41	979.2	2767.3
507.51	979.1	2761.2
507.61	979	2754.9
507.71	978.9	2719.48
507.81	978.8	2696.36
507.91	978.7	2720.09
508.01	978.6	2744.08
508.11	978.5	2737.59
508.21	978.4	2737.82
508.31	978.3	2751.59
508.41	978.2	2745.61
508.51	978.1	2756.65
508.61	978	2696.71
508.71	977.9	2734.84
508.81	977.8	2730.73
508.91	977.7	2703.19
509.01	977.6	2739.9
509.11	977.5	2723.53
509.21	977.4	2736.58
509.31	977.3	2717.81
509.41	977.2	2710.74
509.51	977.1	2720.58
509.61	977	2760.97
509.71	976.9	2744.32
509.81	976.8	2741.09
509.91	976.7	2749.52
510.01	976.6	2744.13
510.11	976.5	2767.65
510.21	976.4	2744.93
510.31	976.3	2748.64
510.41	976.2	2774.2
510.51	976.1	2740.5
510.61	976	2797.33
510.71	975.9	2772.08
510.81	975.8	2745.44
510.91	975.7	2759.11
511.01	975.6	2734.7
511.11	975.5	2772.85
511.21	975.4	2763.55
511.31	975.3	2777.58
511.41	975.2	2747.81
511.51	975.1	2782.02
511.61	975	2795.9
511.71	974.9	2748.95
511.81	974.8	2725.69
511.91	974.7	2788.29
512.01	974.6	2756.56
512.11	974.5	2770.03
512.21	974.4	2762.06
512.31	974.3	2763.59
512.41	974.2	2788.94
512.51	974.1	2778.26
512.61	974	2743.82
512.71	973.9	2756.32
512.81	973.8	2750.86
512.91	973.7	2780.78
513.01	973.6	2760.12
513.11	973.5	2758.75
513.21	973.4	2733.72
513.31	973.3	2760.22
513.41	973.2	2739.41
513.51	973.1	2725.36
513.61	973	2725.1
513.71	972.9	2757.67
513.81	972.8	2746.31
513.91	972.7	2773.09
514.01	972.6	2708.92
514.11	972.5	2733.44
514.21	972.4	2759.2
514.31	972.3	2718.43
514.41	972.2	2734.44
514.51	972.1	2747.25
514.61	972	2754.23
514.71	971.9	2758.61
514.81	971.8	2727.54
514.91	971.7	2728.39
515.01	971.6	2709.63
515.11	971.5	2693.72
515.21	971.4	2715.85
515.31	971.3	2692.83
515.41	971.2	2710.78
515.51	971.1	2733.03
515.61	971	2722.24
515.71	970.9	2706.06
515.81	970.8	2727.02
515.91	970.7	2742.68
516.01	970.6	2751.69
516.11	970.5	2726.58
516.21	970.4	2722.88
516.31	970.3	2726.78
516.41	970.2	2717.46
516.51	970.1	2712.61
516.61	970	2701.19
516.71	969.9	2676.09
516.81	969.8	2672.39
516.91	969.7	2693.29
517.01	969.6	2737.6
517.11	969.5	2690.01
517.21	969.4	2685.97
517.31	969.3	2704.98
517.41	969.2	2720.25
517.51	969.1	2737.28
517.61	969	2704.8
517.71	968.9	2651.25
517.81	968.8	2681.14
517.91	968.7	2674.12
518.01	968.6	2668.45
518.11	968.5	2647.35
518.21	968.4	2679.92
518.31	968.3	2685.68
518.41	968.2	2695
518.51	968.1	2671.23
518.61	968	2689.67
518.71	967.9	2680.28
518.81	967.8	2665.43
518.91	967.7	2659.78
519.01	967.6	2651.55
519.11	967.5	2686.99
519.21	967.4	2688.5
519.31	967.3	2645.45
519.41	967.2	2660.02
519.51	967.1	2661.38
519.61	967	2638.38
519.71	966.9	2624.23
519.81	966.8	2640.6
519.91	966.7	2631.89
520.01	966.6	2665.03
520.11	966.5	2673.73
520.21	966.4	2670.58
520.31	966.3	2651.3
520.41	966.2	2630.28
520.51	966.1	2645.7
520.61	966	2603.81
520.71	965.9	2652.99
520.81	965.8	2663.15
520.91	965.7	2630.77
521.01	965.6	2649.32
521.11	965.5	2667.26
521.21	965.4	2641.99
521.31	965.3	2644.11
521.41	965.2	2667.33
521.51	965.1	2664.17
521.61	965	2641.17
521.71	964.9	2618.64
521.81	964.8	2615.95
521.91	964.7	2610.57
522.01	964.6	2600.55
522.11	964.5	2619.25
522.21	964.4	2597.2
522.31	964.3	2616.75
522.41	964.2	2622.22
522.51	964.1	2610.09
522.61	964	2658.7
522.71	963.9	2641.29
522.81	963.8	2632.8
522.91	963.7	2631.25
523.01	963.6	2619.45
523.11	963.5	2649.86
523.21	963.4	2656.1
523.31	963.3	2663.8
523.41	963.2	2660.33
523.51	963.1	2672.18
523.61	963	2691.69
523.71	962.9	2664.91
523.81	962.8	2703.46
523.91	962.7	2697.32
524.01	962.6	2689.74
524.11	962.5	2745.92
524.21	962.4	2722.42
524.31	962.3	2729.58
524.41	962.2	2748.98
524.51	962.1	2707.27
524.61	962	2744.8
524.71	961.9	2713.3
524.81	961.8	2722.09
524.91	961.7	2742.08
525.01	961.6	2733.37
525.11	961.5	2758.94
525.21	961.4	2713.49
525.31	961.3	2740.13
525.41	961.2	2714.69
525.51	961.1	2701.01
525.61	961	2689.78
525.71	960.9	2732.98
525.81	960.8	2681.05
525.91	960.7	2692.4
526.01	960.6	2667.5
526.11	960.5	2667.51
526.21	960.4	2681.22
526.31	960.3	2656.26
526.41	960.2	2618.5
526.51	960.1	2607.42
526.61	960	2608.72
526.71	959.9	2586.57
526.81	959.8	2600.94
526.91	959.7	2597.89
527.01	959.6	2583.19
527.11	959.5	2566.68
527.21	959.4	2542.08
527.31	959.3	2558.78
527.41	959.2	2560.63
527.51	959.1	2565.95
527.61	959	2552.11
527.71	958.9	2519.24
527.81	958.8	2544.55
527.91	958.7	2510.81
528.01	958.6	2522.8
528.11	958.5	2540.49
528.21	958.4	2526.89
528.31	958.3	2513.47
528.41	958.2	2544.8
528.51	958.1	2540.69
528.61	958	2540.96
528.71	957.9	2543.22
528.81	957.8	2514.56
528.91	957.7	2479.96
529.01	957.6	2513.56
529.11	957.5	2531.24
529.21	957.4	2517.97
529.31	957.3	2518.27
529.41	957.2	2501.27
529.51	957.1	2520.41
529.61	957	2516.62
529.71	956.9	2518.21
529.81	956.8	2549.51
529.91	956.7	2557
530.01	956.6	2513.49
530.11	956.5	2564.29
530.21	956.4	2551.82
530.31	956.3	2538.25
530.41	956.2	2555.82
530.51	956.1	2570.83
530.61	956	2558.75
530.71	955.9	2564.43
530.81	955.8	2569.74
530.91	955.7	2556.27
531.01	955.6	2597.34
531.11	955.5	2597.65
531.21	955.4	2614.51
531.31	955.3	2608.52
531.41	955.2	2614.67
531.51	955.1	2623.94
531.61	955	2617.98
531.71	954.9	2676.8
531.81	954.8	2650.41
531.91	954.7	2663.67
532.01	954.6	2667.78
532.11	954.5	2721.1
532.21	954.4	2730.55
532.31	954.3	2741
532.41	954.2	2755.92
532.51	954.1	2740.04
532.61	954	2769.05
532.71	953.9	2761.41
532.81	953.8	2802.37
532.91	953.7	2850.19
533.01	953.6	2872.08
533.11	953.5	2885.9
533.21	953.4	2948.24
533.31	953.3	2967.29
533.41	953.2	3040.34
533.51	953.1	3108.95
533.61	953	3190.19
533.71	952.9	3280.47
533.81	952.8	3387.41
533.91	952.7	3431.8
534.01	952.6	3518.31
534.11	952.5	3587.49
534.21	952.4	3631.1
534.31	952.3	3620.8
534.41	952.2	3601.46
534.51	952.1	3539.87
534.61	952	3421.17
534.71	951.9	3309.08
534.81	951.8	3224.62
534.91	951.7	3108.33
535.01	951.6	3022.49
535.11	951.5	2943.89
535.21	951.4	2831.29
535.31	951.3	2756.43
535.41	951.2	2683.05
535.51	951.1	2667.89
535.61	951	2651.2
535.71	950.9	2566.99
535.81	950.8	2557.16
535.91	950.7	2520.24
536.01	950.6	2523.79
536.11	950.5	2503.03
536.21	950.4	2455.42
536.31	950.3	2442.43
536.41	950.2	2457.99
536.51	950.1	2457.41
536.61	950	2472.95
536.71	949.9	2482.95
536.81	949.8	2447.24
536.91	949.7	2454.83
537.01	949.6	2435.78
537.11	949.5	2394.55
537.21	949.4	2433.09
537.31	949.3	2434.98
537.41	949.2	2445.22
537.51	949.1	2417.59
537.61	949	2401.52
537.71	948.9	2414.6
537.81	948.8	2406.2
537.91	948.7	2378
538.01	948.6	2375.88
538.11	948.5	2413.75
538.21	948.4	2400.61
538.31	948.3	2359.28
538.41	948.2	2366.5
538.51	948.1	2354.61
538.61	948	2365.72
538.71	947.9	2357.76
538.81	947.8	2335.28
538.91	947.7	2353.75
539.01	947.6	2364.47
539.11	947.5	2338.53
539.21	947.4	2295.01
539.31	947.3	2340.73
539.41	947.2	2303.65
539.51	947.1	2317.6
539.61	947	2306.36
539.71	946.9	2262.57
539.81	946.8	2282.95
