C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX320_CEC356_Cu in He.vms
Pr:Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	0.3
KE_Pr:Cu2p	BE_Pr:Cu2p	CPS_Pr:Cu2p	Background_Pr:Cu2p
511.61	975	146620	146620
511.71	974.9	147575	147575
511.81	974.8	148011	148011
511.91	974.7	147846	147846
512.01	974.6	149252	149252
512.11	974.5	149668	149668
512.21	974.4	149526	149526
512.31	974.3	150843	150843
512.41	974.2	152052	152052
512.51	974.1	153407	153407
512.61	974	153706	153706
512.71	973.9	153402	153402
512.81	973.8	154957	154957
512.91	973.7	155498	155498
513.01	973.6	156424	156424
513.11	973.5	154706	154706
513.21	973.4	154334	154334
513.31	973.3	153357	153357
513.41	973.2	151803	151803
513.51	973.1	150018	150018
513.61	973	149217	149217
513.71	972.9	147398	147398
513.81	972.8	146391	146391
513.91	972.7	145751	145751
514.01	972.6	145745	145745
514.11	972.5	145843	145843
514.21	972.4	145204	145204
514.31	972.3	144034	144034
514.41	972.2	143707	143707
514.51	972.1	143712	143712
514.61	972	143551	143551
514.71	971.9	142743	142743
514.81	971.8	141978	141978
514.91	971.7	141983	141983
515.01	971.6	142618	142618
515.11	971.5	142179	142179
515.21	971.4	142322	142322
515.31	971.3	141855	141855
515.41	971.2	140486	140486
515.51	971.1	140606	140606
515.61	971	142026	142026
515.71	970.9	140989	140989
515.81	970.8	140654	140654
515.91	970.7	141704	141704
516.01	970.6	141321	141321
516.11	970.5	141384	141384
516.21	970.4	141309	141309
516.31	970.3	140987	140987
516.41	970.2	141087	141087
516.51	970.1	140341	140341
516.61	970	141337	141337
516.71	969.9	140530	140530
516.81	969.8	140402	140402
516.91	969.7	140688	140688
517.01	969.6	140458	140458
517.11	969.5	141456	141456
517.21	969.4	140267	140267
517.31	969.3	140277	140277
517.41	969.2	140793	140793
517.51	969.1	140808	140808
517.61	969	140709	140709
517.71	968.9	140688	140688
517.81	968.8	140731	140731
517.91	968.7	139650	139650
518.01	968.6	140882	140882
518.11	968.5	140824	140824
518.21	968.4	140358	140358
518.31	968.3	140912	140912
518.41	968.2	141128	141128
518.51	968.1	140510	140510
518.61	968	140856	140856
518.71	967.9	140298	140298
518.81	967.8	140622	140622
518.91	967.7	141198	141198
519.01	967.6	141086	141086
519.11	967.5	140398	140398
519.21	967.4	141222	141222
519.31	967.3	140224	140224
519.41	967.2	141216	141216
519.51	967.1	140709	140709
519.61	967	140972	140972
519.71	966.9	141346	141346
519.81	966.8	141397	141397
519.91	966.7	140818	140818
520.01	966.6	141163	141163
520.11	966.5	141626	141626
520.21	966.4	140920	140920
520.31	966.3	141182	141182
520.41	966.2	141941	141941
520.51	966.1	141402	141402
520.61	966	141844	141844
520.71	965.9	142254	142254
520.81	965.8	142345	142345
520.91	965.7	142035	142035
521.01	965.6	142059	142059
521.11	965.5	142131	142131
521.21	965.4	143274	143274
521.31	965.3	143867	143867
521.41	965.2	142728	142728
521.51	965.1	142627	142627
521.61	965	142835	142835
521.71	964.9	142711	142711
521.81	964.8	143505	143505
521.91	964.7	143355	143355
522.01	964.6	144051	144051
522.11	964.5	143220	143220
522.21	964.4	143158	143158
522.31	964.3	142147	142147
522.41	964.2	142857	142857
522.51	964.1	142800	142800
522.61	964	142128	142128
522.71	963.9	142057	142057
522.81	963.8	141446	141446
522.91	963.7	141357	141357
523.01	963.6	140815	140815
523.11	963.5	141042	141042
523.21	963.4	139776	139776
523.31	963.3	139571	139571
523.41	963.2	139414	139414
523.51	963.1	139061	139061
523.61	963	139285	139285
523.71	962.9	138821	138821
523.81	962.8	138253	138253
523.91	962.7	138514	138514
524.01	962.6	138915	138915
524.11	962.5	138598	138598
524.21	962.4	138146	138146
524.31	962.3	138155	138155
524.41	962.2	136980	136980
524.51	962.1	137628	137628
524.61	962	137951	137951
524.71	961.9	137738	137738
524.81	961.8	137345	137345
524.91	961.7	137439	137439
525.01	961.6	137573	137573
525.11	961.5	138250	138250
525.21	961.4	138976	138976
525.31	961.3	138051	138051
525.41	961.2	137498	137498
525.51	961.1	138241	138241
525.61	961	138164	138164
525.71	960.9	137196	137196
525.81	960.8	137885	137885
525.91	960.7	138230	138230
526.01	960.6	139225	139225
526.11	960.5	139806	139806
526.21	960.4	138979	138979
526.31	960.3	139537	139537
526.41	960.2	139429	139429
526.51	960.1	139392	139392
526.61	960	139259	139259
526.71	959.9	139522	139522
526.81	959.8	140029	140029
526.91	959.7	140124	140124
527.01	959.6	140151	140151
527.11	959.5	139395	139395
527.21	959.4	140042	140042
527.31	959.3	139829	139829
527.41	959.2	140085	140085
527.51	959.1	140004	140004
527.61	959	139996	139996
